LOCN_ID,OBJ_ID,VER_NBR,LOCN_CD,LOCN_NAME,LEVEL_ID,PARENT_LOCN_ID
778,bd5d817b-7eca-49d8-bd37-256870bd9552,1,PLVM,Locked Media,5,11
779,67d39ea2-8082-4fdd-8f3a-8538b4cfbc7f,1,PLPI,Current Periodicals,5,11
780,c7141b07-982b-46b0-9cd9-324d5abd5356,1,PLW,Current Literature,5,11
781,d9f1f2ad-96d1-4589-851a-71c19c93a960,1,PLV2,A-V Video cassette,5,11
782,c5e034c3-a063-47cf-8b95-57dbfe989bb3,1,PLVL,A-V Limited Circulation,5,11
783,5b748ce8-fa20-4027-99ee-ab0758314c69,1,PLL1F,Cage Oversize,5,11
784,905950f7-3c17-4359-bbce-932af6947eaf,1,PLX2,Closed Reserve,5,11
785,94c1b17b-6143-42ac-b9aa-bb72a7ec8e07,1,PLV6,A-V Sound cassette,5,11
786,76b20337-aa54-4ea9-a06f-7296811cb8ff,1,MCL,Medical Center Library,3,null
787,22f8c577-a155-436b-95c7-958cb917862f,1,MOFFS,Off-Site Stacks,5,786
788,0353643a-c942-4b1f-ada8-c714e1c5ca2d,1,MLSCG,LSC General,5,786
789,ac8899bb-a323-4158-a36b-32f08506792a,1,MJNL,Journal Stacks,5,786
790,122ba2ae-8189-4827-9191-0f388887d482,1,MSTKS,Stacks,5,786
791,f0812226-d33f-4961-be44-a978b8df8aa3,1,MLOS,On-Site Storage,5,786
792,ad0de2b3-4284-470a-879a-315705d05eb7,1,MARCH,Archives,5,786
793,87b91d67-c6cc-4131-a40d-a1b242cdacae,1,MAROF,Archives Off-Site Stacks - Non Circulating,5,786
794,b9daacd5-d807-4451-9e3d-d56611e1f566,1,MHDC,Hist Lock Stks Duke C,5,786
795,efdfbaa1-2877-4404-ac77-1b350240d51b,1,MJNLA,Shelved in Journal Stacks under Series Title,5,786
796,fb4867e0-dc09-4dc2-b79a-c5c31be8c6d2,1,MUSIC,Music Library,3,null
797,c8b279da-19e8-4b79-823e-3e33753a94de,1,PM,Stacks,5,796
798,b746c669-9ee5-46c5-86a9-a06de38996d6,1,PMMC,Media,5,796
799,83b2671e-8622-4553-9504-e3986ab72803,1,PMR,Reference,5,796
800,f13d8feb-c207-4ed8-82f3-39ce11767c27,1,PMMCM,Media Microforms,5,796
801,2bbb72ab-1dcf-469a-9c88-7cac5e7a7575,1,PMMS,Miniature Score,5,796
802,bf3383de-a6b3-44ea-bd46-7f5a26d9cc54,1,PMPI,Current Periodicals,5,796
803,75b305a0-2282-4bf3-9239-c027d3f70800,1,PML,Vault,5,796
804,7a6a91e0-25d7-4c15-b91b-1d35f2c7b761,1,PMF,Stacks Oversize,5,796
805,ba609814-9259-41d4-abe6-d88ea5134c84,1,FRDD,DVD--Limited Circulation,5,10
806,ab13866f-53f8-4917-b3b6-6949d224ebd3,1,FRDR,Reference,5,10
807,0b7d4de9-5222-4d1b-a5e2-0d6efc6c8647,1,FRDPE,Periodicals - Economics,5,10
808,8c4f67fc-3142-489e-b6e2-cab7d8e4f45f,1,FRDPL,Periodicals - Leadership and Management,5,10
809,098133d5-23ef-4a8c-aad7-4bcca816a828,1,FRDCC,Career Collection,5,null
810,d2ab919e-0219-4d5b-849b-9cc0a6a1d9a1,1,FRDPF,Periodicals - Finance and Accounting,5,10
811,18d9aa45-a995-4df4-85a8-5c15ebee0a86,1,FRDPH,Periodicals - Health Sector Management and Operations,5,10
812,9e4d07fb-3e5e-47f5-8418-a48973a0317b,1,ARCH,University Archives,3,null
813,8be0d2c9-8585-43c2-8f03-5966474bc7a6,1,PSAT,Library Service Center (Reading Room only),5,812
814,a512ccb0-4f24-40e2-b521-ad481d315edf,1,PSA,Library Service Center (Reading Room only),5,812
815,6e7f094e-be13-439e-82b2-d1f1483ccabc,1,PA,University Archives,5,812
816,01322445-70f8-45f3-a18a-d4d202199805,1,PSAP,Library Service Ctr Periodicals (Reading Room only),5,812
817,9d6a7486-9e83-4f64-b7b1-78ff3187b07e,1,MARIN,Marine Lab Library,3,null
818,11eea5a0-97e3-4ef6-b152-953f59fe3e8f,1,PZ,Stacks,5,817
819,a2872c75-bb04-48bd-88b3-542236be6799,1,PZP,Periodicals,5,817
820,a6c272a1-3bc2-4c88-b8eb-eb8b9564ac1b,1,BES,Biol-Env. Sciences Library,3,null
821,3be6d0b7-6e43-4c9b-81d1-b8dbbb1d2b97,1,PBLL1,Herbarium Collection 1 -- Vascular,5,820
822,bee6381e-cc47-4ca5-a256-cc7ec6f0eec6,1,PBP,Periodicals,5,820
823,44cdcb47-0181-4237-bc41-69bbb5f77015,1,PBLL3,Herbarium Collection 3 -- Moss,5,820
824,b0678b6c-ae3f-4618-8da1-4bfee2479d27,1,LINK,The Link,3,null
825,c0318dfa-67ea-47cc-b78a-7a0e8f89da76,1,PN,Link Equipment,5,824
826,d33bf0f9-fc54-48d0-a145-0c0267c901cd,1,DUKIR,Duke Internet Resource,3,null
827,49ed6ffc-39a6-4eb2-8233-fda95787df82,1,B-AAAMC,Blmgtn - Archives of African American Music and Culture,3,null
828,4cb2009c-c7b2-4d16-b874-a4965b40f697,1,BAA-GEN,Blmgtn - Archives of African American Music and Culture - General Collections,5,827
829,fdcc94f9-b837-4e28-81bf-cdb7de15cc4f,1,BAA-REF,Blmgtn - Archives of African American Music and Culture - Reference,5,827
830,4d940ee5-211a-4d17-ad97-4cb4468489c1,1,B-ALF,Blmgtn - Auxiliary Library Facility,3,null
831,10ba0034-acdd-4586-9726-bc44aefce5f8,1,BAL-STACKS,Blmgtn - Auxiliary Library Facility - Stacks,5,830
832,b364867f-ac02-4ec3-86f7-c8da512fcea9,1,BAL-BRAD,Blmgtn - IU Libraries Film Archive - Bradley Film Collection,5,830
833,3f510f32-1a72-432d-878f-44da60aae748,1,B-ATM,Blmgtn - Archives of Traditional Music,3,null
834,77752ebc-bb76-43b9-a659-c8aa8f346472,1,BAT-STACKS,Blmgtn - Archives of Traditional Music - Stacks,5,833
835,4ea46176-7a20-40e5-946e-45049a4ef8fb,1,BAT-VARIA,Blmgtn - Archives of Traditional Music - Variations System (Restricted),5,833
836,862dd840-6c45-4b6a-a620-e3dad3218fa4,1,B-BCC,Blmgtn - Neal-Marshall Black Culture Cent. Lib.,3,null
837,2a7b6cb2-03e0-4e2e-99c7-3743baa1a67b,1,BCC-REF,Blmgtn - Neal-Marshall Black Culture Cent. Lib. - Reference,5,836
838,8e4af69a-cc53-409c-bd3f-f5ca351af057,1,BSP-STACKS,Blmgtn - Business/SPEA Information Commons - Stacks,5,3
839,942009bc-52c5-42e7-880d-3b74c89fa5bb,1,B-CEDIR,Blmgtn - Indiana Institute on Disability,3,null
840,dfeb0c6d-9cb8-40d7-bf78-1c4fb0be16c9,1,BCE-REF,Blmgtn - Indiana Institute on Disability - Reference,5,839
841,80b063f2-88ab-4bc8-87b7-899738bed07b,1,BCE-STACKS,Blmgtn - Indiana Institute on Disability - Stacks,5,839
842,23c4f753-91ce-4ae7-9630-cdaf4188d067,1,B-CHEM,Blmgtn - Chemistry Library,3,null
843,546b66eb-8278-4e1f-8a81-18671d7b1cd8,1,BCH-REF,Blmgtn - Chemistry Library - Reference,5,842
844,f6555626-be3a-427d-b556-30f7b196be0f,1,BCH-RES,Blmgtn - Chemistry Library - Reserves,5,842
845,cdde9d35-c837-4c39-ac23-acfda7a9f47a,1,BCH-STACKS,Blmgtn - Chemistry Library - Stacks,5,842
846,e5664d6e-f2b7-4844-b0af-d5123b970332,1,BED-CHILDRENS,Blmgtn - Education Library - Childrens Collection,5,1
847,5a541ced-bd85-4fe5-9862-4fa5a67d56f8,1,BED-REF,Blmgtn - Education Library - Reference,5,1
848,e37c16c9-6d4f-47b2-92f7-d9361deabed6,1,BED-RES,Blmgtn - Education Library - Reserves,5,1
849,f5e88e32-85d3-48f7-828e-16f83b565eeb,1,B-FINEARTS,Blmgtn - Fine Arts Library,3,null
850,bd88658c-b6f7-4dc7-861d-1d6cf743fffd,1,BFI-AUCTCAT,Blmgtn - Fine Arts Library - Auction Catalogs,5,849
851,4d34f6b9-ea7c-48e7-9ee8-33dae0d5abe7,1,BFI-JOURNALS,Blmgtn - Fine Arts Library - Journals,5,849
852,e1a68a60-6875-4318-9212-449ebb222d2f,1,BFI-REF,Blmgtn - Fine Arts Library - Reference,5,849
853,cd64f43c-7101-4e70-8d26-7492a9f8b6c0,1,BFI-STACKS,Blmgtn - Fine Arts Library - Stacks,5,849
854,7d872406-05d0-4d25-b971-ce5d784e664f,1,B-GEOSCI,Blmgtn - Geosciences Library,3,null
855,a72da897-68a9-4920-9eb3-1c671fbaece9,1,BGE-JOURNALS,Blmgtn - Geosciences Library - Journals,5,854
856,6f4b86fc-ab66-4293-8e4b-e9496b65cd17,1,BGE-REF,Blmgtn - Geosciences Library - Reference,5,854
857,ff4f3e08-7308-48ea-9081-1f0a42f309eb,1,BGE-RES,Blmgtn - Geosciences Library - Reserves,5,854
858,b1ae5f97-79fd-48c9-b851-41c56a0b5844,1,BGE-STACKS,Blmgtn - Geosciences Library - Stacks,5,854
859,63557148-32b4-4988-aee1-4cab54acea84,1,BH-APTLIB,Blmgtn Res Halls - Apt Housng Comm Lib and Res Ctr,3,null
860,f6b79ea2-bb30-4389-8ca7-a5e27cf1e627,1,BHAP-CD,Blmgtn Res Halls - Apt Housng Comm Lib and Res Ctr - CD's,5,859
861,901d40c1-6c65-462f-a8dd-4e697530263a,1,BHAP-DVD,Blmgtn Res Halls - Apt Housng Comm Lib and Res Ctr - DVD's,5,859
862,ebe6cc0c-a34f-46ce-addf-056def376d24,1,BH-BRISCOE,Blmgtn Res Halls - Briscoe Mov Mus More,3,null
863,edf009e9-5f07-4530-8eeb-8fd815504b91,1,BHBR-CD,Blmgtn Res Halls - Briscoe Mov Mus More - CD's,5,862
864,3e47fb9e-10ba-4e2c-a2ea-769047c1af84,1,BHBR-DVD,Blmgtn Res Halls - Briscoe Mov Mus More - DVD's,5,862
865,1080e922-8336-4b3f-b686-7353d1f3d057,1,BH-COLLINS,Blmgtn Res Halls - Collins Comm Lib and Res Ctr,3,null
866,3ff9c1e6-03bb-41b4-abeb-5df3ab67b9b1,1,BHCO-CD,Blmgtn Res Halls - Collins Comm Lib and Res Ctr - CD's,5,865
867,0b67d8f5-d747-4434-8bb2-041257d78dc9,1,BHCO-DVD,Blmgtn Res Halls - Collins Comm Lib and Res Ctr - DVD's,5,865
868,593481bb-98a2-47a7-8e90-87af9dfe7932,1,BH-EIGENMN,Blmgtn Res Halls - Eigenmann Comm Lib and Res Ctr,3,null
869,07b2f676-9529-47f1-9550-f1413cd51c7e,1,BHEI-CD,Blmgtn Res Halls - Eigenmann Comm Lib and Res Ctr - CD's,5,868
870,76339acb-9e6a-44e7-bc6d-466c79612221,1,BHEI-DVD,Blmgtn Res Halls - Eigenmann Comm Lib and Res Ctr - DVD's,5,868
871,520218cf-b921-4d54-bbed-ac98188783c4,1,BH-FOREST,Blmgtn Res Halls - Forest Mov Mus More,3,null
872,6649c5a0-a5d1-411e-aed1-3cefff93f049,1,BHFR-CD,Blmgtn Res Halls - Forest Mov Mus More - CD's,5,871
873,014a18d6-de8d-4528-8526-012d9f2b24ba,1,BHFR - DVD,Blmgtn Res Halls - Forest Mov Mus More - DVD's,5,871
874,5aeb962d-0ddf-420f-b544-f82856044723,1,BH-FOSTER,Blmgtn Res Halls - Foster Comm Lib and Res Ctr,3,null
875,865df7c5-b4d5-4144-8739-1439cd7c83b8,1,BHFS-CD,Blmgtn Res Halls - Foster Comm Lib and Res Ctr - CD's,5,874
876,b1369e6a-e78f-4a2a-a9b4-149373ccdab5,1,BHFS-DVD,Blmgtn Res Halls - Foster Comm Lib and Res Ctr - DVD's,5,874
877,94748a93-8118-479e-a623-bb76be462211,1,BH-MCNUTT,Blmgtn Res Halls - McNutt Comm Lib and Res Ctr,3,null
878,56b912ef-baa8-4363-b751-6421e8a24c99,1,BHMC-CD,Blmgtn Res Halls - McNutt Comm Lib and Res Ctr - CD's,5,877
879,e145ab0a-e0e7-44b9-9c5e-d9cfa05d472a,1,BHMC-DVD,Blmgtn Res Halls - McNutt Comm Lib and Res Ctr - DVD'S,5,877
880,f771eaee-4cc6-42e2-b27b-678b46e6120a,1,BHP-REF,Blmgtn - Public Health Library - Reference,5,2
881,bf808cd5-9830-46c0-8554-1a3d236180f0,1,BHP-RES,Blmgtn - Public Health Library - Reserves,5,2
882,50816deb-5b2f-4713-9427-b15c2bff0554,1,BHP-STACKS,Blmgtn - Public Health Library - Stacks,5,2
883,131bf9ab-0814-4fed-895f-88e2cb4c1932,1,BH-READ,Blmgtn Res Halls - Read Mov Mus More,3,null
884,ec807fd9-5ea5-4ba2-82ee-cf38ba9ec824,1,BHRE-CD,Blmgtn Res Halls - Read Mov Mus More - CD's,5,883
885,5c1aea05-d6d7-4890-82f1-ba0850d09112,1,BHRE-DVD,Blmgtn Res Halls - Read Mov Mus More - DVD's,5,883
886,9a9c693b-3ed8-4778-9dc3-a2e82f95d289,1,BH-TETER,Blmgtn Res Halls - Teter Comm Lib and Res Ctr,3,null
887,7da31dc5-a29c-4c56-b42c-490270711d0a,1,BHTE-CD,Blmgtn Res Halls - Teter Comm Lib and Res Ctr - CD's,5,886
888,89ed3a43-5e51-4295-a0ed-25bf28cc8627,1,BHTE-DVD,Blmgtn Res Halls - Teter Comm Lib and Res Ctr - DVD's,5,886
889,f6276248-b022-4132-a003-478a1a010812,1,BH-UNIONST,Blmgtn Res Halls - Union St Move Mus More,3,null
890,7cdf40e3-5102-4748-99c7-9401dac9412d,1,BHUN-CD,Blmgtn Res Halls - Union St Move Mus More - CD's,5,889
891,c6197261-6410-4a31-9798-5a7750142264,1,BHUN-DVD,Blmgtn Res Halls - Union St Move Mus More - DVD's,5,889
892,9ca6ed4a-d1e4-484a-9f76-cb95418ad0c9,1,BH-WILLKIE,Blmgtn Res Halls - Willkie Comm Lib and Res Ctr,3,null
893,71368e8d-d38a-483b-9044-5404adf93887,1,BHWI-CD,Blmgtn Res Halls - Willkie Comm Lib and Res Ctr -CD's,5,892
894,fa839374-22c9-4d77-a1b4-7a8fddf7a500,1,BHWI-DVD,Blmgtn Res Halls - Willkie Comm Lib and Res Ctr -DVD's,5,892
895,f2adf604-2a62-4635-ab8a-968c10f7d5d1,1,BH-WRIGHT,Blmgtn Res Halls - Wright Mov Mus More,3,null
896,4c485805-92b9-48d6-97e3-8de3db5d7d8d,1,BHWR-CD,Blmgtn Res Halls - Wright Mov Mus More - CD's,5,895
897,c6fd54e0-8f12-497b-a8d4-e7cae3ec44be,1,BHWR-DVD,Blmgtn Res Halls - Wright Mov Mus More - DVD's,5,895
898,835fc42f-dacd-4227-b5a5-20effae119d2,1,B-KINSEY,Blmgtn - Kinsey Institute Library,3,null
899,21356df5-5032-42aa-b2a5-ff2b6abc7c13,1,BKI-EROOM,Blmgtn - Kinsey Institute Library - E Room,5,898
900,5e68598f-7fb0-4222-801a-ee52cf0ae0e8,1,BKI-KCOLL,Blmgtn - Kinsey Institute Library - K Collection,5,898
901,a53db29e-614a-4d0c-a31d-e42dc2f0e5c2,1,BKI-MONEY,Blmgtn - Kinsey Institute Library - John Money Room,5,898
902,d5104eb7-6e16-4bda-8eef-dd6c5d58155d,1,BKI-PULP,Blmgtn - Kinsey Institute Library - Pulp,5,898
903,217ae4f3-72a0-477c-a59a-768b48c355c0,1,BKI-SM,Blmgtn - Kinsey Institute Library - SM,5,898
904,5df069ec-a295-4b63-9476-38e2b536a78e,1,BKI-STACKS,Blmgtn - Kinsey Institute Library - Stacks,5,898
905,c9bee89f-c7ce-453c-9e36-60cc152346b0,1,B-LAW,Blmgtn - Law Library,3,null
906,edc78c76-4502-4289-b615-08daca303e82,1,BLW-INDIANA,Blmgtn - Law Library - Indiana Collection,5,905
907,4891f07b-b06e-4b4c-a7a0-96814a452e5e,1,BLW-REF,Blmgtn - Law Library - Reference,5,905
908,502da379-c447-414e-8665-fcf70c36d925,1,BLW-RES,Blmgtn - Law Library - Reserves,5,905
909,bbc5aba2-b094-4bf3-b850-1b9df1b40e25,1,BLW-STACKS,Blmgtn - Law Library - Stacks,5,905
910,ad96622a-0419-4c9b-8d8d-895cc0da81d5,1,BLW-USDOC,Blmgtn - Law Library - US Documents,5,905
911,91c1aaf7-0210-46e3-aa42-a822ddaeb59f,1,B-LIFESCI,Blmgtn - Life Sciences Library,3,null
912,2f425000-9e5e-402d-8b28-ed80468b11df,1,BLS-JOURNALS,Blmgtn - Life Sciences Library - Journals,5,911
913,c4b4212c-f965-4e6b-ae81-7df7376177a5,1,BLS-REF,Blmgtn - Life Sciences Library - Reference,5,911
914,226108d6-eab8-426c-bd5d-c66d24bb7011,1,BLS-RES,Blmgtn - Life Sciences Library - Reserves,5,911
915,2ff5314b-cc69-428c-ab44-2cec32dd40f9,1,BLS-SECURE,Blmgtn - Life Sciences Library - Secure Area,5,911
916,9ef49bb0-cf80-489d-89be-6441acccb83b,1,BLS-STACKS,Blmgtn - Life Sciences Library - Stacks,5,911
917,22e33807-859b-4228-a8e0-d4b38a8ecab7,1,B-LILLY,Blmgtn - Lilly Library,3,null
918,0cf5c6b7-df6b-4794-847e-2e1364cb0d99,1,BLI- AUB,Blmgtn - Lilly Library - Aubanel,5,917
919,9ec1b17e-2365-44f1-ad96-c4fbfc7bd8dc,1,BLI-BALL,Blmgtn - Lilly Library - Ball Room,5,917
920,2136dec0-3172-4420-90d1-5a259ed40e85,1,BLI-BOX,Blmgtn - Lilly Library - Boxer Reference,5,917
921,0455a1cc-4cce-4a43-b9f2-1d599fc4eaa2,1,BLI-ELLI,Blmgtn - Lilly Library - Ellison Room,5,917
922,e2ff5d2e-bd3c-4f1d-9eee-73b1a80faea6,1,BLI - LINC,Blmgtn - Lilly Library - Lincoln Room,5,917
923,9205f0d0-55b9-4586-9cec-6546c08dc5b9,1,BLI-MENDEL,Blmgtn - Lilly Library - Mendel Room,5,917
924,9d0ff9d7-8a19-4c19-b498-187dbfa308c5,1,BLI-MINI,Blmgtn - Lilly Library - Miniatures,5,917
925,f2fb96ef-ed8e-4fd7-9e61-9e116e5e2cf6,1,BLI-STACKS,Blmgtn - Lilly Library - Stacks,5,917
926,fa87a3d8-3348-42ff-b904-022ec425b77a,1,BLI-WORD,Blmgtn - Lilly Library - Wordsworth Room,5,917
927,1c19e05b-1d03-4fbe-9311-24f090ef3053,1,B-MUSIC,Blmgtn - Cook Music Library,3,null
928,d1a5afdf-c8de-4b4b-9391-7bade2ae7eb9,1,BMU-CD,Blmgtn - Cook Music Library - CD's,5,927
929,53d9241c-0716-49b2-a5d5-62d9a1101893,1,BMU-DAT,Blmgtn - Cook Music Library - Digital Audio Tapes,5,927
930,0a84bc73-17a1-4179-98ba-27a27a74ceba,1,BMU-EHRET,Blmgtn - Cook Music Library - Ehret,5,927
931,dad1e02b-91b0-49b9-b39d-b1dd53b5d1d9,1,BMU-EMACASS,Blmgtn - Cook Music Library - Early Music Archive - Cassettes,5,927
932,3da6ecfc-9293-481a-996c-561e21810787,1,BMU-EMACD,Blmgtn - Cook Music Library - Early Music Archive - CD's,5,927
933,d53df81b-c5aa-42f0-869c-bf4800e95689,1,BMU-EMALP,Blmgtn - Cook Music Library - Early Music Archive - LP's,5,927
934,bd16cd57-fc9e-4508-88d5-7f24553449aa,1,BMU-FRBOOK,Blmgtn - Cook Music Library - Frontlog - Books (to use  ask staff),5,927
935,8d90eeaf-2810-4883-86dc-b4612972c6a9,1,BMU-FRSCORE,Blmgtn - Cook Music Library - Frontlog - Scores (to use  ask staff),5,927
936,0ae675df-d8b0-4d9a-9128-2772b17cb9fd,1,BMU-IUPERFCD,Blmgtn - Cook Music Library - IU Performances - CD's,5,927
937,3dfcdba3-54c0-48a5-8138-e9433180a108,1,BMU-IUPERFDVD,Blmgtn - Cook Music Library - IU Performances - DVD's,5,927
938,fc2c7d89-3b44-4a48-ba8c-4698adb1f4f6,1,BMU-IUPERFTRDISCS,Blmgtn - Cook Music Library - IU Performances - Transcription Discs,5,927
939,829a7a6c-9cd5-45dc-8867-d6f147d085ae,1,BMU-IUPERFTAPES,Blmgtn - Cook Music Library - IU Performances - Tapes,5,927
940,c6d1aeb0-84d4-487e-af5c-a0aaecd9c733,1,BMU-JBMC,Blmgtn - Cook Music Library - Bjoerling,5,927
941,e8efa80e-5027-4615-b2d0-b6f716dd663b,1,BMU-RALLEN,Blmgtn - Cook Music Library - R. Allen,5,927
942,22df022e-48eb-4467-851a-3fe776cd9946,1,BMU-REF,Blmgtn - Cook Music Library - Reference,5,927
943,e3595f04-8031-42cb-90a2-4a93340ada27,1,BMU-RES,Blmgtn - Cook Music Library,5,927
944,5077bd64-6348-4b68-8440-d932cd412f34,1,BMU-SPEC,Blmgtn - Cook Music Library - Special Collections,5,927
