ENTITY_AFLTN_ID,OBJ_ID,ENTITY_ID,AFLTN_TYP_CD,CAMPUS_CD,DFLT_IND,ACTV_IND
OLE1146,OLE1146,OLE1146,STAFF,BL,Y,Y
OLE1165,OLE1165,OLE1165,STAFF,BL,Y,Y
OLE1168,OLE1168,OLE1168,STAFF,BL,Y,Y
OLE1172,OLE1172,OLE1172,STAFF,BL,Y,Y
OLE1231,OLE1231,OLE1231,STAFF,BL,Y,Y
OLE1232,OLE1232,OLE1232,STAFF,BL,Y,Y
OLE1264,OLE1264,OLE1264,STAFF,BL,Y,Y
OLE1309,OLE1309,OLE1309,STAFF,BL,Y,Y
OLE1315,OLE1315,OLE1315,STAFF,BL,Y,Y
OLE1334,OLE1334,OLE1334,STAFF,BL,Y,Y
OLE1337,OLE1337,OLE1337,STAFF,BL,Y,Y
OLE1361,OLE1361,OLE1361,STAFF,IN,Y,Y
OLE1399,OLE1399,OLE1399,STAFF,BL,Y,Y
OLE1423,OLE1423,OLE1423,STAFF,BL,Y,Y
OLE1433,OLE1433,OLE1433,STAFF,BL,Y,Y
OLE1438,OLE1438,OLE1438,STAFF,BL,Y,Y
OLE1441,OLE1441,OLE1441,STAFF,BL,Y,Y
OLE1444,OLE1444,OLE1444,STAFF,BL,Y,Y
OLE1453,OLE1453,OLE1453,STAFF,BL,Y,Y
OLE1455,OLE1455,OLE1455,STAFF,BL,Y,Y
OLE1470,OLE1470,OLE1470,STAFF,BL,Y,Y
OLE1482,OLE1482,OLE1482,STAFF,BL,Y,Y
OLE1515,OLE1515,OLE1515,STAFF,BL,Y,Y
OLE1520,OLE1520,OLE1520,STAFF,BL,Y,Y
OLE1525,OLE1525,OLE1525,STAFF,BL,Y,Y
OLE1526,OLE1526,OLE1526,STAFF,BL,Y,Y
OLE1531,OLE1531,OLE1531,STAFF,BL,Y,Y
OLE1545,OLE1545,OLE1545,STAFF,BL,Y,Y
OLE1556,OLE1556,OLE1556,STAFF,BL,Y,Y
OLE1574,OLE1574,OLE1574,STAFF,BL,Y,Y
OLE1586,OLE1586,OLE1586,STAFF,BL,Y,Y
OLE1599,OLE1599,OLE1599,STAFF,BL,Y,Y
OLE1601,OLE1601,OLE1601,STAFF,BL,Y,Y
OLE1603,OLE1603,OLE1603,STAFF,BL,Y,Y
OLE1625,OLE1625,OLE1625,STAFF,BL,Y,Y
OLE1637,OLE1637,OLE1637,STAFF,BL,Y,Y
OLE1638,OLE1638,OLE1638,STAFF,BL,Y,Y
OLE1656,OLE1656,OLE1656,STAFF,BL,Y,Y
OLE1676,OLE1676,OLE1676,STAFF,BL,Y,Y
OLE1686,OLE1686,OLE1686,STAFF,BL,Y,Y
OLE1689,OLE1689,OLE1689,STAFF,BL,Y,Y
OLE1705,OLE1705,OLE1705,STAFF,BL,Y,Y
OLE1717,OLE1717,OLE1717,STAFF,BL,Y,Y
OLE1731,OLE1731,OLE1731,STAFF,BL,Y,Y
OLE1744,OLE1744,OLE1744,STAFF,BL,Y,Y
OLE1747,OLE1747,OLE1747,STAFF,BL,Y,Y
OLE1783,OLE1783,OLE1783,STAFF,IN,Y,Y
OLE1861,OLE1861,OLE1861,STAFF,BL,Y,Y
OLE1864,OLE1864,OLE1864,STAFF,BL,Y,Y
OLE1870,OLE1870,OLE1870,STAFF,BL,Y,Y
OLE1884,OLE1884,OLE1884,STAFF,BL,Y,Y
OLE2018,OLE2018,OLE2018,STAFF,BL,Y,Y
OLE2019,OLE2019,OLE2019,STAFF,BL,Y,Y
OLE2049,OLE2049,OLE2049,STAFF,BL,Y,Y
OLE2053,OLE2053,OLE2053,STAFF,BL,Y,Y
OLE2062,OLE2062,OLE2062,STAFF,BL,Y,Y
OLE2073,OLE2073,OLE2073,STAFF,BL,Y,Y
OLE2075,OLE2075,OLE2075,STAFF,BL,Y,Y
OLE2138,OLE2138,OLE2138,STAFF,BL,Y,Y
OLE2163,OLE2163,OLE2163,STAFF,BL,Y,Y
OLE2204,OLE2204,OLE2204,STAFF,BL,Y,Y
OLE2224,OLE2224,OLE2224,STAFF,BL,Y,Y
OLE2227,OLE2227,OLE2227,STAFF,BL,Y,Y
OLE2230,OLE2230,OLE2230,STAFF,BL,Y,Y
OLE2235,OLE2235,OLE2235,STAFF,BL,Y,Y
OLE2236,OLE2236,OLE2236,STAFF,BL,Y,Y
OLE2247,OLE2247,OLE2247,STAFF,BL,Y,Y
OLE2284,OLE2284,OLE2284,STAFF,BL,Y,Y
OLE2344,OLE2344,OLE2344,STAFF,BL,Y,Y
OLE2369,OLE2369,OLE2369,STAFF,BL,Y,Y
OLE2376,OLE2376,OLE2376,STAFF,BL,Y,Y
OLE2377,OLE2377,OLE2377,STAFF,BL,Y,Y
OLE2382,OLE2382,OLE2382,STAFF,BL,Y,Y
OLE2383,OLE2383,OLE2383,STAFF,BL,Y,Y
OLE2388,OLE2388,OLE2388,STAFF,BL,Y,Y
OLE2389,OLE2389,OLE2389,STAFF,BL,Y,Y
OLE2409,OLE2409,OLE2409,STAFF,BL,Y,Y
OLE2412,OLE2412,OLE2412,STAFF,BL,Y,Y
OLE2492,OLE2492,OLE2492,STAFF,BL,Y,Y
OLE2533,OLE2533,OLE2533,STAFF,BL,Y,Y
OLE2534,OLE2534,OLE2534,STAFF,BL,Y,Y
OLE2535,OLE2535,OLE2535,STAFF,BL,Y,Y
OLE2549,OLE2549,OLE2549,STAFF,BL,Y,Y
OLE2550,OLE2550,OLE2550,STAFF,BL,Y,Y
OLE2552,OLE2552,OLE2552,STAFF,BL,Y,Y
OLE2554,OLE2554,OLE2554,STAFF,BL,Y,Y
OLE2559,OLE2559,OLE2559,STAFF,BL,Y,Y
OLE2566,OLE2566,OLE2566,STAFF,BL,Y,Y
OLE2567,OLE2567,OLE2567,STAFF,BL,Y,Y
OLE2568,OLE2568,OLE2568,STAFF,BL,Y,Y
OLE2578,OLE2578,OLE2578,STAFF,BL,Y,Y
OLE2582,OLE2582,OLE2582,STAFF,BL,Y,Y
OLE2584,OLE2584,OLE2584,STAFF,BL,Y,Y
OLE2587,OLE2587,OLE2587,STAFF,BL,Y,Y
OLE2588,OLE2588,OLE2588,STAFF,BL,Y,Y
OLE2593,OLE2593,OLE2593,STAFF,BL,Y,Y
OLE2594,OLE2594,OLE2594,STAFF,BL,Y,Y
OLE2595,OLE2595,OLE2595,STAFF,BL,Y,Y
OLE2602,OLE2602,OLE2602,STAFF,BL,Y,Y
OLE2606,OLE2606,OLE2606,STAFF,BL,Y,Y
OLE2607,OLE2607,OLE2607,STAFF,BL,Y,Y
OLE2612,OLE2612,OLE2612,STAFF,BL,Y,Y
OLE2616,OLE2616,OLE2616,STAFF,BL,Y,Y
OLE2621,OLE2621,OLE2621,STAFF,BL,Y,Y
OLE2629,OLE2629,OLE2629,STAFF,BL,Y,Y
OLE2631,OLE2631,OLE2631,STAFF,BL,Y,Y
OLE2641,OLE2641,OLE2641,STAFF,BL,Y,Y
OLE2646,OLE2646,OLE2646,STAFF,BL,Y,Y
OLE2648,OLE2648,OLE2648,STAFF,BL,Y,Y
OLE2651,OLE2651,OLE2651,STAFF,BL,Y,Y
OLE2655,OLE2655,OLE2655,STAFF,BL,Y,Y
OLE2656,OLE2656,OLE2656,STAFF,BL,Y,Y
OLE2657,OLE2657,OLE2657,STAFF,BL,Y,Y
OLE2658,OLE2658,OLE2658,STAFF,BL,Y,Y
OLE2659,OLE2659,OLE2659,STAFF,BL,Y,Y
OLE2693,OLE2693,OLE2693,STAFF,BL,Y,Y
OLE2694,OLE2694,OLE2694,STAFF,BL,Y,Y
OLE2695,OLE2695,OLE2695,STAFF,BL,Y,Y
OLE2734,OLE2734,OLE2734,STAFF,BL,Y,Y
OLE2742,OLE2742,OLE2742,STAFF,BL,Y,Y
OLE2743,OLE2743,OLE2743,STAFF,BL,Y,Y
OLE2744,OLE2744,OLE2744,STAFF,EA,Y,Y
OLE2745,OLE2745,OLE2745,STAFF,BL,Y,Y
OLE2746,OLE2746,OLE2746,STAFF,BL,Y,Y
OLE2747,OLE2747,OLE2747,STAFF,BL,Y,Y
OLE2748,OLE2748,OLE2748,STAFF,BL,Y,Y
OLE2749,OLE2749,OLE2749,STAFF,IN,Y,Y
OLE2750,OLE2750,OLE2750,STAFF,BL,Y,Y
OLE2751,OLE2751,OLE2751,STAFF,NW,Y,Y
OLE2752,OLE2752,OLE2752,STAFF,KO,Y,Y
OLE2753,OLE2753,OLE2753,STAFF,BL,Y,Y
OLE2754,OLE2754,OLE2754,STAFF,SB,Y,Y
OLE2755,OLE2755,OLE2755,STAFF,BL,Y,Y
OLE2756,OLE2756,OLE2756,STAFF,BL,Y,Y
OLE2757,OLE2757,OLE2757,STAFF,EA,Y,Y
OLE2758,OLE2758,OLE2758,STAFF,KO,Y,Y
OLE2759,OLE2759,OLE2759,STAFF,IN,Y,Y
OLE2760,OLE2760,OLE2760,STAFF,BL,Y,Y
OLE2761,OLE2761,OLE2761,STAFF,BL,Y,Y
OLE2762,OLE2762,OLE2762,STAFF,BL,Y,Y
OLE2763,OLE2763,OLE2763,STAFF,IN,Y,Y
OLE2764,OLE2764,OLE2764,STAFF,BL,Y,Y
OLE2765,OLE2765,OLE2765,STAFF,BL,Y,Y
OLE2766,OLE2766,OLE2766,STAFF,IN,Y,Y
OLE2767,OLE2767,OLE2767,STAFF,BL,Y,Y
OLE2768,OLE2768,OLE2768,STAFF,SB,Y,Y
OLE2769,OLE2769,OLE2769,STAFF,SB,Y,Y
OLE2770,OLE2770,OLE2770,STAFF,SB,Y,Y
OLE2771,OLE2771,OLE2771,STAFF,EA,Y,Y
OLE2772,OLE2772,OLE2772,STAFF,BL,Y,Y
OLE2773,OLE2773,OLE2773,STAFF,BL,Y,Y
OLE2774,OLE2774,OLE2774,STAFF,IN,Y,Y
OLE2775,OLE2775,OLE2775,STAFF,BL,Y,Y
OLE2776,OLE2776,OLE2776,STAFF,BL,Y,Y
OLE2777,OLE2777,OLE2777,STAFF,IN,Y,Y
OLE2778,OLE2778,OLE2778,STAFF,BL,Y,Y
OLE2779,OLE2779,OLE2779,STAFF,IN,Y,Y
OLE2780,OLE2780,OLE2780,STAFF,IN,Y,Y
OLE2781,OLE2781,OLE2781,STAFF,IN,Y,Y
OLE2782,OLE2782,OLE2782,STAFF,BL,Y,Y
OLE2783,OLE2783,OLE2783,STAFF,IN,Y,Y
OLE2784,OLE2784,OLE2784,STAFF,SB,Y,Y
OLE2785,OLE2785,OLE2785,STAFF,SB,Y,Y
OLE2786,OLE2786,OLE2786,STAFF,EA,Y,Y
OLE2787,OLE2787,OLE2787,STAFF,IN,Y,Y
OLE2788,OLE2788,OLE2788,STAFF,SE,Y,Y
OLE2789,OLE2789,OLE2789,STAFF,BL,Y,Y
OLE2790,OLE2790,OLE2790,STAFF,BL,Y,Y
OLE2791,OLE2791,OLE2791,STAFF,IN,Y,Y
OLE2792,OLE2792,OLE2792,STAFF,EA,Y,Y
OLE2793,OLE2793,OLE2793,STAFF,BL,Y,Y
OLE2794,OLE2794,OLE2794,STAFF,BL,Y,Y
OLE2795,OLE2795,OLE2795,STAFF,BL,Y,Y
OLE2796,OLE2796,OLE2796,STAFF,IN,Y,Y
OLE2797,OLE2797,OLE2797,STAFF,BL,Y,Y
OLE2798,OLE2798,OLE2798,STAFF,EA,Y,Y
OLE2799,OLE2799,OLE2799,STAFF,BL,Y,Y
OLE2800,OLE2800,OLE2800,STAFF,BL,Y,Y
OLE2801,OLE2801,OLE2801,STAFF,BL,Y,Y
OLE2802,OLE2802,OLE2802,STAFF,SB,Y,Y
OLE2803,OLE2803,OLE2803,STAFF,SB,Y,Y
OLE2804,OLE2804,OLE2804,STAFF,SB,Y,Y
OLE2805,OLE2805,OLE2805,STAFF,BL,Y,Y
OLE2806,OLE2806,OLE2806,STAFF,BL,Y,Y
OLE2807,OLE2807,OLE2807,STAFF,IN,Y,Y
OLE2808,OLE2808,OLE2808,STAFF,BL,Y,Y
OLE2809,OLE2809,OLE2809,STAFF,EA,Y,Y
OLE2810,OLE2810,OLE2810,STAFF,BL,Y,Y
OLE2811,OLE2811,OLE2811,STAFF,BL,Y,Y
OLE2812,OLE2812,OLE2812,STAFF,EA,Y,Y
OLE2813,OLE2813,OLE2813,STAFF,KO,Y,Y
OLE2814,OLE2814,OLE2814,STAFF,BL,Y,Y
OLE2815,OLE2815,OLE2815,STAFF,IN,Y,Y
OLE2816,OLE2816,OLE2816,STAFF,BL,Y,Y
OLE2817,OLE2817,OLE2817,STAFF,KO,Y,Y
OLE2818,OLE2818,OLE2818,STAFF,BL,Y,Y
OLE2819,OLE2819,OLE2819,STAFF,BL,Y,Y
OLE2820,OLE2820,OLE2820,STAFF,BL,Y,Y
OLE2821,OLE2821,OLE2821,STAFF,BL,Y,Y
OLE2822,OLE2822,OLE2822,STAFF,KO,Y,Y
OLE2823,OLE2823,OLE2823,STAFF,BL,Y,Y
OLE2824,OLE2824,OLE2824,STAFF,IN,Y,Y
OLE2825,OLE2825,OLE2825,STAFF,BL,Y,Y
OLE2826,OLE2826,OLE2826,STAFF,BL,Y,Y
OLE2827,OLE2827,OLE2827,STAFF,BL,Y,Y
OLE2828,OLE2828,OLE2828,STAFF,BL,Y,Y
OLE2829,OLE2829,OLE2829,STAFF,BL,Y,Y
OLE2830,OLE2830,OLE2830,STAFF,BL,Y,Y
OLE2831,OLE2831,OLE2831,STAFF,IN,Y,Y
OLE2832,OLE2832,OLE2832,STAFF,SB,Y,Y
OLE2833,OLE2833,OLE2833,STAFF,BL,Y,Y
OLE2834,OLE2834,OLE2834,STAFF,BL,Y,Y
OLE2835,OLE2835,OLE2835,STAFF,IN,Y,Y
OLE2836,OLE2836,OLE2836,STAFF,IN,Y,Y
OLE2837,OLE2837,OLE2837,STAFF,IN,Y,Y
OLE2838,OLE2838,OLE2838,STAFF,IN,Y,Y
OLE2839,OLE2839,OLE2839,STAFF,KO,Y,Y
OLE2840,OLE2840,OLE2840,STAFF,IN,Y,Y
OLE2841,OLE2841,OLE2841,STAFF,BL,Y,Y
OLE2842,OLE2842,OLE2842,STAFF,IN,Y,Y
OLE2843,OLE2843,OLE2843,STAFF,NW,Y,Y
OLE2844,OLE2844,OLE2844,STAFF,SB,Y,Y
OLE2845,OLE2845,OLE2845,STAFF,BL,Y,Y
OLE2846,OLE2846,OLE2846,STAFF,BL,Y,Y
OLE2847,OLE2847,OLE2847,STAFF,BL,Y,Y
OLE2848,OLE2848,OLE2848,STAFF,IN,Y,Y
OLE2849,OLE2849,OLE2849,STAFF,EA,Y,Y
OLE2850,OLE2850,OLE2850,STAFF,BL,Y,Y
OLE2851,OLE2851,OLE2851,STAFF,BL,Y,Y
OLE2852,OLE2852,OLE2852,STAFF,BL,Y,Y
OLE2853,OLE2853,OLE2853,STAFF,SB,Y,Y
OLE2854,OLE2854,OLE2854,STAFF,IN,Y,Y
OLE2855,OLE2855,OLE2855,STAFF,NW,Y,Y
OLE2856,OLE2856,OLE2856,STAFF,IN,Y,Y
OLE2857,OLE2857,OLE2857,STAFF,EA,Y,Y
OLE2858,OLE2858,OLE2858,STAFF,BL,Y,Y
OLE2859,OLE2859,OLE2859,STAFF,SB,Y,Y
OLE2860,OLE2860,OLE2860,STAFF,BL,Y,Y
OLE2861,OLE2861,OLE2861,STAFF,BL,Y,Y
OLE2862,OLE2862,OLE2862,STAFF,BL,Y,Y
OLE2863,OLE2863,OLE2863,STAFF,BL,Y,Y
OLE2864,OLE2864,OLE2864,STAFF,IN,Y,Y
OLE2865,OLE2865,OLE2865,STAFF,BL,Y,Y
OLE2866,OLE2866,OLE2866,STAFF,IN,Y,Y
OLE2867,OLE2867,OLE2867,STAFF,BL,Y,Y
OLE2868,OLE2868,OLE2868,STAFF,SE,Y,Y
OLE2869,OLE2869,OLE2869,STAFF,KO,Y,Y
OLE2870,OLE2870,OLE2870,STAFF,IN,Y,Y
OLE2871,OLE2871,OLE2871,STAFF,IN,Y,Y
OLE2872,OLE2872,OLE2872,STAFF,BL,Y,Y
OLE2873,OLE2873,OLE2873,STAFF,BL,Y,Y
OLE2874,OLE2874,OLE2874,STAFF,BL,Y,Y
OLE2875,OLE2875,OLE2875,STAFF,BL,Y,Y
OLE2876,OLE2876,OLE2876,STAFF,SE,Y,Y
OLE2877,OLE2877,OLE2877,STAFF,BL,Y,Y
OLE2878,OLE2878,OLE2878,STAFF,BL,Y,Y
OLE2879,OLE2879,OLE2879,STAFF,BL,Y,Y
OLE2880,OLE2880,OLE2880,STAFF,BL,Y,Y
OLE2881,OLE2881,OLE2881,STAFF,SE,Y,Y
OLE2882,OLE2882,OLE2882,STAFF,SE,Y,Y
OLE2883,OLE2883,OLE2883,STAFF,BL,Y,Y
OLE2884,OLE2884,OLE2884,STAFF,BL,Y,Y
OLE2885,OLE2885,OLE2885,STAFF,BL,Y,Y
OLE2886,OLE2886,OLE2886,STAFF,BL,Y,Y
OLE2887,OLE2887,OLE2887,STAFF,IN,Y,Y
OLE2888,OLE2888,OLE2888,STAFF,BL,Y,Y
OLE2889,OLE2889,OLE2889,STAFF,BL,Y,Y
OLE2890,OLE2890,OLE2890,STAFF,BL,Y,Y
OLE2891,OLE2891,OLE2891,STAFF,EA,Y,Y
OLE2892,OLE2892,OLE2892,STAFF,BL,Y,Y
OLE2893,OLE2893,OLE2893,STAFF,IN,Y,Y
OLE2894,OLE2894,OLE2894,STAFF,BL,Y,Y
OLE2895,OLE2895,OLE2895,STAFF,IN,Y,Y
OLE2896,OLE2896,OLE2896,STAFF,BL,Y,Y
OLE2897,OLE2897,OLE2897,STAFF,IN,Y,Y
OLE2898,OLE2898,OLE2898,STAFF,IN,Y,Y
OLE2899,OLE2899,OLE2899,STAFF,BL,Y,Y
OLE2900,OLE2900,OLE2900,STAFF,EA,Y,Y
OLE2901,OLE2901,OLE2901,STAFF,BL,Y,Y
OLE2902,OLE2902,OLE2902,STAFF,BL,Y,Y
OLE2903,OLE2903,OLE2903,STAFF,BL,Y,Y
OLE2904,OLE2904,OLE2904,STAFF,BL,Y,Y
OLE2905,OLE2905,OLE2905,STAFF,IN,Y,Y
OLE2906,OLE2906,OLE2906,STAFF,BL,Y,Y
OLE2907,OLE2907,OLE2907,STAFF,BL,Y,Y
OLE2908,OLE2908,OLE2908,STAFF,EA,Y,Y
OLE2909,OLE2909,OLE2909,STAFF,BL,Y,Y
OLE2910,OLE2910,OLE2910,STAFF,SB,Y,Y
OLE2911,OLE2911,OLE2911,STAFF,IN,Y,Y
OLE2912,OLE2912,OLE2912,STAFF,BL,Y,Y
OLE2913,OLE2913,OLE2913,STAFF,BL,Y,Y
OLE2914,OLE2914,OLE2914,STAFF,BL,Y,Y
OLE2915,OLE2915,OLE2915,STAFF,BL,Y,Y
OLE2916,OLE2916,OLE2916,STAFF,BL,Y,Y
OLE2917,OLE2917,OLE2917,STAFF,IN,Y,Y
OLE2918,OLE2918,OLE2918,STAFF,BL,Y,Y
OLE2919,OLE2919,OLE2919,STAFF,IN,Y,Y
OLE2920,OLE2920,OLE2920,STAFF,EA,Y,Y
OLE2921,OLE2921,OLE2921,STAFF,EA,Y,Y
OLE2922,OLE2922,OLE2922,STAFF,EA,Y,Y
OLE2923,OLE2923,OLE2923,STAFF,EA,Y,Y
OLE2924,OLE2924,OLE2924,STAFF,EA,Y,Y
OLE2925,OLE2925,OLE2925,STAFF,IN,Y,Y
OLE2926,OLE2926,OLE2926,STAFF,BL,Y,Y
OLE2927,OLE2927,OLE2927,STAFF,EA,Y,Y
OLE2928,OLE2928,OLE2928,STAFF,BL,Y,Y
OLE2929,OLE2929,OLE2929,STAFF,SB,Y,Y
OLE2930,OLE2930,OLE2930,STAFF,EA,Y,Y
OLE2931,OLE2931,OLE2931,STAFF,IN,Y,Y
OLE2932,OLE2932,OLE2932,STAFF,BL,Y,Y
OLE2933,OLE2933,OLE2933,STAFF,IN,Y,Y
