ENTITY_EMP_ID,OBJ_ID,ENTITY_ID,ENTITY_AFLTN_ID,EMP_STAT_CD,EMP_TYP_CD,BASE_SLRY_AMT,PRMRY_IND,ACTV_IND,PRMRY_DEPT_CD,EMP_ID,EMP_REC_ID
OLE1094,OLE1094,OLE1094,OLE1094,T,N,50000,Y,Y,BL-BL,96,1
OLE1095,OLE1095,OLE1095,OLE1095,T,N,50000,Y,Y,BL-BL,97,1
OLE1096,OLE1096,OLE1096,OLE1096,T,N,50000,Y,Y,BL-BL,98,1
OLE1097,OLE1097,OLE1097,OLE1097,T,N,50000,Y,Y,BL-BL,99,1
OLE1098,OLE1098,OLE1098,OLE1098,T,N,50000,Y,Y,BL-BL,100,1
OLE1099,OLE1099,OLE1099,OLE1099,T,N,50000,Y,Y,BL-BL,101,1
OLE1100,OLE1100,OLE1100,OLE1100,T,N,50000,Y,Y,BL-BL,102,1
OLE1101,OLE1101,OLE1101,OLE1101,T,N,50000,Y,Y,BL-BL,103,1
OLE1102,OLE1102,OLE1102,OLE1102,T,N,50000,Y,Y,BL-BL,104,1
OLE1103,OLE1103,OLE1103,OLE1103,T,N,50000,Y,Y,BL-BL,105,1
OLE1104,OLE1104,OLE1104,OLE1104,R,P,50000,Y,Y,IN-IN,106,1
OLE1105,OLE1105,OLE1105,OLE1105,R,P,50000,Y,Y,IN-IN,107,1
OLE1106,OLE1106,OLE1106,OLE1106,R,P,50000,Y,Y,BL-BL,108,1
OLE1107,OLE1107,OLE1107,OLE1107,R,P,50000,Y,Y,BL-BL,109,1
OLE1108,OLE1108,OLE1108,OLE1108,R,N,50000,Y,Y,BL-BL,110,1
OLE1109,OLE1109,OLE1109,OLE1109,D,P,50000,Y,Y,BL-BL,111,1
OLE1110,OLE1110,OLE1110,OLE1110,R,P,50000,Y,Y,BL-BL,112,1
OLE1111,OLE1111,OLE1111,OLE1111,T,N,50000,Y,Y,BL-BL,113,1
OLE1112,OLE1112,OLE1112,OLE1112,T,N,50000,Y,Y,BL-BL,114,1
OLE1113,OLE1113,OLE1113,OLE1113,T,N,50000,Y,Y,BL-BL,115,1
OLE1114,OLE1114,OLE1114,OLE1114,T,N,50000,Y,Y,BL-BL,116,1
OLE1115,OLE1115,OLE1115,OLE1115,T,N,50000,Y,Y,BL-BL,117,1
OLE1117,OLE1117,OLE1117,OLE1117,T,N,50000,Y,Y,BL-BL,119,1
OLE1122,OLE1122,OLE1122,OLE1122,T,N,50000,Y,Y,BL-AFRI,124,1
OLE1123,OLE1123,OLE1123,OLE1123,T,N,50000,Y,Y,BL-BL,125,1
OLE1124,OLE1124,OLE1124,OLE1124,T,N,50000,Y,Y,BL-BL,126,1
OLE1125,OLE1125,OLE1125,OLE1125,T,N,50000,Y,Y,BL-BL,127,1
OLE1137,OLE1137,OLE1137,OLE1137,T,N,50000,Y,Y,BL-IMU,139,1
OLE1138,OLE1138,OLE1138,OLE1138,T,N,50000,Y,Y,BL-BL,140,1
OLE1143,OLE1143,OLE1143,OLE1143,T,N,50000,Y,Y,BL-BL,145,1
OLE1146,OLE1146,OLE1146,OLE1146,T,N,50000,Y,Y,BL-BL,148,1
OLE1165,OLE1165,OLE1165,OLE1165,T,N,50000,Y,Y,BL-BL,167,1
OLE1168,OLE1168,OLE1168,OLE1168,T,N,50000,Y,Y,BL-BL,170,1
OLE1172,OLE1172,OLE1172,OLE1172,T,N,50000,Y,Y,BL-BL,174,1
OLE1231,OLE1231,OLE1231,OLE1231,T,N,50000,Y,Y,BL-BL,233,1
OLE1232,OLE1232,OLE1232,OLE1232,T,N,50000,Y,Y,BL-BL,234,1
OLE1264,OLE1264,OLE1264,OLE1264,T,N,50000,Y,Y,BL-LIBG,266,1
OLE1309,OLE1309,OLE1309,OLE1309,T,N,50000,Y,Y,BL-HALL,311,1
OLE1315,OLE1315,OLE1315,OLE1315,T,P,50000,Y,Y,BL-BL,317,1
OLE1334,OLE1334,OLE1334,OLE1334,T,P,50000,Y,Y,BL-BL,336,1
OLE1337,OLE1337,OLE1337,OLE1337,T,N,50000,Y,Y,BL-BL,339,1
OLE1361,OLE1361,OLE1361,OLE1361,T,P,50000,Y,Y,IN-IN,363,1
OLE1399,OLE1399,OLE1399,OLE1399,T,N,50000,Y,Y,BL-IMU,401,1
OLE1423,OLE1423,OLE1423,OLE1423,T,N,50000,Y,Y,BL-BL,425,1
OLE1433,OLE1433,OLE1433,OLE1433,T,N,50000,Y,Y,BL-IMU,435,1
OLE1438,OLE1438,OLE1438,OLE1438,T,P,50000,Y,Y,BL-BL,440,1
OLE1441,OLE1441,OLE1441,OLE1441,T,N,50000,Y,Y,BL-HALL,443,1
OLE1444,OLE1444,OLE1444,OLE1444,T,N,50000,Y,Y,BL-REGR,446,1
OLE1453,OLE1453,OLE1453,OLE1453,T,N,50000,Y,Y,BL-MUS,455,1
OLE1455,OLE1455,OLE1455,OLE1455,T,P,50000,Y,Y,BL-BL,457,1
OLE1470,OLE1470,OLE1470,OLE1470,T,N,50000,Y,Y,BL-BL,472,1
OLE1482,OLE1482,OLE1482,OLE1482,T,N,50000,Y,Y,BL-MUS,484,1
OLE1515,OLE1515,OLE1515,OLE1515,T,N,50000,Y,Y,BL-HALL,517,1
OLE1520,OLE1520,OLE1520,OLE1520,T,P,50000,Y,Y,BL-BL,522,1
OLE1525,OLE1525,OLE1525,OLE1525,T,N,50000,Y,Y,BL-IMU,527,1
OLE1526,OLE1526,OLE1526,OLE1526,A,P,50000,Y,Y,BL-BL,528,1
OLE1531,OLE1531,OLE1531,OLE1531,T,N,50000,Y,Y,,533,1
OLE1545,OLE1545,OLE1545,OLE1545,T,N,50000,Y,Y,BL-BL,547,1
OLE1556,OLE1556,OLE1556,OLE1556,T,N,50000,Y,Y,BL-BUS,558,1
OLE1574,OLE1574,OLE1574,OLE1574,T,N,50000,Y,Y,BL-IMU,576,1
OLE1586,OLE1586,OLE1586,OLE1586,T,N,50000,Y,Y,BL-BL,588,1
OLE1599,OLE1599,OLE1599,OLE1599,T,P,50000,Y,Y,BL-BL,601,1
OLE1601,OLE1601,OLE1601,OLE1601,T,P,50000,Y,Y,BL-BL,603,1
OLE1603,OLE1603,OLE1603,OLE1603,T,N,50000,Y,Y,BL-BL,605,1
OLE1625,OLE1625,OLE1625,OLE1625,T,P,50000,Y,Y,BL-BL,628,1
OLE1637,OLE1637,OLE1637,OLE1637,T,N,50000,Y,Y,BL-BL,640,1
OLE1638,OLE1638,OLE1638,OLE1638,T,N,50000,Y,Y,BL-HALL,641,1
OLE1656,OLE1656,OLE1656,OLE1656,T,N,50000,Y,Y,BL-MUS,659,1
OLE1676,OLE1676,OLE1676,OLE1676,T,N,50000,Y,Y,BL-INTP,679,1
OLE1686,OLE1686,OLE1686,OLE1686,T,N,50000,Y,Y,BL-MUS,690,1
OLE1689,OLE1689,OLE1689,OLE1689,T,N,50000,Y,Y,BL-BL,693,1
OLE1705,OLE1705,OLE1705,OLE1705,T,N,50000,Y,Y,BL-BL,709,1
OLE1717,OLE1717,OLE1717,OLE1717,T,P,50000,Y,Y,BL-BL,721,1
OLE1731,OLE1731,OLE1731,OLE1731,T,P,50000,Y,Y,BL-BL,735,1
OLE1744,OLE1744,OLE1744,OLE1744,T,N,50000,Y,Y,BL-BL,748,1
OLE1747,OLE1747,OLE1747,OLE1747,T,P,50000,Y,Y,BL-BL,751,1
OLE1783,OLE1783,OLE1783,OLE1783,A,N,50000,Y,Y,IN-LART,787,1
OLE1861,OLE1861,OLE1861,OLE1861,T,N,50000,Y,Y,BL-BL,866,1
OLE1864,OLE1864,OLE1864,OLE1864,T,N,50000,Y,Y,BL-BL,869,1
OLE1870,OLE1870,OLE1870,OLE1870,T,P,50000,Y,Y,BL-BL,875,1
OLE1884,OLE1884,OLE1884,OLE1884,A,N,50000,Y,Y,,889,1
OLE2018,OLE2018,OLE2018,OLE2018,T,N,50000,Y,Y,BL-BL,1024,1
OLE2019,OLE2019,OLE2019,OLE2019,T,P,50000,Y,Y,BL-BL,1025,1
OLE2049,OLE2049,OLE2049,OLE2049,T,P,50000,Y,Y,BL-BL,1055,1
OLE2053,OLE2053,OLE2053,OLE2053,T,N,50000,Y,Y,BL-IMU,1059,1
OLE2062,OLE2062,OLE2062,OLE2062,T,N,50000,Y,Y,BL-BRAD,1068,1
OLE2073,OLE2073,OLE2073,OLE2073,T,N,50000,Y,Y,BL-BRAD,1079,1
OLE2075,OLE2075,OLE2075,OLE2075,T,N,50000,Y,Y,BL-PHYS,1081,1
OLE2138,OLE2138,OLE2138,OLE2138,A,P,50000,Y,Y,BL-BL,1144,1
OLE2163,OLE2163,OLE2163,OLE2163,T,N,50000,Y,Y,BL-BRAD,1169,1
OLE2204,OLE2204,OLE2204,OLE2204,T,P,50000,Y,Y,BL-BL,1210,1
OLE2224,OLE2224,OLE2224,OLE2224,T,N,50000,Y,Y,BL-BL,1231,1
OLE2227,OLE2227,OLE2227,OLE2227,T,N,50000,Y,Y,BL-HPER,1234,1
OLE2230,OLE2230,OLE2230,OLE2230,T,N,50000,Y,Y,BL-AMID,1237,1
OLE2235,OLE2235,OLE2235,OLE2235,T,N,50000,Y,Y,BL-BRAD,1242,1
OLE2236,OLE2236,OLE2236,OLE2236,T,N,50000,Y,Y,BL-BRAD,1243,1
OLE2247,OLE2247,OLE2247,OLE2247,T,N,50000,Y,Y,BL-HALL,1254,1
OLE2284,OLE2284,OLE2284,OLE2284,T,N,50000,Y,Y,BL-HALL,1291,1
OLE2344,OLE2344,OLE2344,OLE2344,T,N,50000,Y,Y,BL-HALL,1351,1
OLE2369,OLE2369,OLE2369,OLE2369,T,P,50000,Y,Y,BL-BL,1376,1
OLE2376,OLE2376,OLE2376,OLE2376,T,P,50000,Y,Y,BL-BL,1383,1
OLE2377,OLE2377,OLE2377,OLE2377,T,P,50000,Y,Y,BL-BL,1384,1
OLE2382,OLE2382,OLE2382,OLE2382,T,N,50000,Y,Y,BL-MUS,1389,1
OLE2383,OLE2383,OLE2383,OLE2383,T,N,50000,Y,Y,BL-MUS,1390,1
OLE2388,OLE2388,OLE2388,OLE2388,T,N,50000,Y,Y,BL-BRAD,1395,1
OLE2389,OLE2389,OLE2389,OLE2389,T,N,50000,Y,Y,BL-BRAD,1396,1
OLE2409,OLE2409,OLE2409,OLE2409,T,N,50000,Y,Y,BL-BL,1416,1
OLE2412,OLE2412,OLE2412,OLE2412,T,N,50000,Y,Y,BL-MSCI,1419,1
OLE2492,OLE2492,OLE2492,OLE2492,A,P,50000,Y,Y,BL-BL,1499,1
OLE2533,OLE2533,OLE2533,OLE2533,T,N,50000,Y,Y,BL-HALL,1540,1
OLE2534,OLE2534,OLE2534,OLE2534,T,N,50000,Y,Y,BL-HALL,1541,1
OLE2535,OLE2535,OLE2535,OLE2535,T,N,50000,Y,Y,BL-HALL,1542,1
OLE2549,OLE2549,OLE2549,OLE2549,T,N,50000,Y,Y,BL-BL,1556,1
OLE2550,OLE2550,OLE2550,OLE2550,T,N,50000,Y,Y,BL-BL,1557,1
OLE2552,OLE2552,OLE2552,OLE2552,T,N,50000,Y,Y,BL-BL,1559,1
OLE2554,OLE2554,OLE2554,OLE2554,A,P,50000,Y,Y,BL-BL,1561,1
OLE2559,OLE2559,OLE2559,OLE2559,T,N,50000,Y,Y,BL-BL,1566,1
OLE2566,OLE2566,OLE2566,OLE2566,T,N,50000,Y,Y,BL-BRAD,1573,1
OLE2567,OLE2567,OLE2567,OLE2567,A,N,50000,Y,Y,BL-RPAD,1574,1
OLE2568,OLE2568,OLE2568,OLE2568,T,N,50000,Y,Y,BL-CONF,1575,1
OLE2578,OLE2578,OLE2578,OLE2578,T,N,50000,Y,Y,BL-BL,1585,1
OLE2582,OLE2582,OLE2582,OLE2582,T,N,50000,Y,Y,BL-BL,1589,1
OLE2584,OLE2584,OLE2584,OLE2584,T,N,50000,Y,Y,BL-BL,1591,1
OLE2587,OLE2587,OLE2587,OLE2587,T,N,50000,Y,Y,BL-BL,1594,1
OLE2588,OLE2588,OLE2588,OLE2588,T,N,50000,Y,Y,BL-BL,1595,1
OLE2593,OLE2593,OLE2593,OLE2593,T,N,50000,Y,Y,BL-BL,1600,1
OLE2594,OLE2594,OLE2594,OLE2594,T,N,50000,Y,Y,BL-BL,1601,1
OLE2595,OLE2595,OLE2595,OLE2595,T,N,50000,Y,Y,BL-BL,1602,1
OLE2602,OLE2602,OLE2602,OLE2602,T,N,50000,Y,Y,BL-BL,1609,1
OLE2606,OLE2606,OLE2606,OLE2606,T,N,50000,Y,Y,BL-BL,1613,1
OLE2607,OLE2607,OLE2607,OLE2607,T,N,50000,Y,Y,BL-BL,1614,1
OLE2612,OLE2612,OLE2612,OLE2612,T,N,50000,Y,Y,BL-BL,1619,1
OLE2616,OLE2616,OLE2616,OLE2616,T,N,50000,Y,Y,BL-BL,1623,1
OLE2621,OLE2621,OLE2621,OLE2621,T,N,50000,Y,Y,BL-BL,1628,1
OLE2629,OLE2629,OLE2629,OLE2629,T,N,50000,Y,Y,BL-BL,1636,1
OLE2631,OLE2631,OLE2631,OLE2631,T,N,50000,Y,Y,BL-BL,1638,1
OLE2641,OLE2641,OLE2641,OLE2641,T,N,50000,Y,Y,BL-BL,1648,1
OLE2646,OLE2646,OLE2646,OLE2646,T,N,50000,Y,Y,BL-BL,1653,1
OLE2648,OLE2648,OLE2648,OLE2648,T,N,50000,Y,Y,BL-BL,1655,1
OLE2651,OLE2651,OLE2651,OLE2651,T,N,50000,Y,Y,BL-BL,1658,1
OLE2655,OLE2655,OLE2655,OLE2655,T,N,50000,Y,Y,BL-HALL,1662,1
OLE2656,OLE2656,OLE2656,OLE2656,T,N,50000,Y,Y,BL-HALL,1663,1
OLE2657,OLE2657,OLE2657,OLE2657,T,N,50000,Y,Y,BL-HALL,1664,1
OLE2658,OLE2658,OLE2658,OLE2658,T,N,50000,Y,Y,BL-HALL,1665,1
OLE2659,OLE2659,OLE2659,OLE2659,T,N,50000,Y,Y,BL-HALL,1666,1
OLE2693,OLE2693,OLE2693,OLE2693,A,P,50000,Y,Y,BL-BL,1700,1
OLE2694,OLE2694,OLE2694,OLE2694,T,P,50000,Y,Y,BL-BL,1701,1
OLE2695,OLE2695,OLE2695,OLE2695,T,N,50000,Y,Y,BL-BL,1702,1
OLE2734,OLE2734,OLE2734,OLE2734,T,N,50000,Y,Y,BL-MUS,1741,1
OLE2742,OLE2742,OLE2742,OLE2742,T,N,50000,Y,Y,BL-BL,1749,1
OLE2743,OLE2743,OLE2743,OLE2743,A,P,50000,Y,Y,BL-PSY,2820,1
OLE2744,OLE2744,OLE2744,OLE2744,A,P,50000,Y,Y,EA-BUSE,2874,1
OLE2745,OLE2745,OLE2745,OLE2745,A,P,50000,Y,Y,BL-RUAD,2882,1
OLE2746,OLE2746,OLE2746,OLE2746,A,P,50000,Y,Y,BL-PSY,2884,1
OLE2747,OLE2747,OLE2747,OLE2747,A,P,50000,Y,Y,BL-BL,2930,1
OLE2748,OLE2748,OLE2748,OLE2748,A,P,50000,Y,Y,BL-SPHS,3008,1
OLE2749,OLE2749,OLE2749,OLE2749,A,P,50000,Y,Y,IN-DMSC,3417,1
OLE2750,OLE2750,OLE2750,OLE2750,A,P,50000,Y,Y,BL-PSY,3543,1
OLE2751,OLE2751,OLE2751,OLE2751,A,P,50000,Y,Y,NW-SOC,3606,1
OLE2752,OLE2752,OLE2752,OLE2752,A,P,50000,Y,Y,KO-NIMS,3607,1
OLE2753,OLE2753,OLE2753,OLE2753,A,P,50000,Y,Y,BL-PSY,3623,1
OLE2754,OLE2754,OLE2754,OLE2754,R,P,50000,Y,Y,SB-ENG,3914,1
OLE2755,OLE2755,OLE2755,OLE2755,A,P,50000,Y,Y,UA-VPUR,4117,1
OLE2756,OLE2756,OLE2756,OLE2756,A,P,50000,Y,Y,BL-BL,4301,1
OLE2757,OLE2757,OLE2757,OLE2757,A,P,50000,Y,Y,EA-HUFA,4330,1
OLE2758,OLE2758,OLE2758,OLE2758,A,P,50000,Y,Y,KO-EDUC,4483,1
OLE2759,OLE2759,OLE2759,OLE2759,A,P,50000,Y,Y,IN-PD,4621,1
OLE2760,OLE2760,OLE2760,OLE2760,A,P,50000,Y,Y,BL-LLC,4805,1
OLE2761,OLE2761,OLE2761,OLE2761,A,P,50000,Y,Y,BL-SPAN,4826,1
OLE2762,OLE2762,OLE2762,OLE2762,A,P,50000,Y,Y,BL-SOC,4829,1
OLE2763,OLE2763,OLE2763,OLE2763,A,P,50000,Y,Y,IN-BIOL,4857,1
OLE2764,OLE2764,OLE2764,OLE2764,A,P,50000,Y,Y,BL-PSY,5284,1
OLE2765,OLE2765,OLE2765,OLE2765,A,P,50000,Y,Y,BL-ANTH,5651,1
OLE2766,OLE2766,OLE2766,OLE2766,A,P,50000,Y,Y,IN-DMED,5738,1
OLE2767,OLE2767,OLE2767,OLE2767,A,P,50000,Y,Y,BL-BL,5799,1
OLE2768,OLE2768,OLE2768,OLE2768,T,P,50000,Y,Y,SB-CHAN,6026,1
OLE2769,OLE2769,OLE2769,OLE2769,T,P,50000,Y,Y,SB-PHYS,6271,1
OLE2770,OLE2770,OLE2770,OLE2770,A,P,50000,Y,Y,SB-BSCI,6272,1
OLE2771,OLE2771,OLE2771,OLE2771,A,P,50000,Y,Y,EA-BSSD,6336,1
OLE2772,OLE2772,OLE2772,OLE2772,A,P,50000,Y,Y,BL-PSY,6337,1
OLE2773,OLE2773,OLE2773,OLE2773,A,P,50000,Y,Y,BL-SOC,6639,1
OLE2774,OLE2774,OLE2774,OLE2774,A,P,50000,Y,Y,IN-SOC,6689,1
OLE2775,OLE2775,OLE2775,OLE2775,A,P,50000,Y,Y,BL-ARSD,6708,1
OLE2776,OLE2776,OLE2776,OLE2776,A,P,50000,Y,Y,BA-IMAU,6883,1
OLE2777,OLE2777,OLE2777,OLE2777,T,P,50000,Y,Y,IN-BUDG,6947,1
OLE2778,OLE2778,OLE2778,OLE2778,A,P,50000,Y,Y,BL-SOC,7220,1
OLE2779,OLE2779,OLE2779,OLE2779,R,P,50000,Y,Y,IN-IN,7392,1
OLE2780,OLE2780,OLE2780,OLE2780,A,P,50000,Y,Y,IN-SPEA,7399,1
OLE2781,OLE2781,OLE2781,OLE2781,A,N,50000,Y,Y,IN-ANES,7499,1
OLE2782,OLE2782,OLE2782,OLE2782,A,N,50000,Y,Y,BL-PSY,7723,1
OLE2783,OLE2783,OLE2783,OLE2783,A,P,50000,Y,Y,IN-UCOL,7775,1
OLE2784,OLE2784,OLE2784,OLE2784,A,P,50000,Y,Y,SB-MAS,7926,1
OLE2785,OLE2785,OLE2785,OLE2785,A,P,50000,Y,Y,SB-POLS,8013,1
OLE2786,OLE2786,OLE2786,OLE2786,A,P,50000,Y,Y,EA-AADV,8014,1
OLE2787,OLE2787,OLE2787,OLE2787,R,P,50000,Y,Y,IN-HIST,8126,1
