prncpl_id,obj_id,prncpl_nm,entity_id,actv_ind
OLE1000311694,OLE1000311694,ole-rusuzuki,OLE1000311694,Y
OLE1000017761,OLE1000017761,ole-saantolovic,OLE1000017761,Y
OLE1000249330,OLE1000249330,ole-stdooley,OLE1000249330,Y
OLE1000142000,OLE1000142000,ole-ststeinmetz,OLE1000142000,Y
OLE1000159016,OLE1000159016,ole-sueickmeier,OLE1000159016,Y
OLE1000155605,OLE1000155605,ole-suhanson,OLE1000155605,Y
OLE1000228415,OLE1000228415,ole-sukerstiens,OLE1000228415,Y
OLE1000079805,OLE1000079805,ole-tayates,OLE1000079805,Y
OLE1000274180,OLE1000274180,ole-thlazzerini,OLE1000274180,Y
OLE1000273014,OLE1000273014,ole-thvolpatti,OLE1000273014,Y
OLE1000198368,OLE1000198368,ole-tibucur-deckard,OLE1000198368,Y
OLE1000013326,OLE1000013326,ole-tigould,OLE1000013326,Y
OLE1000303791,OLE1000303791,ole-tiwilliams,OLE1000303791,Y
OLE1000150193,OLE1000150193,ole-torivard,OLE1000150193,Y
OLE1000008129,OLE1000008129,ole-towidlanski,OLE1000008129,Y
OLE1000142039,OLE1000142039,ole-vaross,OLE1000142039,Y
OLE1000164608,OLE1000164608,ole-vipiston-hatlen,OLE1000164608,Y
OLE1000146866,OLE1000146866,ole-viwinchester,OLE1000146866,Y
OLE2777805,OLE2777805,ole-wewilliams,OLE2777805,Y
OLE1000064676,OLE1000064676,ole-wischmidt,OLE1000064676,Y
OLE1000105281,OLE1000105281,ole-xigaither,OLE1000105281,Y
OLE10000,OLE10000,ole-jumonica,OLE10000,Y
OLE10001,OLE10001,ole-jodavid,OLE10001,Y
OLE10002,OLE10002,ole-jpaul,OLE10002,Y
OLE10003,OLE10003,ole-cstan,OLE10003,Y
OLE10004,OLE10004,ole-mandrew,OLE10004,Y
OLE10005,OLE10005,ole-fermat,OLE10005,Y
OLE10006,OLE10006,ole-hachris,OLE10006,Y
OLE10007,OLE10007,ole-nmargret,OLE10007,Y
OLE10008,OLE10008,ole-mjeni,OLE10008,Y
OLE10009,OLE10009,ole-mshaun,OLE10009,Y
OLE10010,OLE10010,ole-jowin,OLE10010,Y
OLE10011,OLE10011,ole-rjoseh,OLE10011,Y
OLE10012,OLE10012,ole-kgeorge,OLE10012,Y
OLE10013,OLE10013,ole-pclemet,OLE10013,Y
OLE10014,OLE10014,ole-jmarsh,OLE10014,Y
OLE10015,OLE10015,ole-franste,OLE10015,Y
OLE10016,OLE10016,ole-jsmith,OLE10016,Y
OLE10017,OLE10017,ole-jjones,OLE10017,Y
OLE10018,OLE10018,ole-msmith,OLE10018,Y
OLE10019,OLE10019,ole-jfunk,OLE10019,Y
OLE10020,OLE10020,ole-jshowalter,OLE10020,Y
OLE10021,OLE10021,ole-mwinkler,OLE10021,Y
OLE10022,OLE10022,ole-bperser,OLE10022,Y
OLE10023,OLE10023,ole-smills,OLE10023,Y
OLE10024,OLE10024,ole-lreeder,OLE10024,Y
OLE10025,OLE10025,ole-elions,OLE10025,Y
OLE10026,OLE10026,ole-ejacob,OLE10026,Y
KULUSER,5B97C50B03BA6110E0404F8189D85213,kuluser,1136,Y
notsysadm,5B97C50B03BC6110E0404F8189D85213,notsysadm,1132,Y
testadmin1,5B97C50B03BD6110E0404F8189D85213,testadmin1,1101,Y
testadmin2,5B97C50B03BE6110E0404F8189D85213,testadmin2,1102,Y
testuser1,5B97C50B03BF6110E0404F8189D85213,testuser1,1103,Y
testuser2,5B97C50B03C06110E0404F8189D85213,testuser2,1104,Y
testuser3,5B97C50B03C16110E0404F8189D85213,testuser3,1105,Y
testuser4,5B97C50B03C26110E0404F8189D85213,testuser4,1106,Y
testuser5,5B97C50B03C36110E0404F8189D85213,testuser5,1107,Y
testuser6,5B97C50B03C46110E0404F8189D85213,testuser6,1108,Y
admin1,5B97C50B03C66110E0404F8189D85213,admin1,1125,Y
admin2,5B97C50B03C76110E0404F8189D85213,admin2,1126,Y
dev1,5B97C50B03C86110E0404F8189D85213,dev1,1129,Y
dev2,5B97C50B03C96110E0404F8189D85213,dev2,1130,Y
PALCI,PALCI,PALCI,OLE111,Y
API,API,API,OLE222,Y
director,5B97C50B03CA6110E0404F8189D85213,director,1135,Y
doug,5B97C50B03CB6110E0404F8189D85213,doug,1121,Y
earl,5B97C50B03CC6110E0404F8189D85213,earl,1116,Y
edna,5B97C50B03CD6110E0404F8189D85213,edna,1114,Y
employee,5B97C50B03CE6110E0404F8189D85213,employee,1137,Y
eric,5B97C50B03CF6110E0404F8189D85213,eric,1115,Y
erin,5B97C50B03D06110E0404F8189D85213,erin,1117,Y
fran,5B97C50B03D16110E0404F8189D85213,fran,1119,Y
frank,5B97C50B03D26110E0404F8189D85213,frank,1120,Y
fred,5B97C50B03D36110E0404F8189D85213,fred,1118,Y
idm1,5B97C50B03D46110E0404F8189D85213,idm1,1122,Y
idm2,5B97C50B03D56110E0404F8189D85213,idm2,1123,Y
idm3,5B97C50B03D66110E0404F8189D85213,idm3,1124,Y
newaccountuser,5B97C50B03D76110E0404F8189D85213,newacctusr,1133,Y
quickstart,5B97C50B03D86110E0404F8189D85213,quickstart,1109,Y
supervisor,5B97C50B03D96110E0404F8189D85213,supervisr,1134,Y
test1,5B97C50B03DA6110E0404F8189D85213,test1,1127,Y
test2,5B97C50B03DB6110E0404F8189D85213,test2,1128,Y
user1,5B97C50B03DC6110E0404F8189D85213,user1,1110,Y
user2,5B97C50B03DD6110E0404F8189D85213,user2,1111,Y
user3,5B97C50B03DE6110E0404F8189D85213,user3,1112,Y
user4,5B97C50B03DF6110E0404F8189D85213,user4,1113,Y
activeuserid,77120a7e07b54101862bd6d1c0cc69a8,activeusernm,1138,Y
inactiveuserid,10dabf98733d41f692e75ca17d271917,inactiveusernm,1139,Y
inactiveempid,4fb28bea22fc42d5a9a1e4d93d8d35a0,inactiveempid,1140,Y
testuser7,985c2ce748ba4934aadec42050398ee7,testuser7,1141,Y
supercat,OLE1001,supercat,OLE100001,Y
catsup,OLE1002,catsup,OLE100002,Y
cat1,OLE1003,cat1,OLE100003,Y
cat2,OLE1004,cat2,OLE100004,Y
tempcat1,OLE1005,tempcat1,OLE100005,Y
catfull,OLE1006,catfull,OLE100006,Y
catbatch,OLE1007,catbatch,OLE100007,Y
describereadonly,OLE1008,describereadonly,OLE100008,Y
