CAMPUS_CD,BLDG_CD,OBJ_ID,VER_NBR,BLDG_NM,BLDG_STR_ADDR,BLDG_ADDR_CTY_NM,BLDG_ADDR_ST_CD,BLDG_ADDR_ZIP_CD,ALTRNT_BLDG_CD,ROW_ACTV_IND,BLDG_ADDR_CNTRY_CD
"SE","SE859","440146BC20E680DAE043814FD88180DA",1,"Baseball Concession","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE859A","440146BC20E780DAE043814FD88180DA",1,"Baseball Dgt A","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE859B","440146BC20E880DAE043814FD88180DA",1,"Baseball Dgt B","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE861","440146BC20E980DAE043814FD88180DA",1,"Concession Stand",null,"New Albany","IN","47150-6405",null,"Y","US"
"SE","SE861A","440146BC20EA80DAE043814FD88180DA",1,"Dugout A",null,"New Albany","IN","47150-6405",null,"Y","US"
"SE","SE861B","440146BC20EB80DAE043814FD88180DA",1,"Dugout B",null,"New Albany","IN","47150-6405",null,"Y","US"
"SE","SE870","440146BC20EC80DAE043814FD88180DA",1,"Activities Building","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE870A","440146BC20ED80DAE043814FD88180DA",1,"Telescope House","4201 Bald Knob Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE871","440146BC20EE80DAE043814FD88180DA",1,"North Observatory","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE872","440146BC20EF80DAE043814FD88180DA",1,"Observatory","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE872A","440146BC20F080DAE043814FD88180DA",1,"Observatory Storage","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE874","440146BC20F180DAE043814FD88180DA",1,"Library IUSE","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE880","440146BC20F280DAE043814FD88180DA",1,"Physical Science","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE881A","440146BC20F380DAE043814FD88180DA",1,"Life Sci Gnhs A","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE882","440146BC20F480DAE043814FD88180DA",1,"Crestview Hall","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE883","440146BC20F580DAE043814FD88180DA",1,"Hillside Hall","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE884","440146BC20F680DAE043814FD88180DA",1,"Univ Ctr South (Former Library)","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE885","440146BC20F780DAE043814FD88180DA",1,"Univ Ctr North","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE887","440146BC20F880DAE043814FD88180DA",1,"Greenhouse","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE887A","440146BC20F980DAE043814FD88180DA",1,"Greenhouse Addition","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE888","440146BC20FA80DAE043814FD88180DA",1,"Knobview Hall","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"SE","SE889","440146BC20FB80DAE043814FD88180DA",1,"Ogle Center","4201 Grant Line Rd","New Albany","IN","47150-6405",null,"Y","US"
"BL","BL001","440146BC1FC980DAE043814FD88180DA",1,"Law","211 S Indiana Ave","Bloomington","IN","47405-7001",null,"Y","US"
"BL","BL009","440146BC1FCA80DAE043814FD88180DA",1,"Poplars Parking","6th St & Dunn St","Bloomington","IN","47405",null,"Y","US"
"BL","BL009C","440146BC1FCB80DAE043814FD88180DA",1,"International Programs","201 N Indiana Ave","Bloomington","IN","47408-4001",null,"Y","US"
"BL","BL011","440146BC1FCC80DAE043814FD88180DA",1,"Mathers Museum","601 E 8th St","Bloomington","IN","47408-3812",null,"Y","US"
"BL","BL011K","440146BC1FCD80DAE043814FD88180DA",1,"CRAFT","419 N Indiana Ave","Bloomington","IN","47408-3741",null,"Y","US"
"BL","BL013","440146BC1FCE80DAE043814FD88180DA",1,"Glenn Black Lab","423 N Fess Ave","Bloomington","IN","47408-3800",null,"Y","US"
"BL","BL013A","440146BC1FCF80DAE043814FD88180DA",1,"Student Legal Services","703 E 7th St","Bloomington","IN","47408-3836",null,"Y","US"
"BL","BL013B","440146BC1FD080DAE043814FD88180DA",1,"Student Ethics/Alcohol-Drug Info Center","705 E 7th St","Bloomington","IN","47408-3836",null,"Y","US"
"BL","BL013Y","440146BC1FD180DAE043814FD88180DA",1,"Latino Cultural Center","715 E 7th St","Bloomington","IN","47408-3836",null,"Y","US"
"BL","BL014B","440146BC1FD280DAE043814FD88180DA",1,"701 E 8th St","701 E 8th St","Bloomington","IN","47408-3840",null,"Y","US"
"BL","BL014K","440146BC1FD380DAE043814FD88180DA",1,"American Indian Studies","422 N Indiana Ave","Bloomington","IN","47408-3742",null,"Y","US"
"BL","BL014N","440146BC1FD480DAE043814FD88180DA",1,"521 N Park Ave","521 N Park Ave","Bloomington","IN","47408-3829",null,"Y","US"
"BL","BL017","440146BC1FD580DAE043814FD88180DA",1,"Student Building","701 E Kirkwood Ave","Bloomington","IN","47405-7100",null,"Y","US"
"BL","BL021","440146BC1FD680DAE043814FD88180DA",1,"Kirkwood Observatory","119 S Indiana Ave","Bloomington","IN","47405-7000",null,"Y","US"
"BL","BL025A","440146BC1FD780DAE043814FD88180DA",1,"630 E 3rd St","630 E 3rd St","Bloomington","IN","47405-3602",null,"Y","US"
"BL","BL025B","440146BC1FD880DAE043814FD88180DA",1,"Poynter Center","618 E 3rd St","Bloomington","IN","47405-3602",null,"Y","US"
"BL","BL025G","440146BC1FD980DAE043814FD88180DA",1,"Law Clinic","624 E 3rd St","Bloomington","IN","47405-3602",null,"Y","US"
"BL","BL027","440146BC1FDA80DAE043814FD88180DA",1,"Swain West","727 E 3rd St","Bloomington","IN","47405-7105",null,"Y","US"
"BL","BL037B","440146BC1FDB80DAE043814FD88180DA",1,"712 E 8th St","712 E 8th St","Bloomington","IN","47408-3841",null,"Y","US"
"BL","BL041A","440146BC1FDC80DAE043814FD88180DA",1,"801 E 9th St","801 E 9th St","Bloomington","IN","47408-3805",null,"Y","US"
"BL","BL044","440146BC1FDD80DAE043814FD88180DA",1,"McCalla","525 E 9th St","Bloomington","IN","47408",null,"Y","US"
"BL","BL044B","440146BC1FDE80DAE043814FD88180DA",1,"501 N Park Ave","501 N Park Ave","Bloomington","IN","47405",null,"Y","US"
"BL","BL044D","440146BC1FDF80DAE043814FD88180DA",1,"Political Theory","513 N Park Ave","Bloomington","IN","47408-3895",null,"Y","US"
"BL","BL044E","440146BC1FE080DAE043814FD88180DA",1,"515 N Park Ave","515 N Park Ave","Bloomington","IN","47408-3829",null,"Y","US"
"BL","BL044H","440146BC1FE180DAE043814FD88180DA",1,"Knee-High Daycare","702 E Cottage Gr","Bloomington","IN","47408-3816",null,"Y","US"
"BL","BL044M","440146BC1FE280DAE043814FD88180DA",1,"CRCC","510-512 N Fess Ave","Bloomington","IN","47408-3822",null,"Y","US"
"BL","BL044N","440146BC1FE380DAE043814FD88180DA",1,"506-508 N Fess Ave","506-508 N Fess Ave","Bloomington","IN","47408-3822",null,"Y","US"
"BL","BL044P","440146BC1FE480DAE043814FD88180DA",1,"Folklore","504 N Fess Ave","Bloomington","IN","47408-3822",null,"Y","US"
"BL","BL044R","440146BC1FE580DAE043814FD88180DA",1,"Sunflower Daycare","508 E 9th St","Bloomington","IN","47408-3603",null,"Y","US"
"BL","BL044T","440146BC1FE680DAE043814FD88180DA",1,"505 N Park Ave","505 N Park Ave","Bloomington","IN","47408-3829",null,"Y","US"
"BL","BL047A","440146BC1FE780DAE043814FD88180DA",1,"809 E 9th St","809 E 9th St","Bloomington","IN","47408-3842",null,"Y","US"
"BL","BL049A","440146BC1FE880DAE043814FD88180DA",1,"825 E 8th St","825 E 8th St","Bloomington","IN","47408-3842",null,"Y","US"
"BL","BL049B","440146BC1FE980DAE043814FD88180DA",1,"815-819 E 8th St","815-819 E 8th St","Bloomington","IN","47408-3842",null,"Y","US"
"BL","BL049C","440146BC1FEA80DAE043814FD88180DA",1,"809 E 8th St","809 E 8th St","Bloomington","IN","47408-3842",null,"Y","US"
"BL","BL049D","440146BC1FEB80DAE043814FD88180DA",1,"803 E 8th St","803 E 8th St","Bloomington","IN","47408-3842",null,"Y","US"
"BL","BL049E","440146BC1FEC80DAE043814FD88180DA",1,"402 N Park","402 N Park Ave","Bloomington","IN","47408-3828",null,"Y","US"
"BL","BL049F","440146BC1FED80DAE043814FD88180DA",1,"410 N Park","410 N Park Ave","Bloomington","IN","47408-3828",null,"Y","US"
"BL","BL049H","440146BC1FEE80DAE043814FD88180DA",1,"309 N Woodlawn Ave","309 N Woodlawn Ave","Bloomington","IN","47405",null,"Y","US"
"BL","BL050C","440146BC1FEF80DAE043814FD88180DA",1,"Harris House","801 E 7th St","Bloomington","IN","47405-3937",null,"Y","US"
"BL","BL053","440146BC1FF080DAE043814FD88180DA",1,"IN Memorial Union","900 E 7th St","Bloomington","IN","47405-3905",null,"Y","US"
"BL","BL055","440146BC1FF180DAE043814FD88180DA",1,"Owen Hall","790 E Kirkwood Ave","Bloomington","IN","47405-7101",null,"Y","US"
"BL","BL057","440146BC1FF280DAE043814FD88180DA",1,"Wylie Hall","100 S Woodlawn Ave","Bloomington","IN","47405-7104",null,"Y","US"
"BL","BL058","440146BC1FF380DAE043814FD88180DA",1,"Kirkwood Hall","130 S Woodlawn Ave","Bloomington","IN","47405-7104",null,"Y","US"
"BL","BL059","440146BC1FF480DAE043814FD88180DA",1,"Lindley Hall","150 S Woodlawn Ave","Bloomington","IN","47405-7104",null,"Y","US"
"BL","BL061","440146BC1FF580DAE043814FD88180DA",1,"Swain East","729 E 3rd St","Bloomington","IN","47405-7105",null,"Y","US"
"BL","BL062","440146BC1FF680DAE043814FD88180DA",1,"Opto Clinic (New)","744 E 3rd St","Bloomington","IN","47401",null,"Y","US"
"BL","BL063","440146BC1FF780DAE043814FD88180DA",1,"Henderson-Atwater Parking Garage","310 S Fess Ave","Bloomington","IN","47401",null,"Y","US"
"BL","BL063L","440146BC1FF880DAE043814FD88180DA",1,"720 E Atwater Ave","720 E Atwater Ave","Bloomington","IN","47401-3634",null,"Y","US"
"BL","BL063M","440146BC1FF980DAE043814FD88180DA",1,"722 E Atwater Ave","722 E Atwater Ave","Bloomington","IN","47401-3634",null,"Y","US"
"BL","BL065B","440146BC1FFA80DAE043814FD88180DA",1,"Military Science","814 E 3rd St","Bloomington","IN","47405-3657",null,"Y","US"
"BL","BL066","440146BC1FFB80DAE043814FD88180DA",1,"Classroom-Office Building","800 E 3rd St","Bloomington","IN","47405-3657",null,"Y","US"
"BL","BL067","440146BC1FFC80DAE043814FD88180DA",1,"Rawles Hall","831 E 3rd St","Bloomington","IN","47405-7106",null,"Y","US"
"BL","BL069","440146BC1FFD80DAE043814FD88180DA",1,"Atwater Parking","925 E Atwater Ave","Bloomington","IN","47405",null,"Y","US"
"BL","BL070","440146BC1FFE80DAE043814FD88180DA",1,"Simon Hall (Science)","212 S Hawthorne Dr","Bloomington","IN","47405-7003",null,"Y","US"
"BL","BL071","440146BC1FFF80DAE043814FD88180DA",1,"Chemistry","800 E Kirkwood Ave","Bloomington","IN","47405-7102",null,"Y","US"
"BL","BL072","440146BC200080DAE043814FD88180DA",1,"Chemistry Addition","800 E Kirkwood Ave","Bloomington","IN","47405-7102",null,"Y","US"
"BL","BL075","440146BC200180DAE043814FD88180DA",1,"Ernie Pyle Hall","940 E 7th St","Bloomington","IN","47405-7108",null,"Y","US"
"BL","BL091","440146BC200280DAE043814FD88180DA",1,"Wildermuth Gym","1025 E 7th St","Bloomington","IN","47405-7109",null,"Y","US"
"BL","BL101","440146BC200380DAE043814FD88180DA",1,"Myers Hall","915 E 3rd St","Bloomington","IN","47405-7107",null,"Y","US"
"BL","BL109","440146BC200480DAE043814FD88180DA",1,"Goodbody Hall","1011 E 3rd St","Bloomington","IN","47405-7005",null,"Y","US"
"BL","BL111","440146BC200580DAE043814FD88180DA",1,"Ballantine Hall","1020 E Kirkwood Ave","Bloomington","IN","47405-7103",null,"Y","US"
"BL","BL119","440146BC200680DAE043814FD88180DA",1,"HPER Building","1025 E 7th St","Bloomington","IN","47405-7109",null,"Y","US"
"BL","BL133","440146BC200780DAE043814FD88180DA",1,"Woodburn Hall","1100 E 7th St","Bloomington","IN","47405-7110",null,"Y","US"
"BL","BL139","440146BC200880DAE043814FD88180DA",1,"Morrison Hall","1165 E 3rd St","Bloomington","IN","47405-3700",null,"Y","US"
"BL","BL141","440146BC200980DAE043814FD88180DA",1,"Memorial Hall","1021 E 3rd St","Bloomington","IN","47405-7005",null,"Y","US"
"BL","BL143","440146BC200A80DAE043814FD88180DA",1,"Music Practice","1124 E 3rd St","Bloomington","IN","47405",null,"Y","US"
"BL","BL143C","440146BC200B80DAE043814FD88180DA",1,"Social Research","1022 E 3rd St","Bloomington","IN","47401-3779",null,"Y","US"
"BL","BL147","440146BC200C80DAE043814FD88180DA",1,"Merrill Hall","1201 E 3rd St","Bloomington","IN","47405-7006",null,"Y","US"
"BL","BL148","440146BC200D80DAE043814FD88180DA",1,"Music Addition","1201 E 3rd St","Bloomington","IN","47405-7006",null,"Y","US"
"BL","BL149","440146BC200E80DAE043814FD88180DA",1,"Sycamore Hall","1033 E 3rd St","Bloomington","IN","47405-7005",null,"Y","US"
"BL","BL153","440146BC200F80DAE043814FD88180DA",1,"Art Museum","1133 E 7th St","Bloomington","IN","47405-7509",null,"Y","US"
"BL","BL155","440146BC201080DAE043814FD88180DA",1,"Lilly Library","1200 E 7th St","Bloomington","IN","47405-5500",null,"Y","US"
