PERM_ID,OBJ_ID,VER_NBR,PERM_TMPL_ID,NMSPC_CD,NM,DESC_TXT,ACTV_IND
OLE281,OLE281,1,OLE41,OLE-FP,Modify Accounting Lines PCDO AccountFullEdit targetAccountingLines,Allows users to modify the Target accounting lines on a Procurement Card Document that is at the Account Full Entry Node of routing.,Y
OLE282,OLE282,1,31,OLE-PURAP,Use Transactional Document AP managerCancel,Users who can cancel Payment Request or Credit Memo documents at a manager level.,Y
OLE283,OLE283,1,31,OLE-PURAP,Use Transactional Document AP processorCancel,Users who can cancel Payment Request or Credit Memo documents at a processor level.,Y
OLE284,OLE284,1,40,OLE-PURAP,Open Document ACM,Authorizes users to open the Contract Manager Assignment Document.,Y
OLE285,OLE285,1,29,OLE-PDP,Use Screen KFS-PDP,Allows users to access all Pre-Disbursement Processor screens.,Y
OLE286,OLE286,1,31,OLE-PURAP,Use Transactional Document PREQ requestPaymentRequestHold,Authorizes users to put Payment Request documents on Hold.,Y
OLE287,OLE287,1,29,OLE-GL,Use Screen org.kuali.kfs.gl.web.struts.BalanceInquiryAction,Allows users to access Balance Inquiry screens. ,Y
OLE291,OLE291,1,40,OLE-PURAP,Open Document EIRT,Authorizes users to open the Electronic Invoice Reject Document.,Y
OLE292,OLE292,1,33,OLE-PURAP,Upload Batch Input File(s) electronicInvoiceInputFileType,Authorizes users to upload eInvoice files.,Y
OLE293,OLE293,1,31,OLE-PURAP,Use Transactional Document CM requestVendorCreditMemoHold,Authorizes users to put Credit Memo documents on Hold.,Y
OLE294,OLE294,1,31,OLE-PURAP,Use Transactional Document CM vendorCreditMemoHoldRemoval,Authorizes users to remove a Hold from Credit Memo documents.,Y
OLE301,OLE301,1,29,OLE-GL,Use Screen org.kuali.kfs.sys.web.struts.KualiBalanceInquiryReportMenuAction,"Allows users to see menu of balance inquiries after hitting ""balance inquiry"" button on an accounting line in an accounting document.",Y
OLE308,OLE308,1,OLE41,OLE-PURAP,Modify Accounting Lines REQS Initiator items.sourceAccountingLines,Allows users to modify the Source accounting lines on a Requisition Document that is at the Initiator Node of routing.,Y
OLE313,OLE313,1,45,OLE-PURAP,Add Note / Attachment PO Contracts,"Authorizes users to add notes and attachments with a type of ""Contracts"" to the Purchase Order document. ",Y
OLE314,OLE314,1,46,OLE-PURAP,View Note / Attachment PO Contracts,"Authorizes users to view attachments with a type of ""Contract"" on Purchase Order documents and documents answering to that document type.",Y
OLE315,OLE315,1,45,OLE-PURAP,Add Note / Attachment PO Contract Ammendments,"Authorizes users to add notes and attachments with a type of ""Contract"" on Purchase Order documents and documents answering to that document type.",Y
OLE316,OLE316,1,46,OLE-PURAP,View Note / Attachment PO Contract Ammendments,"Authorizes users to view attachments with a type of ""Contract Amendments"" on Purchase Order documents and documents answering to that document type.",Y
OLE317,OLE317,1,45,OLE-PURAP,Add Note / Attachment PO Quotes,"Authorizes users to add notes and attachments with a type of ""Quotes"" on Purchase Order documents and documents answering to that document type.",Y
OLE318,OLE318,1,46,OLE-PURAP,View Note / Attachment PO Quotes,"Authorizes users to view attachments with a type of ""Quotes"" on Purchase Order documents and documents answering to that document type.",Y
OLE319,OLE319,1,45,OLE-PURAP,Add Note / Attachment PO RFPs,"Authorizes users to add notes and attachments with a type of ""RFPs"" on Purchase Order documents and documents answering to that document type.",Y
OLE320,OLE320,1,46,OLE-PURAP,View Note / Attachment PO RFPs,"Authorizes users to view attachments with a type of ""RFPs"" on Purchase Order documents and documents answering to that document type.",Y
OLE321,OLE321,1,45,OLE-PURAP,Add Note / Attachment PO RFP Responses,"Authorizes users to add notes and attachments with a type of ""RFP"" on Purchase Order documents and documents answering to that document type.",Y
OLE322,OLE322,1,46,OLE-PURAP,View Note / Attachment PO RFP Responses,"Authorizes users to view attachments with a type of ""RFP"" on Purchase Order documents and documents answering to that document type.",Y
OLE323,OLE323,1,45,OLE-PURAP,Add Note / Attachment PO Other - Restricted,"Authorizes users to add notes or attachments with a type of ""Other-Restricted"" on Purchase Order documents and documents answering to that document type.",Y
OLE324,OLE324,1,46,OLE-PURAP,View Note / Attachment PO Other - Restricted,"Authorizes users to view attachments with a type of ""Other-Restricted"" on Purchase Order documents and documents answering to that document type.",Y
OLE325,OLE325,1,45,OLE-PURAP,Add Note / Attachment CM Credit Memo Image,"Authorizes users to add notes or attachments with a type of ""Credit Memo Image"" on Credit Memo documents.",Y
OLE326,OLE326,1,46,OLE-PURAP,View Note / Attachment CM Credit Memo Image,"Authorizes users to view attachments with a type of ""Credit Memo Image"" on Credit Memo documents.",Y
OLE328,OLE328,1,OLE41,OLE-PURAP,Modify Accounting Lines REQS Organization items.sourceAccountingLines,Allows users to modify the Source accounting lines on a Requisition Document that is at the Organization Node of routing.,Y
OLE329,OLE329,1,29,OLE-FP,Use Screen org.kuali.kfs.fp.document.web.struts.CashManagementStatusAction,Allows access to the Cash Management Document screen that a user sees when they try to initiate and a document is already open for their campus. The screen provides them a link to the existing document for their campus.,Y
OLE330,OLE330,1,29,OLE-FP,Use Screen org.kuali.kfs.fp.document.web.struts.DepositWizardAction,Allows access to the Cash Management Document screen from which a user can create new deposits.,Y
OLE331,OLE331,1,29,OLE-FP,Use Screen org.kuali.kfs.fp.web.struts.CashDrawerCorrectionAction,Allows access to the Cash Management Document screen from which a user can correct amounts on a closed cash drawer.,Y
OLE335,OLE335,1,26,OLE-VND,Modify Maintenance Document Field VendorDetail vendorHeader.vendorTaxTypeCode,Authorizes users to modify the Tax Type Code on a Vendor Maintenance Document.,Y
OLE350,OLE350,1,10,OLE-FP,Initiate Document CR,Authorizes the initiation of the Cash Receipt Document.,Y
OLE351,OLE351,1,1,OLE-COA,Serve As Account Supervisor,Identifies users that can be Account Supervisors.,Y
OLE352,OLE352,1,1,OLE-COA,Serve As Fiscal Officer,Identifies users that can be Account Fiscal Officers.,Y
OLE353,OLE353,1,1,OLE-COA,Serve As Fiscal Officer Delegate,Identifies users that can be Account Fiscal Officer Delegates.,Y
OLE354,OLE354,1,29,OLE-FP,Use Screen org.kuali.kfs.fp.document.web.struts.DisbursementVoucherHelpAction,???,Y
OLE355,OLE355,1,OLE41,OLE-PURAP,Modify Accounting Lines POA NewUnorderedItems items.sourceAccountingLines,Allows users to modify the Source accounting lines on a Purchase Order Amendment Document that is at the New Unordered Items Node of routing.,Y
OLE356,OLE356,1,10,OLE-PURAP,Initiate Document CM,Authorizes the initiation of the Credit Memo Document.,Y
OLE358,OLE358,1,OLE41,OLE-FP,Modify Accounting Lines DV Travel sourceAccountingLines.financialObjectCode,Allows users to modify the object code of Source accounting lines on a Disbursement Voucher Document that is at the Travel Node of routing.,Y
OLE361,OLE361,1,10,OLE-FP,Initiate Document CDS,Authorizes the initiation of the Cash Drawer Document.,Y
OLE362,OLE362,1,OLE50,OLE-SYS,View Batch File(s) KFS*,Authorizes users to view batch files using the Batch File lookup screen.,Y
OLE363,OLE363,1,23,OLE-PDP,Look Up Records KFS-PDP PurchasingPaymentDetail,Allow users to access Pre Disbursement Processor lookups.,Y
OLE364,OLE364,1,27,OLE-VND,Full Unmask Field VendorDetail vendorHeader.vendorTaxTypeCode,Authorizes users to view the entire Tax Number on the Vendor Maintenance Document and Inquiry.,Y
OLE365,OLE365,1,16,OLE-PURAP,Edit Document PREQ P,Authorizes users who can edit Payment Request Documents that are in ENROUTE status.,Y
OLE366,OLE366,1,16,OLE-PURAP,Edit Document PREQ F,Authorizes users who can edit Payment Request Documents that are in ENROUTE status.,Y
OLE367,OLE367,1,16,OLE-PURAP,Edit Document CM P,Authorizes users who can edit Credit Memo Documents that are in PROCESSED status.,Y
OLE368,OLE368,1,16,OLE-PURAP,Edit Document CM F,Authorizes users who can edit Credit Memo Documents that are in FINAL status.,Y
OLE372,OLE372,1,OLE48,OLE-FP,Edit Bank Code CMD,Users who can edit the Bank Code field on the Cash Management Document.,Y
OLE373,OLE373,1,OLE48,OLE-PURAP,Edit Bank Code PREQ,Users who can edit the Bank Code field on the Payment Request Document.,Y
OLE374,OLE374,1,OLE48,OLE-FP,Edit Bank Code DV,Users who can edit the Bank Code field on the Disbursement Voucher Document.,Y
OLE379,OLE379,1,10,OLE-SYS,Initiate Document IdentityManagementGroupDocument,Authorizes the initiation of the KIM Group document.,Y
OLE380,OLE380,1,10,OLE-COA,Initiate Document GORV,Authorizes the initiation of the Organization Reversion Global Document.,Y
OLE381,OLE381,1,27,OLE-FP,Full Unmask Field DisbursementVoucherWireTransfer disbVchrPayeeAccountNumber,Authorizes users to view the entire bank account number on the Wire Transfer tab of the Disbursement Voucher document.,Y
OLE382,OLE382,1,16,OLE-SYS,Edit Document FSSM AdHoc R,Authorizes users to edit Simple Maintenance document at the AdHoc route node.,Y
OLE383,OLE383,1,16,OLE-SYS,Edit Document KFSM AdHoc R,Authorizes users to edit Complex Maintenance document at the AdHoc route node.,Y
OLE385,OLE385,1,33,OLE-GL,Upload Batch Input File(s) collectorFlatFileInputFileType,Authorizes user to access the Collector Flat File Upload page.,Y
OLE386,OLE386,1,27,OLE-PDP,Full Unmask Field PaymentGroup achBankRoutingNbr,Authorizes users to view the entire bank routing number on the Payment Detail Inquiry.,Y
OLE387,OLE387,1,27,OLE-PDP,Full Unmask Field AchAccountNumber achBankAccountNbr,Authorizes users to view the entire bank account number on the Payment Detail Inquiry.,Y
OLE390,OLE390,1,9,OLE-SYS,Ad Hoc Review Document KFS A,Authorizes users to take the Approve action on OLE documents Ad Hoc routed to them.,Y
OLE391,OLE391,1,9,OLE-SYS,Ad Hoc Review Document KFS F,Authorizes users to take the FYI action on OLE documents Ad Hoc routed to them.,Y
OLE392,OLE392,1,9,OLE-SYS,Ad Hoc Review Document KFS K,Authorizes users to take the Acknowledge action on OLE documents Ad Hoc routed to them.,Y
OLE1100,OLE1100,1,3,OLE-SYS,Administer Routing for Document KFST,Allows users to open Financial System Documents via the Super search option in Document Search and take Administrative workflow actions on them (such as approving the document  approving individual requests  or sending the document to a specified route node).,Y
OLE1101,OLE1101,1,2,OLE-SYS,Copy Document KFS,Allows access to the Copy button on OLE Financial System Documents.,Y
OLE1103,OLE1103,1,51,OLE-SYS,Add Message to Route Log KFS,Allows user to enter a message on the route log,Y
OLE1500,OLE1500,1,33,OLE-PURAP,Upload Batch Input File(s) ,Authorizes users to access the Marc File Upload page.,Y
OLE1501,OLE1501,1,1,OLE-VND,Inactivate Vendor,Authorizes users to inactivate the present vendor.,Y
OLESEC6001,OLESEC6001,1,10,OLE-SEC,Initiate Document AccessSecuritySimpleMaintenanceDocument,Authorizes the initiation of Access Security Simple Maintenance Documents.,Y
OLESEC6002,OLESEC6002,1,23,OLE-SEC,Look Up Records KFS-SEC,Authorizes the lookup of Access Security records.,Y
OLESEC6003,OLESEC6003,1,24,OLE-SEC,Inquire Into Records KFS-SEC,Authorizes inquiry of Access Security records.,Y
OLESEC6004,OLESEC6004,1,16,OLE-SEC,Edit Document AccessSecuritySimpleMaintenanceDocument PreRoute,Authorizes edit of Access Security Simple Maintenance Documents.,Y
OLEPURAP6940,OLEPURAP6940,1,27,OLE-PURAP,Unmask PO # On PO Document,Authorizes users to view the entire Purchase Order Number on the PO Document and Inquiry,Y
OLESYS7145a,OLESYS7145a,1,1,OLE-SYS,View Accounting Period,Users who can view the accounting period field when enabled for year end processing.,Y
OLESYS7145b,OLESYS7145b,1,1,OLE-SYS,Edit Accounting Period,Users who can edit the accounting period field when enabled for year end processing.,Y
