role_mbr_id,obj_id,role_id,mbr_id,mbr_typ_cd
OLE1296,OLE1296,OLE23,OLE3570803537,P
OLE1297,OLE1297,OLE23,OLE5331201785,P
OLE1298,OLE1298,OLE23,OLE4004609468,P
OLE1299,OLE1299,OLE23,OLE3414509376,P
OLE1289,OLE1289,OLE24,OLE4146202628,P
OLE1290,OLE1290,OLE24,OLE4124805803,P
OLE1678,OLE1678,OLE24,OLE2930203477,P
OLE1679,OLE1679,OLE24,OLE3679505261,P
OLE1680,OLE1680,OLE24,OLE6259500614,P
OLE1681,OLE1681,OLE24,OLE3620801617,P
OLE1682,OLE1682,OLE24,OLE1257009999,P
OLE1199,OLE1199,OLE25,OLE1959008511,P
OLE1200,OLE1200,OLE25,OLE5621906847,P
OLE1201,OLE1201,OLE25,OLE5846500376,P
OLE1202,OLE1202,OLE25,OLE2244704330,P
OLE1203,OLE1203,OLE25,OLE2444607029,P
OLE1204,OLE1204,OLE25,OLEU000000004,P
OLE1205,OLE1205,OLE25,OLEI000000001,P
OLE1206,OLE1206,OLE25,OLEI000000002,P
OLE1207,OLE1207,OLE25,OLEI000000003,P
OLE1208,OLE1208,OLE25,OLEI000000004,P
OLE1209,OLE1209,OLE25,OLEI000000005,P
OLE1210,OLE1210,OLE25,OLEC000000001,P
OLE1211,OLE1211,OLE25,OLEC000000002,P
OLE1212,OLE1212,OLE25,OLEC000000003,P
OLE1213,OLE1213,OLE25,OLEC000000004,P
OLE1214,OLE1214,OLE25,OLEC000000005,P
OLE1215,OLE1215,OLE25,OLED000000001,P
OLE1216,OLE1216,OLE25,OLED000000002,P
OLE1217,OLE1217,OLE25,OLED000000003,P
OLE1218,OLE1218,OLE25,OLED000000004,P
OLE1219,OLE1219,OLE25,OLED000000005,P
OLE1220,OLE1220,OLE25,OLEA000000001,P
OLE1221,OLE1221,OLE25,OLEA000000002,P
OLE1222,OLE1222,OLE25,OLEA000000003,P
OLE1223,OLE1223,OLE25,OLEA000000004,P
OLE1224,OLE1224,OLE25,OLEA000000005,P
OLE1225,OLE1225,OLE25,OLEM000000001,P
OLE1226,OLE1226,OLE25,OLEM000000002,P
OLE1227,OLE1227,OLE25,OLEM000000003,P
OLE1228,OLE1228,OLE25,OLEM000000004,P
OLE1229,OLE1229,OLE25,OLEM000000005,P
OLE1230,OLE1230,OLE25,OLEU000000001,P
OLE1231,OLE1231,OLE25,OLEU000000002,P
OLE1232,OLE1232,OLE25,OLEU000000003,P
OLE1233,OLE1233,OLE25,OLEU000000005,P
OLE1234,OLE1234,OLE25,OLEH000000001,P
OLE1235,OLE1235,OLE25,OLEH000000002,P
OLE1236,OLE1236,OLE25,OLEH000000003,P
OLE1237,OLE1237,OLE25,OLEH000000004,P
OLE1238,OLE1238,OLE25,OLEH000000005,P
OLE1000,OLE1000,OLE26,OLEA000000010,P
OLE1001,OLE1001,OLE26,OLEC000000006,P
OLE1002,OLE1002,OLE26,OLEC000000007,P
OLE1003,OLE1003,OLE26,OLEC000000008,P
OLE1004,OLE1004,OLE26,OLEC000000009,P
OLE1005,OLE1005,OLE26,OLEC000000010,P
OLE1006,OLE1006,OLE26,OLED000000006,P
OLE1007,OLE1007,OLE26,OLED000000007,P
OLE1008,OLE1008,OLE26,OLED000000008,P
OLE1009,OLE1009,OLE26,OLED000000009,P
OLE1010,OLE1010,OLE26,OLED000000010,P
OLE1011,OLE1011,OLE26,OLEH000000006,P
OLE1012,OLE1012,OLE26,OLEH000000007,P
OLE1013,OLE1013,OLE26,OLEH000000008,P
OLE1014,OLE1014,OLE26,OLEH000000009,P
OLE1015,OLE1015,OLE26,OLEH000000010,P
OLE1016,OLE1016,OLE26,OLEI000000006,P
OLE1017,OLE1017,OLE26,OLEI000000007,P
OLE1018,OLE1018,OLE26,OLEI000000008,P
OLE1019,OLE1019,OLE26,OLEI000000009,P
OLE1020,OLE1020,OLE26,OLEI000000010,P
OLE1021,OLE1021,OLE26,OLEM000000006,P
OLE1022,OLE1022,OLE26,OLEM000000007,P
OLE1023,OLE1023,OLE26,OLEM000000008,P
OLE1024,OLE1024,OLE26,OLEM000000009,P
OLE1025,OLE1025,OLE26,OLEM000000010,P
OLE1026,OLE1026,OLE26,OLEU000000006,P
OLE1027,OLE1027,OLE26,OLEU000000007,P
OLE1028,OLE1028,OLE26,OLEU000000008,P
OLE1029,OLE1029,OLE26,OLEU000000009,P
OLE1030,OLE1030,OLE26,OLEU000000010,P
OLE1032,OLE1032,OLE26,OLE6219408423,P
OLE994,OLE994,OLE26,OLE4025604325,P
OLE995,OLE995,OLE26,OLE5011403363,P
OLE996,OLE996,OLE26,OLEA000000006,P
OLE997,OLE997,OLE26,OLEA000000007,P
OLE998,OLE998,OLE26,OLEA000000008,P
OLE999,OLE999,OLE26,OLEA000000009,P
OLE1239,OLE1239,OLE27,OLE2717708169,P
OLE1240,OLE1240,OLE27,OLE4440008197,P
OLE1291,OLE1291,OLE28,OLE4269702290,P
OLE1292,OLE1292,OLE28,OLE3432106365,P
OLE1683,OLE1683,OLE28,OLE4189500212,P
OLE1684,OLE1684,OLE28,OLE2615708929,P
OLE1685,OLE1685,OLE28,OLE3898405507,P
OLE1686,OLE1686,OLE28,OLE2498300893,P
OLE1687,OLE1687,OLE28,OLE5420400165,P
OLE1688,OLE1688,OLE28,OLE4813308951,P
OLE1689,OLE1689,OLE28,OLE4813308951,P
OLE1690,OLE1690,OLE28,OLE5121105659,P
OLE1691,OLE1691,OLE28,OLE5390502344,P
OLE1692,OLE1692,OLE28,OLE4249202839,P
OLE1705,OLE1705,OLE28,OLE2906405069,P
OLE1706,OLE1706,OLE28,OLE2906405069,P
OLE1707,OLE1707,OLE28,OLE2615708929,P
OLE1708,OLE1708,OLE28,OLE2615708929,P
OLE1034,OLE1034,OLE29,OLE5025501749,P
OLE1658,OLE1658,OLE30,OLE2557302698,P
OLE1659,OLE1659,OLE30,OLE2093401908,P
OLE911,OLE911,OLE30,OLE5269109539,P
OLE912,OLE912,OLE30,OLE3771303577,P
OLE913,OLE913,OLE30,OLE4052406505,P
OLE914,OLE914,OLE30,OLE3554107164,P
OLE1035,OLE1035,OLE31,OLE1312601202,P
OLE1656,OLE1656,OLE31,OLE4034202067,P
OLE1657,OLE1657,OLE31,OLE5725905238,P
OLE1036,OLE1036,OLE34,OLE2595106260,P
OLE1037,OLE1037,OLE35,OLE5267600242,P
OLE1038,OLE1038,OLE35,OLE2937208570,P
OLE1177,OLE1177,OLE36,OLE1271304676,P
OLE1241,OLE1241,OLE37,OLE2168808105,P
OLE1242,OLE1242,OLE37,OLE1872708343,P
OLE1243,OLE1243,OLE37,OLE2868007063,P
OLE1244,OLE1244,OLE37,OLE1271304676,P
OLE1245,OLE1245,OLE37,OLE3771303577,P
OLE1246,OLE1246,OLE37,OLE6269308135,P
OLE1247,OLE1247,OLE37,OLE3771303577,P
OLE1248,OLE1248,OLE37,OLE1739701101,P
OLE1249,OLE1249,OLE37,OLE2615105455,P
OLE1250,OLE1250,OLE37,OLE3506305224,P
OLE1251,OLE1251,OLE37,OLE5186102229,P
OLE1252,OLE1252,OLE37,OLE4744906489,P
OLE1253,OLE1253,OLE37,OLE1271304676,P
OLE1039,OLE1039,OLE38,OLE4936104131,P
OLE1040,OLE1040,OLE38,OLE4663701472,P
OLE1041,OLE1041,OLE38,OLE3593407588,P
OLE1043,OLE1043,OLE38,OLE2615708929,P
OLE1044,OLE1044,OLE38,OLE4553801458,P
OLE1045,OLE1045,OLE38,OLE2459709799,P
OLE1046,OLE1046,OLE40,OLE1959008511,P
OLE1047,OLE1047,OLE40,OLE3098006714,P
OLE1048,OLE1048,OLE40,OLE4189500212,P
OLE1049,OLE1049,OLE40,OLE3736906932,P
OLE1050,OLE1050,OLE40,OLE5642104006,P
OLE1051,OLE1051,OLE40,OLE5430509566,P
OLE1052,OLE1052,OLE40,OLE5631302174,P
OLE1053,OLE1053,OLE40,OLE5335901264,P
OLE1054,OLE1054,OLE40,OLE2129506255,P
OLE1055,OLE1055,OLE40,OLE4664304215,P
OLE1056,OLE1056,OLE40,OLE4655304196,P
OLE1057,OLE1057,OLE40,OLE2691706557,P
OLE1058,OLE1058,OLE40,OLE2250505415,P
OLE1059,OLE1059,OLE40,OLE1308508136,P
OLE1060,OLE1060,OLE40,OLE1769006523,P
OLE1061,OLE1061,OLE40,OLE1516803729,P
OLE1062,OLE1062,OLE40,OLE2753204360,P
OLE1063,OLE1063,OLE40,OLE6156606070,P
OLE1064,OLE1064,OLE40,OLE6012204256,P
OLE1065,OLE1065,OLE40,OLE2341000360,P
OLE1066,OLE1066,OLE40,OLE3546008326,P
OLE1067,OLE1067,OLE40,OLE6208601267,P
OLE1068,OLE1068,OLE40,OLE4965407189,P
OLE1069,OLE1069,OLE40,OLE5989900763,P
OLE1070,OLE1070,OLE40,OLE1638600687,P
OLE1071,OLE1071,OLE40,OLE4146202628,P
OLE1072,OLE1072,OLE40,OLE6126708165,P
OLE1073,OLE1073,OLE40,OLE4766504540,P
OLE1074,OLE1074,OLE40,OLE2059604038,P
OLE1075,OLE1075,OLE40,OLE2580507812,P
OLE1076,OLE1076,OLE40,OLE4505504841,P
OLE1077,OLE1077,OLE40,OLE5873409408,P
OLE1078,OLE1078,OLE40,OLE1462106196,P
OLE1079,OLE1079,OLE40,OLE3373403412,P
OLE1080,OLE1080,OLE40,OLE6050504460,P
OLE1081,OLE1081,OLE40,OLE4542806317,P
OLE1082,OLE1082,OLE40,OLE2659604340,P
OLE1083,OLE1083,OLE40,OLE1659405606,P
OLE1084,OLE1084,OLE40,OLE4879901673,P
OLE1085,OLE1085,OLE40,OLE4205601851,P
OLE1086,OLE1086,OLE40,OLE3728902353,P
OLE1087,OLE1087,OLE40,OLE1335003222,P
OLE1088,OLE1088,OLE40,OLE1210506984,P
OLE1089,OLE1089,OLE40,OLE6218206268,P
OLE1090,OLE1090,OLE40,OLE4684100678,P
OLE1091,OLE1091,OLE40,OLE4693407610,P
OLE1092,OLE1092,OLE40,OLE3880605325,P
OLE1093,OLE1093,OLE40,OLE3908907565,P
OLE1094,OLE1094,OLE40,OLE5186100361,P
OLE1095,OLE1095,OLE40,OLE1533606607,P
OLE1096,OLE1096,OLE40,OLE3334505644,P
OLE1097,OLE1097,OLE40,OLE1463708773,P
OLE1098,OLE1098,OLE40,OLE5674104312,P
OLE1099,OLE1099,OLE40,OLE4878002324,P
OLE1100,OLE1100,OLE40,OLE5035908682,P
OLE1101,OLE1101,OLE40,OLE5790902739,P
OLE1102,OLE1102,OLE40,OLE5367103951,P
OLE1103,OLE1103,OLE40,OLE3889504703,P
OLE1104,OLE1104,OLE40,OLE2905707168,P
OLE1105,OLE1105,OLE40,OLE3620801617,P
OLE1106,OLE1106,OLE40,OLE1587202030,P
OLE1107,OLE1107,OLE40,OLE4374009622,P
OLE1108,OLE1108,OLE40,OLE4362904431,P
OLE1109,OLE1109,OLE40,OLE5919702911,P
OLE1110,OLE1110,OLE40,OLE4763403483,P
OLE1111,OLE1111,OLE40,OLE4463509160,P
OLE1112,OLE1112,OLE40,OLE5758507907,P
OLE1113,OLE1113,OLE40,OLE1461200273,P
OLE1114,OLE1114,OLE40,OLE6094500409,P
OLE1115,OLE1115,OLE40,OLE5166508090,P
OLE1116,OLE1116,OLE40,OLE5334003983,P
OLE1117,OLE1117,OLE40,OLE4076302016,P
OLE1118,OLE1118,OLE40,OLE3381303865,P
OLE1119,OLE1119,OLE40,OLE3666809498,P
OLE1120,OLE1120,OLE40,OLE3356000660,P
OLE1121,OLE1121,OLE40,OLE1689406108,P
OLE1122,OLE1122,OLE40,OLE1137304513,P
OLE1123,OLE1123,OLE40,OLE4446301330,P
OLE1124,OLE1124,OLE40,OLE4102006775,P
OLE1125,OLE1125,OLE40,OLE5026506974,P
OLE1126,OLE1126,OLE40,OLE5373008390,P
OLE1127,OLE1127,OLE40,OLE1306901621,P
OLE1128,OLE1128,OLE40,OLE5771807326,P
OLE1129,OLE1129,OLE40,OLE1811109385,P
OLE1130,OLE1130,OLE40,OLE1297209262,P
OLE1131,OLE1131,OLE40,OLE2544403609,P
OLE1132,OLE1132,OLE40,OLE2112807392,P
OLE1133,OLE1133,OLE40,OLE2553103572,P
OLE1134,OLE1134,OLE40,OLE5053009758,P
OLE1135,OLE1135,OLE40,OLE4667608469,P
OLE1136,OLE1136,OLE40,OLE3012703100,P
OLE1137,OLE1137,OLE40,OLE1632009201,P
OLE1138,OLE1138,OLE40,OLE3072201870,P
OLE1139,OLE1139,OLE40,OLE1208309261,P
OLE1140,OLE1140,OLE40,OLE2191200653,P
OLE1141,OLE1141,OLE40,OLE3229901916,P
OLE1142,OLE1142,OLE40,OLE1421900725,P
OLE1143,OLE1143,OLE40,OLE5184906417,P
OLE1144,OLE1144,OLE40,OLE2090102017,P
OLE1145,OLE1145,OLE40,OLE5366808694,P
OLE1146,OLE1146,OLE40,OLE1417202799,P
OLE1147,OLE1147,OLE40,OLE1736801902,P
OLE1148,OLE1148,OLE40,OLE1988505427,P
OLE1149,OLE1149,OLE40,OLE2035402366,P
OLE1150,OLE1150,OLE40,OLE4797500314,P
OLE1151,OLE1151,OLE40,OLE1732407799,P
OLE1152,OLE1152,OLE40,OLE4071101475,P
OLE1153,OLE1153,OLE40,OLE4521601311,P
OLE1154,OLE1154,OLE40,OLE5045201884,P
OLE1155,OLE1155,OLE40,OLE5951409987,P
OLE1156,OLE1156,OLE40,OLE2311506822,P
OLE1157,OLE1157,OLE45,OLE3372102879,P
OLE1158,OLE1158,OLE45,OLE3383108331,P
OLE1159,OLE1159,OLE45,OLE1739701101,P
OLE1160,OLE1160,OLE45,OLE1781003865,P
OLE1161,OLE1161,OLE45,OLE5293405344,P
OLE1162,OLE1162,OLE45,OLE5918604591,P
OLE1164,OLE1164,OLE45,OLE3420506415,P
OLE1165,OLE1165,OLE45,OLE2906405069,P
OLE1166,OLE1166,OLE46,OLE4443702936,P
OLE1167,OLE1167,OLE47,OLE2302909552,P
OLE1300,OLE1300,OLE48,OLE3679505261,P
OLE1302,OLE1302,OLE48,OLE2687501556,P
OLE1171,OLE1171,OLE49,OLE6185006765,P
OLE1172,OLE1172,OLE49,OLE2133704704,P
OLE1173,OLE1173,OLE49,OLE5721404797,P
OLE1660,OLE1660,OLE49,OLE1416100736,P
OLE1661,OLE1661,OLE49,OLE5729300245,P
OLE1174,OLE1174,OLE51,OLE3,P
OLE1,OLE1,OLE54,OLE3898405507,P
OLE10,OLE10,OLE54,OLE3098006714,P
OLE100,OLE100,OLE54,OLE4965200876,P
OLE101,OLE101,OLE54,OLE4287502068,P
OLE102,OLE102,OLE54,OLE1184605262,P
OLE103,OLE103,OLE54,OLE2329509434,P
OLE104,OLE104,OLE54,OLE3247002806,P
OLE105,OLE105,OLE54,OLE4205601851,P
OLE106,OLE106,OLE54,OLE3420502200,P
OLE107,OLE107,OLE54,OLE3909900391,P
OLE108,OLE108,OLE54,OLE1581207819,P
OLE109,OLE109,OLE54,OLE1469805442,P
OLE11,OLE11,OLE54,OLE4189500212,P
OLE110,OLE110,OLE54,OLE2591309555,P
OLE111,OLE111,OLE54,OLE2860009297,P
OLE112,OLE112,OLE54,OLE6065408755,P
OLE113,OLE113,OLE54,OLE4597402875,P
OLE114,OLE114,OLE54,OLE1545104915,P
OLE115,OLE115,OLE54,OLE1290503526,P
OLE116,OLE116,OLE54,OLE1975509930,P
OLE117,OLE117,OLE54,OLE1183109030,P
OLE118,OLE118,OLE54,OLE5967802348,P
OLE119,OLE119,OLE54,OLE2254202107,P
OLE12,OLE12,OLE54,OLE3644105427,P
OLE120,OLE120,OLE54,OLE2726706560,P
OLE121,OLE121,OLE54,OLE1998203566,P
OLE122,OLE122,OLE54,OLE5561408311,P
OLE123,OLE123,OLE54,OLE2367402565,P
OLE124,OLE124,OLE54,OLE3264700400,P
OLE125,OLE125,OLE54,OLE3296604185,P
OLE126,OLE126,OLE54,OLE5652205916,P
OLE127,OLE127,OLE54,OLE2532408486,P
OLE128,OLE128,OLE54,OLE4041902980,P
OLE129,OLE129,OLE54,OLE3709601315,P
OLE13,OLE13,OLE54,OLE3736906932,P
OLE130,OLE130,OLE54,OLE1335003222,P
OLE131,OLE131,OLE54,OLE5949304259,P
OLE132,OLE132,OLE54,OLE5518608449,P
OLE133,OLE133,OLE54,OLE3998400688,P
OLE134,OLE134,OLE54,OLE2057006123,P
OLE135,OLE135,OLE54,OLE4263602369,P
OLE136,OLE136,OLE54,OLE2724700273,P
OLE137,OLE137,OLE54,OLE5594206387,P
OLE138,OLE138,OLE54,OLE3106006335,P
OLE139,OLE139,OLE54,OLE2244704330,P
OLE14,OLE14,OLE54,OLE5068701724,P
OLE140,OLE140,OLE54,OLE2885908053,P
OLE141,OLE141,OLE54,OLE4182202259,P
OLE142,OLE142,OLE54,OLE4154408215,P
OLE143,OLE143,OLE54,OLE6182208707,P
OLE144,OLE144,OLE54,OLE4553801458,P
OLE145,OLE145,OLE54,OLE3241801877,P
OLE146,OLE146,OLE54,OLE3083208092,P
OLE147,OLE147,OLE54,OLE1701107778,P
OLE148,OLE148,OLE54,OLE1680308253,P
OLE149,OLE149,OLE54,OLE4545405888,P
OLE15,OLE15,OLE54,OLE4971403958,P
OLE150,OLE150,OLE54,OLE6269308135,P
OLE151,OLE151,OLE54,OLE6272309454,P
OLE152,OLE152,OLE54,OLE5065906725,P
OLE153,OLE153,OLE54,OLE5121105659,P
OLE154,OLE154,OLE54,OLE1781104312,P
OLE155,OLE155,OLE54,OLE5598104606,P
OLE156,OLE156,OLE54,OLE4835307856,P
OLE157,OLE157,OLE54,OLE5370700381,P
OLE158,OLE158,OLE54,OLE2871205128,P
OLE159,OLE159,OLE54,OLE1110101123,P
OLE16,OLE16,OLE54,OLE5430509566,P
OLE160,OLE160,OLE54,OLE4809905701,P
OLE161,OLE161,OLE54,OLE4797306442,P
OLE162,OLE162,OLE54,OLE5469103838,P
OLE163,OLE163,OLE54,OLE2123906967,P
OLE1639,OLE1639,OLE54,OLE4431400488,P
OLE164,OLE164,OLE54,OLE3953901363,P
OLE165,OLE165,OLE54,OLE6076602019,P
OLE166,OLE166,OLE54,OLE5388101202,P
OLE167,OLE167,OLE54,OLE4676801285,P
OLE168,OLE168,OLE54,OLE5594003018,P
OLE169,OLE169,OLE54,OLE4425901434,P
OLE17,OLE17,OLE54,OLE3344600883,P
OLE170,OLE170,OLE54,OLE3072605934,P
OLE171,OLE171,OLE54,OLE3271906388,P
OLE172,OLE172,OLE54,OLE1391709836,P
OLE173,OLE173,OLE54,OLE5049406169,P
OLE174,OLE174,OLE54,OLE3622007882,P
OLE175,OLE175,OLE54,OLE3127805179,P
OLE176,OLE176,OLE54,OLE1977504222,P
OLE177,OLE177,OLE54,OLE4219606069,P
OLE178,OLE178,OLE54,OLE2200400621,P
OLE179,OLE179,OLE54,OLE1396502519,P
OLE18,OLE18,OLE54,OLE2999000040,P
OLE180,OLE180,OLE54,OLE5511601466,P
OLE181,OLE181,OLE54,OLE5340904165,P
OLE182,OLE182,OLE54,OLE4949701040,P
OLE183,OLE183,OLE54,OLE3114503350,P
OLE184,OLE184,OLE54,OLE5163208565,P
OLE185,OLE185,OLE54,OLE1701207121,P
OLE186,OLE186,OLE54,OLE4984801399,P
OLE187,OLE187,OLE54,OLE2422606713,P
OLE188,OLE188,OLE54,OLE5759504722,P
OLE189,OLE189,OLE54,OLE4663701472,P
OLE19,OLE19,OLE54,OLE5631302174,P
OLE190,OLE190,OLE54,OLE3771403079,P
OLE191,OLE191,OLE54,OLE1873802777,P
OLE192,OLE192,OLE54,OLE2266302958,P
OLE193,OLE193,OLE54,OLE1143902789,P
OLE194,OLE194,OLE54,OLE3303508289,P
OLE195,OLE195,OLE54,OLE1541203472,P
OLE196,OLE196,OLE54,OLE4212109427,P
OLE197,OLE197,OLE54,OLE2645800726,P
OLE198,OLE198,OLE54,OLE2219604689,P
OLE199,OLE199,OLE54,OLE3209904483,P
OLE2,OLE2,OLE54,OLE1509103107,P
OLE20,OLE20,OLE54,OLE2210808811,P
OLE200,OLE200,OLE54,OLE3541802074,P
OLE201,OLE201,OLE54,OLE5505804257,P
OLE202,OLE202,OLE54,OLE2381600911,P
OLE203,OLE203,OLE54,OLE4762009731,P
OLE204,OLE204,OLE54,OLE3084506625,P
OLE205,OLE205,OLE54,OLE1893804727,P
OLE206,OLE206,OLE54,OLE1860703812,P
OLE207,OLE207,OLE54,OLE3491306639,P
OLE208,OLE208,OLE54,OLE5268706644,P
OLE209,OLE209,OLE54,OLE5269109539,P
OLE21,OLE21,OLE54,OLE5335901264,P
OLE210,OLE210,OLE54,OLE3236104556,P
OLE211,OLE211,OLE54,OLE4615400247,P
OLE212,OLE212,OLE54,OLE2037407017,P
OLE213,OLE213,OLE54,OLE5238503444,P
OLE214,OLE214,OLE54,OLE3506305224,P
OLE215,OLE215,OLE54,OLE1851407732,P
OLE216,OLE216,OLE54,OLE2168808105,P
OLE217,OLE217,OLE54,OLE1997403090,P
OLE218,OLE218,OLE54,OLE2210608902,P
OLE219,OLE219,OLE54,OLE3075402167,P
OLE22,OLE22,OLE54,OLE2133704704,P
OLE220,OLE220,OLE54,OLE3608700794,P
OLE221,OLE221,OLE54,OLE3091109681,P
OLE222,OLE222,OLE54,OLE3379807602,P
OLE223,OLE223,OLE54,OLE2698204697,P
OLE224,OLE224,OLE54,OLE3395606968,P
OLE225,OLE225,OLE54,OLE2142103403,P
OLE226,OLE226,OLE54,OLE2444607029,P
OLE227,OLE227,OLE54,OLE5049708811,P
OLE228,OLE228,OLE54,OLE3613806482,P
OLE229,OLE229,OLE54,OLE2125805710,P
OLE23,OLE23,OLE54,OLE2930203477,P
OLE230,OLE230,OLE54,OLE3432106365,P
OLE231,OLE231,OLE54,OLE2100108872,P
OLE232,OLE232,OLE54,OLE2477306322,P
OLE233,OLE233,OLE54,OLE1668303757,P
OLE234,OLE234,OLE54,OLE2905401709,P
OLE235,OLE235,OLE54,OLE3082302550,P
OLE236,OLE236,OLE54,OLE4657500196,P
OLE237,OLE237,OLE54,OLE5840802300,P
OLE238,OLE238,OLE54,OLE3570803537,P
OLE239,OLE239,OLE54,OLE5331201785,P
OLE24,OLE24,OLE54,OLE2539200452,P
OLE240,OLE240,OLE54,OLE4004609468,P
OLE241,OLE241,OLE54,OLE3414509376,P
OLE242,OLE242,OLE54,OLE1271304676,P
OLE243,OLE243,OLE54,OLE3679505261,P
OLE244,OLE244,OLE54,OLE2566903942,P
OLE245,OLE245,OLE54,OLE2687501556,P
OLE246,OLE246,OLE54,OLE4951900430,P
OLE247,OLE247,OLE54,OLE2683109793,P
OLE248,OLE248,OLE54,OLE1872708343,P
OLE249,OLE249,OLE54,OLE2017509094,P
OLE25,OLE25,OLE54,OLE6054406226,P
OLE250,OLE250,OLE54,OLE4385708213,P
OLE251,OLE251,OLE54,OLE5157601830,P
OLE252,OLE252,OLE54,OLE6090605470,P
OLE253,OLE253,OLE54,OLE2130202257,P
OLE254,OLE254,OLE54,OLE5424404553,P
OLE255,OLE255,OLE54,OLE2191506168,P
OLE256,OLE256,OLE54,OLE3949401795,P
OLE257,OLE257,OLE54,OLE1250802481,P
OLE258,OLE258,OLE54,OLE4156108398,P
OLE259,OLE259,OLE54,OLE3554107164,P
OLE26,OLE26,OLE54,OLE1662000685,P
OLE260,OLE260,OLE54,OLE2039604860,P
OLE261,OLE261,OLE54,OLE5666106211,P
OLE262,OLE262,OLE54,OLE4318506633,P
OLE263,OLE263,OLE54,OLE6218206268,P
OLE264,OLE264,OLE54,OLE4684100678,P
OLE265,OLE265,OLE54,OLE3421900658,P
OLE266,OLE266,OLE54,OLE5778107441,P
OLE267,OLE267,OLE54,OLE4640605151,P
OLE268,OLE268,OLE54,OLE5253907165,P
OLE269,OLE269,OLE54,OLE5703004918,P
OLE27,OLE27,OLE54,OLE1110902378,P
OLE270,OLE270,OLE54,OLE2701102442,P
OLE271,OLE271,OLE54,OLE3851402102,P
OLE272,OLE272,OLE54,OLE3973303170,P
OLE273,OLE273,OLE54,OLE4769102739,P
