ATTR_DATA_ID,OBJ_ID,VER_NBR,RSP_ID,KIM_TYP_ID,KIM_ATTR_DEFN_ID,ATTR_VAL
OLE80092,OLE80092,1,OLE80013,7,13,OLE_NOTETYP
OLE80093,OLE80093,1,OLE80013,7,40,FALSE
OLE80094,OLE80094,1,OLE80015,7,41,FALSE
OLE80095,OLE80095,1,OLE80015,7,16,PurchaseOrderTypeApprover
OLE80096,OLE80096,1,OLE80015,7,13,OLE_PPOT
OLE80097,OLE80097,1,OLE80015,7,40,FALSE
OLE80098,OLE80098,1,OLE80018,7,41,FALSE
OLE80099,OLE80099,1,OLE80018,7,16,OrderItemApprover
OLE80100,OLE80100,1,OLE80018,7,13,OLE_OIS
OLE80101,OLE80101,1,OLE80018,7,40,FALSE
OLE80102,OLE80102,1,OLE80019,7,41,FALSE
OLE80103,OLE80103,1,OLE80019,7,16,RequestSourceTypeApprover
OLE80104,OLE80104,1,OLE80019,7,13,OLE_RSTMAT
OLE80105,OLE80105,1,OLE80019,7,40,FALSE
OLE80106,OLE80106,1,OLE80020,7,41,FALSE
OLE80107,OLE80107,1,OLE80020,7,16,ItemPriceSourceApprover
OLE80108,OLE80108,1,OLE80020,7,13,OLE_PMIPS
OLE80109,OLE80109,1,OLE80020,7,40,FALSE
OLE80110,OLE80110,1,OLE80021,7,16,ForFYI
OLE80111,OLE80111,1,OLE80021,7,13,OLE_ACQBTHUPLOAD
OLE80112,OLE80112,1,OLE80021,7,41,TRUE
OLE80113,OLE80113,1,OLE80021,7,40,FALSE
OLE10097,OLE10097,1,OLE990026,7,13,OLE_REQS
OLE10098,OLE10098,1,OLE990026,7,40,TRUE
OLE10099,OLE10099,1,OLE990026,7,41,TRUE
OLE10100,OLE10100,1,OLE990026,7,16,LicenseRequest
OLE10101,OLE10101,1,OLE990027,7,41,false
OLE10102,OLE10102,1,OLE990027,7,16,PrepaidInvoiceType
OLE10103,OLE10103,1,OLE990027,7,13,OLE_CM
OLE10104,OLE10104,1,OLE990027,7,40,false
OLE10105,OLE10105,1,OLE990028,7,41,false
OLE10106,OLE10106,1,OLE990028,7,16,NoPrepaidInvoiceType
OLE10107,OLE10107,1,OLE990028,7,13,OLE_CM
OLE10108,OLE10108,1,OLE990028,7,40,false
OLE10109,OLE10109,1,OLE990029,7,41,false
OLE10110,OLE10110,1,OLE990029,7,16,PaymentMethod
OLE10111,OLE10111,1,OLE990029,7,13,OLE_CM
OLE10112,OLE10112,1,OLE990029,7,40,false
OLE10113,OLE10113,1,OLE990030,7,41,false
OLE10114,OLE10114,1,OLE990030,7,16,PrepaidInvoiceType
OLE10115,OLE10115,1,OLE990030,7,13,OLE_PREQ
OLE10116,OLE10116,1,OLE990030,7,40,false
OLE10117,OLE10117,1,OLE990031,7,41,false
OLE10118,OLE10118,1,OLE990031,7,16,NoPrepaidInvoiceType
OLE10119,OLE10119,1,OLE990031,7,13,OLE_PREQ
OLE10120,OLE10120,1,OLE990031,7,40,false
OLE10121,OLE10121,1,OLE990032,7,41,false
OLE10122,OLE10122,1,OLE990032,7,16,FinancialAccount
OLE10123,OLE10123,1,OLE990032,7,13,OLE_DI
OLE10124,OLE10124,1,OLE990032,7,40,false
OLE10125,OLE10125,1,OLE990033,7,41,false
OLE10126,OLE10126,1,OLE990033,7,16,VendorDepositAccount
OLE10127,OLE10127,1,OLE990033,7,13,OLE_DI
OLE10128,OLE10128,1,OLE990033,7,40,false
OLE10129,OLE10129,1,OLE990034,7,41,false
OLE10130,OLE10130,1,OLE990034,7,16,ClearingAccountType
OLE10131,OLE10131,1,OLE990034,7,13,OLE_DV
OLE10132,OLE10132,1,OLE990034,7,40,false
OLE10133,OLE10133,1,OLE990035,7,41,false
OLE10134,OLE10134,1,OLE990035,7,16,Payment
OLE10135,OLE10135,1,OLE990035,7,13,OLE_DV
OLE10136,OLE10136,1,OLE990035,7,40,false
OLE10137,OLE10137,1,OLE990036,7,41,false
OLE10138,OLE10138,1,OLE990036,7,16,InvoiceType
OLE10139,OLE10139,1,OLE990036,7,13,OLE_DV
OLE10140,OLE10140,1,OLE990036,7,40,false
OLE10141,OLE10141,1,OLE990037,7,41,false
OLE10142,OLE10142,1,OLE990037,7,16,FinancialAccount
OLE10143,OLE10143,1,OLE990037,7,13,OLE_GEC
OLE10144,OLE10144,1,OLE990037,7,40,false
OLE10145,OLE10145,1,OLE990038,7,41,false
OLE10146,OLE10146,1,OLE990038,7,16,VendorDepositAccount
OLE10147,OLE10147,1,OLE990038,7,13,OLE_GEC
OLE10148,OLE10148,1,OLE990038,7,40,false
OLE10149,OLE10149,1,OLE990039,7,41,false
OLE10150,OLE10150,1,OLE990039,7,16,VendorDepositAccount
OLE10151,OLE10151,1,OLE990039,7,13,OLE_PREQ
OLE10152,OLE10152,1,OLE990039,7,40,false
OLE10153,OLE10153,1,OLE990040,7,41,false
OLE10154,OLE10154,1,OLE990040,7,16,FiscalOfficerReview
OLE10155,OLE10155,1,OLE990040,7,13,OLE_CM
OLE10156,OLE10156,1,OLE990040,7,41,false
OLE10157,OLE10157,1,OLE990041,7,41,false
OLE10158,OLE10158,1,OLE990041,7,16,DepositAccount
OLE10159,OLE10159,1,OLE990041,7,13,OLE_ACCT
OLE10160,OLE10160,1,OLE990041,7,41,false
OLE10161,OLE10161,1,OLE990042,7,41,false
OLE10162,OLE10162,1,OLE990042,7,16,SeparationOfDuties
OLE10163,OLE10163,1,OLE990042,7,13,OLE_PREQ
OLE10164,OLE10164,1,OLE990042,7,41,false
OLE10165,OLE10165,1,OLE990043,7,41,false
OLE10166,OLE10166,1,OLE990043,7,16,BudgetAdjustment
OLE10167,OLE10167,1,OLE990043,7,13,OLE_BA
OLE10168,OLE10168,1,OLE990043,7,41,false
OLE10169,OLE10169,1,OLE990044,7,41,false
OLE10170,OLE10170,1,OLE990044,7,16,TransferFund
OLE10171,OLE10171,1,OLE990044,7,13,OLE_TF
OLE10172,OLE10172,1,OLE990044,7,41,false
OLE10173,OLE10173,1,OLE990045,7,16,Budget
OLE10174,OLE10174,1,OLE990045,7,13,OLE_PREQ
OLE10175,OLE10175,1,OLE990045,7,40,true
OLE10176,OLE10176,1,OLE990045,7,41,true
OLE10177,OLE10177,1,OLE990046,7,16,Budget
OLE10178,OLE10178,1,OLE990046,7,13,OLE_REQS
OLE10179,OLE10179,1,OLE990046,7,40,true
OLE10180,OLE10180,1,OLE990046,7,41,true
OLE10181,OLE10181,1,OLE990047,7,16,Budget
OLE10182,OLE10182,1,OLE990047,7,13,OLE_POA
OLE10183,OLE10183,1,OLE990047,7,40,true
OLE10184,OLE10184,1,OLE990047,7,41,true
OLE10185,OLE10185,1,OLE990048,7,16,FYIBudget
OLE10186,OLE10186,1,OLE990048,7,13,OLE_REQS
OLE10187,OLE10187,1,OLE990048,7,40,true
OLE10188,OLE10188,1,OLE990048,7,41,true
OLE10189,OLE10189,1,OLE990049,7,16,FYIBudget
OLE10190,OLE10190,1,OLE990049,7,13,OLE_PO
OLE10191,OLE10191,1,OLE990049,7,40,true
OLE10192,OLE10192,1,OLE990049,7,41,true
OLE10193,OLE10193,1,OLE990050,7,16,FYIBudget
OLE10194,OLE10194,1,OLE990050,7,13,OLE_POA
OLE10195,OLE10195,1,OLE990050,7,40,true
OLE10196,OLE10196,1,OLE990050,7,41,true
OLE10197,OLE10197,1,OLE990051,7,16,FYIBudget
OLE10198,OLE10198,1,OLE990051,7,13,OLE_PREQ
OLE10199,OLE10199,1,OLE990051,7,40,true
OLE10200,OLE10200,1,OLE990051,7,41,true
OLE10201,OLE10201,1,OLE990052,7,41,FALSE
OLE10202,OLE10202,1,OLE990052,7,16,Payment
OLE10203,OLE10203,1,OLE990052,7,13,OLE_PRQS
OLE10204,OLE10204,1,OLE990052,7,40,TRUE
OLE10205,OLE10205,1,OLE990053,7,41,false
OLE10206,OLE10206,1,OLE990053,7,16,PrepaidInvoiceType
OLE10207,OLE10207,1,OLE990053,7,13,OLE_PRQS
OLE10208,OLE10208,1,OLE990053,7,40,false
OLE10209,OLE10209,1,OLE990054,7,41,false
OLE10210,OLE10210,1,OLE990054,7,16,NoPrepaidInvoiceType
OLE10211,OLE10211,1,OLE990054,7,13,OLE_PRQS
OLE10212,OLE10212,1,OLE990054,7,40,false
OLE10213,OLE10213,1,OLE990055,7,41,false
OLE10214,OLE10214,1,OLE990055,7,16,VendorDepositAccount
OLE10215,OLE10215,1,OLE990055,7,13,OLE_PRQS
OLE10216,OLE10216,1,OLE990055,7,40,false
OLE10217,OLE10217,1,OLE990056,7,41,false
OLE10218,OLE10218,1,OLE990056,7,16,SeparationOfDuties
OLE10219,OLE10219,1,OLE990056,7,13,OLE_PRQS
OLE10220,OLE10220,1,OLE990056,7,41,false
OLE10221,OLE10221,1,OLE990057,7,16,Budget
OLE10222,OLE10222,1,OLE990057,7,13,OLE_PRQS
OLE10223,OLE10223,1,OLE990057,7,40,true
OLE10224,OLE10224,1,OLE990057,7,41,true
OLE10225,OLE10225,1,OLE990058,7,16,FYIBudget
OLE10226,OLE10226,1,OLE990058,7,13,OLE_PRQS
OLE10227,OLE10227,1,OLE990058,7,40,true
OLE10228,OLE10228,1,OLE990058,7,41,true
OLE10229,OLE10229,1,OLE990059,7,41,false
OLE10230,OLE10230,1,OLE990059,7,16,AcquisitionStaff
OLE10231,OLE10231,1,OLE990059,7,13,OLE_ERS_DOC
OLE10232,OLE10232,1,OLE990059,7,40,false
OLE10233,OLE10233,1,OLE990060,7,41,false
OLE10234,OLE10234,1,OLE990060,7,16,Cataloger
OLE10235,OLE10235,1,OLE990060,7,13,OLE_ERS_DOC
OLE10236,OLE10236,1,OLE990060,7,40,false
OLE10237,OLE10237,1,OLE990061,7,41,false
OLE10238,OLE10238,1,OLE990061,7,16,ReceivingOperator
OLE10239,OLE10239,1,OLE990061,7,13,OLE_SER_RECV_REC
OLE10240,OLE10240,1,OLE990061,7,40,false
