View,Uif-View
InputFieldLabelTop_Form,Uif-InputField-LabelTop
ActionImageField,Uif-ActionImage
ActionField_SmallSecondary,Uif-SecondaryActionButton-Small
StackedGroupPrototype,Uif-CollectionGridItem
Uif-BoxGroup,Uif-VerticalBoxGroup
Uif-BoxSection,Uif-VerticalBoxSection
Uif-BoxSubSection,Uif-VerticalBoxSubSection
Uif-Disclosure-BoxSection,Uif-Disclosure-VerticalBoxSection
Uif-Disclosure-BoxSubSection,Uif-Disclosure-VerticalBoxSubSection
labelField,fieldLabel
headerGroup,lowerGroup
Uif-ActionBase,Uif-Action
actionFields,lineActions
addLineActionFields,addLineActions
directInquiryActionField,directInquiryAction
helpActionField,helpAction
quickfinderActionField,quickfinderAction
Uif-MessageField,Uif-Message
constraintMessageField,constraintMessage
instructionalMessageField,instructionalMessage
requiredMessageField,requiredMessage
cutline,cutlineMessage
inquiryLinkField,inquiryLink
title,headerText
refreshWhenChanged,refreshWhenChangedPropertyNames
refreshDiscloseMethodToCall,methodToCallOnRefresh
styleClasses,cssClasses
renderOutput,renderedHtmlOutput
persistInSession,forceSessionPersistence
itemOrderingSequence,defaultItemPosition
addLineFields,addLineItems
actions,lineActions
renderSelectField,includeLineSelectionField
selectPropertyName,lineSelectPropertyName
showHideInactiveButton,renderInactiveToggleButton
showInactive,showInactiveLines
headerStyle,headerTagStyle
headerStyleClasses,headerTagCssClasses
captionHeaderAboveImage,captionHeaderPlacementAboveImage
linkLabel,linkText
hrefText,href
clientSideValidate,performClientSideValidation
focusOnAfterSubmit,focusOnIdAfterSubmit
actionImageLocation,actionImagePlacement
blockValidateDirty,performDirtyValidation
readOnlyHidden,addHiddenWhenReadOnly
alternateDisplayValue,readOnlyDisplayReplacement
additionalDisplayValue,readOnlyDisplaySuffix
alternateDisplayPropertyName,readOnlyDisplayReplacementPropertyName
additionalDisplayPropertyName,readOnlyDisplaySuffixPropertyName
applyValueMask,applyMask
hiddenPropertyNames,additionalHiddenPropertyNames
informationalDisplayPropertyNames,propertyNamesForAdditionalDisplay
performUppercase,uppercaseValue
fieldLookup,quickfinder
fieldSuggest,suggest
fieldAttributeQuery,attributeQuery
treatWildcardsAndOperatorsAsLiteral,disableWildcardsAndOperators
addAllOption,addControlSelectAllOption
stylesheets,cssFiles
jsFiles,scriptFiles
viewNamespaceCode,namespaceCode
viewLabelFieldPropertyName,breadcrumbTitlePropertyName
appendOption,breadcrumbTitleDisplayOption
breadcrumbsInApplicationHeader,renderBreadcrumbsInView
abstractTypeClasses,objectPathToConcreteClassMapping
viewHelperServiceClassName,viewHelperServiceClass
validateDirty,applyDirtyCheck
supportsReadOnlyFieldsOverride,supportsRequestOverrideOfReadOnlyFields
translateCodes,translateCodesOnReadOnlyDisplay
viewMenuGrouping,viewMenuGroupName
dialogMode,renderedInLightBox
fieldInquiry,inquiry
fieldDirectInquiry.render,inquiry.enableDirectInquiry
clientSideJs,actionScript
labelKey,messageKey
