ROLE_ID,OBJ_ID,VER_NBR,ROLE_NM,NMSPC_CD,DESC_TXT,KIM_TYP_ID,ACTV_IND
OLE29,OLE29,1,Accounts Payable Manager,OLE-SYS,Users with manager-level access to Accounts Payable documents. This includes the ability to hold or cancel (or remove those states) from Payment Request and Credit Memo documents. ,1,Y
OLE30,OLE30,1,Accounts Receivable Lockbox Manager,OLE-SYS,Central Accounts Receivable staff that receive workflow action requests for Cash Control and Lockbox documents. They can also use the Electronic Fund Transfer screen and claim those funds using a Cash Control document.,OLE27,Y
OLE31,OLE31,1,Accounts Receivable Manager,OLE-SYS,Users that manage the OLE-AR module. This role has no inherent permissions or responsibilities.,1,Y
OLE32,OLE32,1,Active Faculty or Staff,OLE-SYS,A role that uses the Affiliation Type and Employee Status on a Principal record to determine if a user is an active faculty or staff employee. These users can initiate some OLE-PURAP documents and inquire into certain OLE screens.,OLE41,Y
OLE33,OLE33,1,Active Professional Employee,OLE-SYS,A role that uses the Employee Status (A L or P) and Employee Type (P) to determine that a given Principal represents a professional staff employee. These users are allowed to be Account Supervisors or Account Managers on Accounts.,OLE41,Y
OLE34,OLE34,1,Asset Manager,OLE-SYS,Central Capital Assets staff capable of taking restricted actions on Assets  including retiring or transferring non-moveable assets.,1,Y
OLE35,OLE35,1,Asset Processor,OLE-SYS,Central Capital Assets staff capable of applying asset payments  using OLE-CAB and adding negative payments. This role contains permissions to modify restricted asset fields and to override the defined capitalization threshold.,1,Y
OLE36,OLE36,1,University Administration Budget Manager,OLE-SYS,An optional role created to receive action requests for Budget Adjustment documents at the Organization Route Node. Intended to receive requests for the top level chart and organization (thus receiving all Budget Adjustment documents).,1,Y
OLE37,OLE37,1,Chart Manager,OLE-SYS,Defines users responsible for managing the chart data for a given Chart of Accounts code. They may initiate Global Object Code and Organization Reversion maintenance documents and modify the Campus and Organization Plant Chart Code and Account on Organization documents.,OLE25,Y
OLE38,OLE38,1,Contracts & Grants Manager,OLE-SYS,Central contract and grant staff that have special permissions related to Effort Certification. They can override the edit that prevents transferring salary for an open effort reporting period and receive workflow action requests for Effort Certification Recreates.,1,Y
OLE40,OLE40,1,Contracts & Grants Project Director,OLE-SYS,This role defines the list of users that may be selected as Project Directors on the Proposal or Award document.,1,Y
OLE41,OLE41,1,Fiscal Officer,OLE-SYS,This role derives its members from the Fiscal Officer field on the Account. Fiscal Officers receive workflow action requests for most transactional documents and have edit permissions that allow them to change accounting lines involving their accounts.,OLE39,Y
OLE42,OLE42,1,Fiscal Officer Primary Delegate,OLE-SYS,This role derives its members from the Primary delegates defined in the Account Delegate table in OLE.,OLE39,Y
OLE43,OLE43,1,Fiscal Officer Secondary Delegate,OLE-SYS,This role derives its members from the Secondary delegates defined in the Account Delegate table in OLE.,OLE39,Y
OLE44,OLE44,1,Manager,OLE-SYS,This role represents a collection of all the OLE module manager roles and has permission to initiate simple maintenance documents and restricted documents such as the JV and LLJV. These users also have the ability to blanket approve most document types and assign roles and permissions for all OLE namespaces.,1,Y
OLE45,OLE45,1,Operations,OLE-SYS,This role represents a very select central processing function allowed to run OLE batch jobs  initiate GLCP and LLCP documents and upload Enterprise Feed and Procurement Card files.,1,Y
OLE46,OLE46,1,Plant Fund Accountant,OLE-SYS,This role manages the plant fund functions associated with OLE-CAM and has special permissions related to assets in support of these functions. It can also edit the Organization and Campus Plant Chart and Account fields on the Organization document.,1,Y
OLE47,OLE47,1,Purchasing Manager,OLE-SYS,Users that manage the OLE-PURAP module. This role can take the resend action on Purchase Order documents.,1,Y
OLE48,OLE48,1,Sub-Fund Reviewer,OLE-SYS,Users who receive workflow action requests for documents that include accounts belonging to particular sub-funds groups.,OLE31,Y
OLE49,OLE49,1,Tax Identification Number User,OLE-SYS,Users with a need to view unmasked Tax ID numbers. They can also modify the tax number associated with AR customer records and PURAP vendor records.,1,Y
OLE50,OLE50,1,Tax Manager,OLE-SYS,Represents a central tax area that receives workflow action requests for DVs  Payment Requests  and POs involving payments to non-resident aliens or employees. They can also edit the Tax tabs on the DV and Payment Request documents.,1,Y
OLE51,OLE51,1,Technical Administrator,OLE-SYS,A technical administrator that is specific to the OLE system. This role has no inherent permissions or responsibilities.,1,Y
OLE53,OLE53,1,University Chart Manager,OLE-SYS,This role derives its members from the OLE Chart table. It is used to determine the Chart Manager of the top level Chart in the organization hierarchy. This role receives workflow action requests for Chart documents and has the ability to edit the organization and campus Plant Chart and Account fields on the Organization document.,OLE40,Y
OLE54,OLE54,1,User,OLE-SYS,The basic role that grants users access to OLE. It gives users the ability to initiate most documents and use inquiries and search screens. Users are qualified by namespace  chart and organization. If these fields are not defined the chart and organization are inherited from the Department ID on the users' Principal record.,OLE36,Y
OLE55,OLE55,1,Workflow Administrator,OLE-SYS,Users capable of taking superuser action on OLE documents and blanket approving some document types not available to the OLE-SYS Manager role.,1,Y
OLE56,OLE56,1,Reviewer,OLE-VND,This role receives workflow action requests for the Vendor document.,OLE37,Y
OLE62,OLE62,1,System User,OLE-SYS,This role represents the OLE System User  that is the user ID the system uses when it takes programmed actions (such as auto-initiating or approving documents such as the PCDO and PO).,1,Y
OLE65,OLE65,1,Regional Budget Manager,OLE-SYS,An optional role created to receive action requests for Budget Adjustment documents at the Organization route Node. Intended to receive only requests associated with regional campus charts and organizations.,1,Y
OLE68,OLE68,1,Sub-Account Reviewer,OLE-PURAP,Users who wish to receive workflow action requests for OLE-PURAP documents that involve a specific account number and sub-account number.,OLE47,Y
OLE69,OLE69,1,Source Document Router,OLE-PURAP,Identifies the user who routed the source document (Requisition) for a OLE-PURAP document.,OLE48,Y
OLE70,OLE70,1,Disbursement Method Reviewer,OLE-FP,Users who receive workflow action requests for Disbursement Vouchers with specified payment methods and can edit the accounting lines and Wire Transfer and Foreign Draft tabs.,OLE46,Y
OLE72,OLE72,1,Award Project Director,OLE-SYS,This role is derived from the accounts appearing on an Effort Certification document. OLE finds the most recent award associated with each account and routes workflow action requests to the Project Director's associated with the accounts on the Effort Certification document. ,OLE39,Y
OLE79,OLE79,1,Budget Reviewer,OLE-PURAP,Central administration users charged with reviewing Purchase Order documents that exceed an account's sufficient funds balance.,OLE25,Y
OLE82,OLE82,1,Batch Job Modifier,OLE-SYS,This role is derived from users with the Modify Batch Job permission. They are able to use the Schedule lookup. ,OLE58,Y
OLE84,OLE84,1,Potentially Sensitive Document User,OLE-PURAP,This role houses other roles and indicates which of those can view OLE-PURAP documents that have been identified as potentially sensitive. ,OLE62,Y
OLE85,OLE85,1,Sensitive Related Document Initiator Or Reviewer,OLE-PURAP,A role that derives the users who initiated or received a workflow action request for a sensitive OLE-PURAP document.,OLE48,Y
OLE86,OLE86,1,Payment Request Hold / Cancel Initiator,OLE-PURAP,This role derives users who placed a Payment Request or Credit Memo on hold or canceled it in order to determine who can remove those actions. ,OLE61,Y
OLE92,OLE92,1,Cash Receipt Initiator,OLE-FP,Users authorized to initiate Cash Receipt documents. This role exists to exclude Cash Managers from being able to initiate Cash Receipt documents. You do not need to add explicit members to this role to accomplish this exclusion.,OLE65,Y
OLE93,OLE93,1,Active Employee & Financial System User,OLE-SYS,A role that uses the Employee Status (A L or P) along with the presence of the OLE-SYS User role to determine that a given Principal represents an employee with OLE access. These users are allowed to be fiscal Officers on Accounts.,OLE41,Y
OLE94,OLE94,1,Active Professional Employee & Financial System User,OLE-SYS,A role that uses the Employee Status (A L or P) and Employee Type (P)  along with the presence of the OLE-SYS User role to determine that a given Principal represents a professional staff employee with OLE access. These users are allowed to be fiscal Officers on Accounts.,OLE41,Y
OLE96,OLE96,1,Financial Processing Manager,OLE-FP,Users that manage the OLE-FP module. This role has no inherent permissions or responsibilities.,1,Y
OLE98,OLE98,1,Accounts Payable Document Reviewer,OLE-PURAP,Users who receive workflow action requests for Accounts Payable transactional documents.,OLE69,Y
OLESYS1,OLESYS7145,1,YearEnd,OLE-SYS,Year End,1,Y
OLEMI4553-2,OLEMI4553-2,1,Exclude Single Actor Reviewer,OLE-VND,,OLEMI4553-1,Y
OLEMI6886-ROLE,OLEMI6886-ROLE,1,Payee ACH Accounts Administrator,OLE-PDP,Administration staff who can view and update Payee ACH Account records and the legacy history of a certain ACH Transaction Type.,OLEMI6886-TYP,Y
OLECNTRB789-ROLE1,OLECNTRB789-ROLE1,1,Workstudy Reviewer,OLE-SYS,Workstudy Reviewer Role,1,Y
