UNIV_FISCAL_YR,FIN_COA_CD,ACCOUNT_NBR,SUB_ACCT_NBR,FIN_OBJECT_CD,FIN_SUB_OBJ_CD,CURR_BDLN_BAL_AMT,ACLN_ACTLS_BAL_AMT,ACLN_ENCUM_BAL_AMT,TIMESTAMP
2015,BL,2947494,-----,7112,---,20000,0,0,111006222100
2015,BL,2947494,-----,7115,---,20000,0,0,111006222100
2015,BL,2947494,-----,7122,---,20000,0,0,111006222100
2015,BL,2947494,-----,7125,---,20000,0,0,111006222100
2015,BL,2947495,-----,7112,---,20000,0,0,111006222100
2015,BL,2947495,-----,7115,---,20000,0,0,111006222100
2015,BL,2947495,-----,7122,---,20000,0,0,111006222100
2015,BL,2947495,-----,7125,---,20000,0,0,111006222100
2015,BL,2947496,-----,7112,---,20000,0,0,111006222100
2015,BL,2947496,-----,7115,---,20000,0,0,111006222100
2015,BL,2947496,-----,7122,---,20000,0,0,111006222100
2015,BL,2947496,-----,7125,---,20000,0,0,111006222100
2015,BL,2947497,-----,7112,---,20000,0,0,111006222100
2015,BL,2947497,-----,7115,---,20000,0,0,111006222100
2015,BL,2947497,-----,7122,---,20000,0,0,111006222100
2015,BL,2947497,-----,7125,---,20000,0,0,111006222100
