FIN_COA_CD,ACCOUNT_NBR,SUB_ACCT_NBR,OBJ_ID,VER_NBR,SUB_ACCT_NM,SUB_ACCT_ACTV_CD,FIN_RPT_CHRT_CD,FIN_RPT_ORG_CD,FIN_RPT_CD
BL,5431400,PHYSI,473B191006850BC7E0404F8189D810E7,1,RESEARCH NODE/EQUIPMENT (VERITAS),Y,null,null,null
BL,5431400,PRIET,30B03A98AFDAA1FAE043814FD881A1FA,1,METACYT NODE:  PRIETO,Y,null,null,null
BL,5431400,REBEC,473B191006880BC7E0404F8189D810E7,1,RES NODE - SALARY FOR Y SARI,Y,null,null,null
BL,5431400,SERVI,473B1910068A0BC7E0404F8189D810E7,1,METACYT NODE:  SERVICE AGREEMENTS,Y,null,null,null
BL,5431400,STOUT,30B03A98AFE4A1FAE043814FD881A1FA,1,RESEARCH NODE - SALARY/SAMANTHA BRANDFON,Y,null,null,null
BL,5431400,TECHN,473B191006890BC7E0404F8189D810E7,1,METACYT NODE:  LAB TECH (GUBBALA),Y,null,null,null
BL,5431400,WALKE,473B191006820BC7E0404F8189D810E7,1,RESEARCH NODE - SALARY/EQUIPMENT,Y,null,null,null
EA,366501,CHAN,35A5641EB29E91B6E043814FD88191B6,1,CHANCELLOR SEARCH,Y,null,null,null
EA,366610,HCPEC,35A5641EB24791B6E043814FD88191B6,1,HENRY CO POSTSECONDARY ED. COUNCIL,Y,null,null,null
EA,367308,10243,35A5641EB16291B6E043814FD88191B6,1,Strength Univ/ Public SCh Partnerships,Y,null,null,null
EA,367520,LINK,35A5641EB1B891B6E043814FD88191B6,1,PARENTS PARTNERSHIP LINKAGE PROGRAM,Y,null,null,null
EA,367525,10232,35A5641EB16391B6E043814FD88191B6,1,Build Acad Success / Stu to Stu Assist,Y,null,null,null
EA,368000,CTEAA,35A5641EB1B691B6E043814FD88191B6,1,COMMITMENT TO EXCELLENCE: ACAD AFFAIRS,Y,null,null,null
EA,368010,10232,35A5641EB16491B6E043814FD88191B6,1,Build Acad Success /Stu to Stu Assist,Y,null,null,null
EA,368010,CTEBS,35A5641EB1D591B6E043814FD88191B6,1,COMMITMENT TO EXCELLENCE:BEHAVIORAL SCI,Y,null,null,null
EA,368016,CTESS,35A5641EB1B791B6E043814FD88191B6,1,COMMITMENT TO EXCELLENCE:STUDENT SUCCESS,Y,null,null,null
EA,368020,CTELB,35A5641EB20391B6E043814FD88191B6,1,COMMITMENT TO EXCELLENCE: LAWRENCEBURG,Y,null,null,null
EA,368030,CTETC,35A5641EB23091B6E043814FD88191B6,1,COMMITMENT TO EXCELLENCE: TESTING CENTER,Y,null,null,null
EA,368035,CTEDE,35A5641EB25B91B6E043814FD88191B6,1,COMMITMENT TO EXCELLENCE: DISTANCE EDUCA,Y,null,null,null
EA,368100,CTEHU,35A5641EB1B591B6E043814FD88191B6,1,COMMITMENT TO EXCELLENCE: HUMANITIES,Y,null,null,null
EA,368200,CTESM,35A5641EB1D691B6E043814FD88191B6,1,COMMITMENT TO EXCELLENCE: SCIENCE MATH,Y,null,null,null
EA,368700,10243,35A5641EB16591B6E043814FD88191B6,1,strength Univ/Public SCh Partnerships,Y,null,null,null
EA,368700,CTEED,35A5641EB20291B6E043814FD88191B6,1,COMMITMENT TO EXCELLENCE-EDUCATION,Y,null,null,null
EA,368710,10243,35A5641EB16691B6E043814FD88191B6,1,Strenght Univ/ Public Sch Partnerships,Y,null,null,null
EA,368720,CTEED,35A5641EB1D191B6E043814FD88191B6,1,COMMITMENT TO EXCELLENCE-EDUCATION,Y,null,null,null
EA,368730,10244,35A5641EB16791B6E043814FD88191B6,1,Successful 1st Year,N,null,null,null
EA,368900,CTENU,35A5641EB1B491B6E043814FD88191B6,1,COMMITMENT TO EXCELLENCE: NURSING,Y,null,null,null
EA,369200,10142,35A5641EB16891B6E043814FD88191B6,1,Match Funds for Cntrl Acct 01-101-42,Y,null,null,null
EA,369600,10244,35A5641EB16991B6E043814FD88191B6,1,Successful 1st Year,Y,null,null,null
EA,2069378,HCDC,35A5641EB1E891B6E043814FD88191B6,1,HENRY CO DANIELSON CENTER,Y,null,null,null
EA,2069390,EIHRA,35A5641EB24E91B6E043814FD88191B6,1,EASTERN IN. HUMAN RESOURCE ASS CONF,Y,null,null,null
EA,2168765,TEACH,35A5641EB16A91B6E043814FD88191B6,1,student teach related expenses,Y,null,null,null
EA,2268000,TERA,35A5641EB16B91B6E043814FD88191B6,1,TERA Bonus funds,Y,null,null,null
EA,2366647,HCCS,35A5641EB1A791B6E043814FD88191B6,1,HENRY COUNTY CONCERT SERIES,Y,null,null,null
EA,2367521,BBALL,35A5641EB1AA91B6E043814FD88191B6,1,BASKETBALL PROGRAM,Y,null,null,null
EA,2367521,CHEER,35A5641EB2B991B6E043814FD88191B6,1,CHEERLEADING,Y,null,null,null
EA,2367521,GOLF,35A5641EB2BA91B6E043814FD88191B6,1,GOLF TEAM,Y,null,null,null
EA,2367521,PPC,35A5641EB2BB91B6E043814FD88191B6,1,PIONEER PARTNER CLASSIC,Y,null,null,null
EA,2367521,SSC,35A5641EB2BE91B6E043814FD88191B6,1,SIZZLING SUMMER CLASSIC,Y,null,null,null
EA,2367521,VBALL,35A5641EB23491B6E043814FD88191B6,1,VOLLEYBALL,Y,null,null,null
EA,2367522,LITMG,35A5641EB1CF91B6E043814FD88191B6,1,LITERARY MAGAZINE,Y,null,null,null
BA,6044900,ARREC,0395AAE3A27C9478E043814FD8819478,1,PARKING ACCTS RECEIVABLE,N,null,null,null
BA,9012025,26871,0395AAE3A3729478E043814FD8819478,1,20026871,Y,null,null,null
BA,9019993,1545,0395AAE3A3809478E043814FD8819478,1,20041545,Y,null,null,null
BA,9019995,37962,0395AAE3A36F9478E043814FD8819478,1,20037962,Y,null,null,null
BA,9019996,26993,0395AAE3A36E9478E043814FD8819478,1,20026993,Y,null,null,null
BA,9020174,27179,0395AAE3A3719478E043814FD8819478,1,20027179,Y,null,null,null
BA,9020175,27178,0395AAE3A3709478E043814FD8819478,1,20027178,Y,null,null,null
BA,9020204,41077,0395AAE3A36C9478E043814FD8819478,1,20041077,Y,null,null,null
BA,9020204,ARCHT,473B191006620BC7E0404F8189D810E7,1,ARCHITECT,N,null,null,null
BA,9020224,5551,0395AAE3A36D9478E043814FD8819478,1,20005551,Y,null,null,null
BA,9020391,26876,0395AAE3A3759478E043814FD8819478,1,20026876,Y,null,null,null
BA,9020391,ARCHT,473B191006650BC7E0404F8189D810E7,1,ARCHITECT,Y,null,null,null
BA,9020391,CONST,473B191006640BC7E0404F8189D810E7,1,CONSTRUCTION,Y,null,null,null
BA,9020391,ENGNR,473B191006690BC7E0404F8189D810E7,1,ENGINEERING,Y,null,null,null
BA,9020650,26875,0395AAE3A3779478E043814FD8819478,1,20026875,Y,null,null,null
BA,9020805,26878,0395AAE3A3799478E043814FD8819478,1,20026878,Y,null,null,null
BA,9020857,26870,0395AAE3A3739478E043814FD8819478,1,20026870,Y,null,null,null
BA,9020857,26873,0395AAE3A3769478E043814FD8819478,1,20026873,Y,null,null,null
BA,9020860,26877,0395AAE3A3749478E043814FD8819478,1,20026877,Y,null,null,null
BA,9021004,37710,0395AAE3A3789478E043814FD8819478,1,20037710,Y,null,null,null
BA,9021104,5552,0395AAE3A37A9478E043814FD8819478,1,20005552,Y,null,null,null
BL,211401,CS001,1D5F9493A2AA9052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211402,CS001,1D5F9493A2AB9052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211403,CS001,1D5F9493A2AC9052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211404,CS001,1D5F9493A2AD9052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211405,CS001,1D5F9493A2AE9052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211406,CS001,1D5F9493A2AF9052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211407,CS001,1D5F9493A2B09052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211408,CS001,1D5F9493A2B19052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211409,CS001,1D5F9493A2B29052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211601,CS001,1D5F9493A2B39052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211602,CS001,1D5F9493A2B49052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211603,CS001,1D5F9493A2B59052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211604,CS001,1D5F9493A2B69052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211605,CS001,1D5F9493A2B79052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211606,CS001,1D5F9493A2B89052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211607,CS001,1D5F9493A2B99052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211608,CS001,1D5F9493A2BA9052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,211609,CS001,1D5F9493A2BB9052E043814FD8819052,1,CS001 COST SHARE 10-314-00,Y,null,null,null
BL,1031400,ACWT,0395AAE3A27D9478E043814FD8819478,1,ANGELA CASEY-WILLINGHAM,N,null,null,null
BL,1031400,ADV,0395AAE3A27E9478E043814FD8819478,1,ADVISING OFFICE,Y,null,null,null
BL,1031400,AHD,0395AAE3A27F9478E043814FD8819478,1,AMY HOLTZWORTH-MUNROE DEPARTMENT,Y,null,null,null
BL,1031400,AHT,0395AAE3A2809478E043814FD8819478,1,AMY HOLTZWORTH-MUNROE TEACHING,Y,null,null,null
BL,1031400,AKT,0395AAE3A2819478E043814FD8819478,1,ANN KOSOBUD,Y,null,null,null
BL,1031400,ALT,0395AAE3A2829478E043814FD8819478,1,AMY LEWIS,Y,null,null,null
BL,1031400,AMCT,0395AAE3A2839478E043814FD8819478,1,ALAN MCCOOL,N,null,null,null
BL,1031400,AMD,0395AAE3A2849478E043814FD8819478,1,ARMANDO MACHADO DEPARTMENT,Y,null,null,null
BL,1031400,AMT,0395AAE3A2859478E043814FD8819478,1,ARMANDO MACHADO TEACHING,Y,null,null,null
BL,1031400,APD,0395AAE3A3559478E043814FD8819478,1,ANNE PRIETO DEPARTMENTAL,Y,null,null,null
BL,1031400,APT,0395AAE3A3539478E043814FD8819478,1,ANNE PRIETO TEACHING,Y,null,null,null
BL,1031400,AQD,0395AAE3A2869478E043814FD8819478,1,ALEXANDRA QUITTNER DEPARTMENT,N,null,null,null
BL,1031400,AQT,0395AAE3A2879478E043814FD8819478,1,ALEXANDRA QUITTNER TEACHING,N,null,null,null
BL,1031400,ARD,0395AAE3A3499478E043814FD8819478,1,ALAN ROBERTS DEPARTMENTAL,Y,null,null,null
BL,1031400,ART,0395AAE3A3489478E043814FD8819478,1,ALAN ROBERTS TEACHING,Y,null,null,null
BL,1031400,BBD,0395AAE3A2889478E043814FD8819478,1,BRIAN BOWDLE DEPARTMENT,Y,null,null,null
BL,1031400,BBT,0395AAE3A2899478E043814FD8819478,1,BRIAN BOWDLE TEACHING,Y,null,null,null
BL,1031400,BDD,473B191006580BC7E0404F8189D810E7,1,BRIAN D'ONOFRIO DEPARTMENTAL,Y,null,null,null
BL,1031400,BDT,473B1910065A0BC7E0404F8189D810E7,1,BRIAN D'ONOFRIO TEACHING,Y,null,null,null
BL,1031400,BLDG,0395AAE3A28A9478E043814FD8819478,1,BUILDING SERVICES,Y,null,null,null
BL,1031400,BOD,0395AAE3A28B9478E043814FD8819478,1,BRIAN O'DONNELL DEPARTMENTAL,Y,null,null,null
BL,1031400,BOT,0395AAE3A28C9478E043814FD8819478,1,BRIAN O'DONNELL TEACHING,Y,null,null,null
BL,1031400,BSKT,473B1910065B0BC7E0404F8189D810E7,1,BEN SKLAR TEACHING,Y,null,null,null
BL,1031400,BUS,0395AAE3A28D9478E043814FD8819478,1,BUSINESS OFFICE,Y,null,null,null
BL,1031400,BWT,473B191006600BC7E0404F8189D810E7,1,BARBARA WALKER TEACHING,Y,null,null,null
BL,1031400,CGD,0395AAE3A28E9478E043814FD8819478,1,CYNTHIA GRAHAM DEPARTMENT,Y,null,null,null
BL,1031400,CGT,0395AAE3A28F9478E043814FD8819478,1,CYNTHIA GRAHAM TEACHING,Y,null,null,null
BL,1031400,CHD,0395AAE3A35A9478E043814FD8819478,1,CYNTHIA HOFFMAN DEPARTMENTAL,Y,null,null,null
BL,1031400,CHR,0395AAE3A2909478E043814FD8819478,1,CHAIR'S ALLOCATION,Y,null,null,null
BL,1031400,CHT,0395AAE3A2919478E043814FD8819478,1,CYNTHIA HOFFMAN TEACHING,Y,null,null,null
BL,1031400,CLE,0395AAE3A2929478E043814FD8819478,1,CLERICAL,Y,null,null,null
BL,1031400,CLO,0395AAE3A2939478E043814FD8819478,1,CLOSET  SUBJECTS  TRANSPARENCIES,Y,null,null,null
BL,1031400,CLT,0395AAE3A2949478E043814FD8819478,1,CAMI LOKKEN TEACHING,Y,null,null,null
BL,1031400,COLL,0395AAE3A2959478E043814FD8819478,1,COLLOQUIUM,Y,null,null,null
BL,1031400,CWD,0395AAE3A2969478E043814FD8819478,1,CARA WELLMAN DEPARTMENT,Y,null,null,null
BL,1031400,CWT,0395AAE3A2979478E043814FD8819478,1,CARA WELLMAN,Y,null,null,null
BL,1031400,CYD,0395AAE3A37F9478E043814FD8819478,1,CHEN YU DEPARTMENTAL,Y,null,null,null
BL,1031400,CYT,0395AAE3A37E9478E043814FD8819478,1,CHEN YU TEACHING,Y,null,null,null
BL,1031400,DDT,0395AAE3A2989478E043814FD8819478,1,DAVID DILLER,Y,null,null,null
BL,1031400,DHT,0395AAE3A2999478E043814FD8819478,1,DAVE HUBER,Y,null,null,null
BL,1031400,DMT,0395AAE3A29A9478E043814FD8819478,1,DAN MCCONNELL,Y,null,null,null
BL,1031400,DPD,0395AAE3A29B9478E043814FD8819478,1,DAVID PISONI DEPARTMENT,Y,null,null,null
BL,1031400,DPT,0395AAE3A29C9478E043814FD8819478,1,DAVID PISONI TEACHING,Y,null,null,null
BL,1031400,DRD,0395AAE3A29D9478E043814FD8819478,1,Don Robinson Department,Y,null,null,null
BL,1031400,DRT,0395AAE3A29E9478E043814FD8819478,1,Don Robinson Teaching,Y,null,null,null
BL,1031400,DSD,0395AAE3A29F9478E043814FD8819478,1,Dale Sengelaub Department,Y,null,null,null
BL,1031400,DST,0395AAE3A2A09478E043814FD8819478,1,Dale Sengelaub Teaching,Y,null,null,null
BL,1031400,EHID,0395AAE3A2A19478E043814FD8819478,1,ED HIRT DEPARTMENT,Y,null,null,null
BL,1031400,EHIT,0395AAE3A2A29478E043814FD8819478,1,ED HIRT TEACHING,Y,null,null,null
BL,1031400,ESD,0395AAE3A3569478E043814FD8819478,1,ELIOT SMITH DEPARTMENTAL,Y,null,null,null
BL,1031400,EST,0395AAE3A3529478E043814FD8819478,1,ELIOT SMITH TEACHING,Y,null,null,null
BL,1031400,ETD,0395AAE3A2A39478E043814FD8819478,1,ESTHER THELEN DEPARTMENT,Y,null,null,null
BL,1031400,ETT,0395AAE3A2A49478E043814FD8819478,1,ESTHER THELEN TEACHING,Y,null,null,null
BL,1031400,GBD,0395AAE3A2A59478E043814FD8819478,1,GEOFF BINGHAM DEPARTMENT,Y,null,null,null
BL,1031400,GBRIT,0395AAE3A2A69478E043814FD8819478,1,GABBY BRITTON,Y,null,null,null
BL,1031400,GBRT,0395AAE3A2A79478E043814FD8819478,1,GRETCHEN BROWNE,Y,null,null,null
BL,1031400,GBT,0395AAE3A2A89478E043814FD8819478,1,GEOFF BINGHAM TEACHING,Y,null,null,null
BL,1031400,GFD,0395AAE3A2A99478E043814FD8819478,1,GABE FROMMER DEPARTMENT,Y,null,null,null
BL,1031400,GFT,0395AAE3A2AA9478E043814FD8819478,1,GABE FROMMER TEACHING,Y,null,null,null
BL,1031400,GRA,0395AAE3A2AB9478E043814FD8819478,1,ACADEMIC SERVICES,Y,null,null,null
BL,1031400,GRANT,0395AAE3A2AC9478E043814FD8819478,1,GRANT-RELATED,Y,null,null,null
BL,1031400,GRD,0395AAE3A2AD9478E043814FD8819478,1,George Rebec Department,Y,null,null,null
BL,1031400,GRT,0395AAE3A2AE9478E043814FD8819478,1,George Rebec Teaching,Y,null,null,null
BL,1031400,GWTR,473B191006660BC7E0404F8189D810E7,1,GRANT WRITER,Y,null,null,null
BL,1031400,HBT,473B1910068F0BC7E0404F8189D810E7,1,HEATHER BRADSHAW TEACHING,Y,null,null,null
BL,1031400,HLD,0395AAE3A2AF9478E043814FD8819478,1,HAROLD LINDMAN,Y,null,null,null
BL,1031400,HLT,0395AAE3A2B09478E043814FD8819478,1,HAROLD LINDMAN TEACHING,Y,null,null,null
BL,1031400,IVD,473B191006670BC7E0404F8189D810E7,1,IRENE VLACHOS-WEBER DEPARTMENTAL,Y,null,null,null
BL,1031400,IVT,473B191006680BC7E0404F8189D810E7,1,IRENE VLACHOS-WEBER TEACHING,Y,null,null,null
BL,1031400,JAD,0395AAE3A2B19478E043814FD8819478,1,JEFF ALBERTS DEPARTMENT,Y,null,null,null
BL,1031400,JAST,0395AAE3A2B29478E043814FD8819478,1,JACK STEVENS,Y,null,null,null
BL,1031400,JAT,0395AAE3A2B39478E043814FD8819478,1,JEFF ALBERTS TEACHING,Y,null,null,null
BL,1031400,JBD,0395AAE3A2B49478E043814FD8819478,1,JACK BATES DEPARTMENT,Y,null,null,null
BL,1031400,JBEYT,0395AAE3A2B59478E043814FD8819478,1,JEN BEYERS,Y,null,null,null
BL,1031400,JBRD,473B1910066F0BC7E0404F8189D810E7,1,JOSH BROWN DEPARTMENT,Y,null,null,null
BL,1031400,JBRT,473B191006720BC7E0404F8189D810E7,1,JOSH BROWN TEACHING,Y,null,null,null
BL,1031400,JBT,0395AAE3A2B69478E043814FD8819478,1,JACK BATES TEACHING,Y,null,null,null
BL,1031400,JBUD,0395AAE3A2B79478E043814FD8819478,1,BUSEMEYER DEPT,Y,null,null,null
BL,1031400,JBUT,0395AAE3A2B89478E043814FD8819478,1,J BUSEMEYER,Y,null,null,null
BL,1031400,JCD,0395AAE3A2B99478E043814FD8819478,1,JEROME CHERTKOFF DEPARTMENT,Y,null,null,null
BL,1031400,JCHT,0395AAE3A2BA9478E043814FD8819478,1,JAY CHURCHILL,Y,null,null,null
BL,1031400,JCRD,0395AAE3A2BB9478E043814FD8819478,1,JAMES CRAIG DEPARTMENT,Y,null,null,null
BL,1031400,JCRT,0395AAE3A2BC9478E043814FD8819478,1,JAMES CRAIG TEACHING,Y,null,null,null
BL,1031400,JCT,0395AAE3A2BD9478E043814FD8819478,1,JEROME CHERTKOFF TEACHING,Y,null,null,null
BL,1031400,JEAB,0395AAE3A2BE9478E043814FD8819478,1,JEAB,Y,null,null,null
BL,1031400,JESD,0395AAE3A2BF9478E043814FD8819478,1,joe steinmetz department,Y,null,null,null
BL,1031400,JEST,0395AAE3A2C09478E043814FD8819478,1,Joe Steinmetz Teaching,Y,null,null,null
BL,1031400,JFD,0395AAE3A2C19478E043814FD8819478,1,JOE FARLEY DEPARTMENT,Y,null,null,null
BL,1031400,JFT,0395AAE3A2C29478E043814FD8819478,1,JOE FARLEY TEACHING,Y,null,null,null
BL,1031400,JGD,0395AAE3A33A9478E043814FD8819478,1,JASON GOLD DEPARTMENTAL,Y,null,null,null
BL,1031400,JGT,0395AAE3A2C39478E043814FD8819478,1,JASON GOLD TEACHING,Y,null,null,null
BL,1031400,JHT,0395AAE3A2C49478E043814FD8819478,1,JENNIFER HUSKA,Y,null,null,null
BL,1031400,JKD,0395AAE3A2C59478E043814FD8819478,1,JOHN KRUSCHKE DEPARTMENT,Y,null,null,null
BL,1031400,JKT,0395AAE3A2C69478E043814FD8819478,1,JOHN KRUSCHKE TEACHING,Y,null,null,null
BL,1031400,JLT,0395AAE3A2C79478E043814FD8819478,1,JEFF LINDSAY TEACHING,Y,null,null,null
BL,1031400,JMAT,473B1910065F0BC7E0404F8189D810E7,1,JOSITA MAOUNE TEACHING,Y,null,null,null
BL,1031400,JMT,0395AAE3A2C89478E043814FD8819478,1,JON MARGOLIN,Y,null,null,null
BL,1031400,JSD,0395AAE3A2C99478E043814FD8819478,1,Julie Stout Department,Y,null,null,null
BL,1031400,JST,0395AAE3A2CA9478E043814FD8819478,1,Julie Stout Teaching,Y,null,null,null
BL,1031400,JTD,0395AAE3A2CB9478E043814FD8819478,1,JIM TOWNSEND DEPARTMENT,Y,null,null,null
BL,1031400,JTT,0395AAE3A2CC9478E043814FD8819478,1,JIM TOWNSEND TEACHING,Y,null,null,null
BL,1031400,KCT,0395AAE3A2CD9478E043814FD8819478,1,KARIN CAMPBELL,Y,null,null,null
BL,1031400,KHD,0395AAE3A2CE9478E043814FD8819478,1,KEN HELLER DEPARTMENT,Y,null,null,null
BL,1031400,KHT,0395AAE3A2CF9478E043814FD8819478,1,KEN HELLER TEACHING,Y,null,null,null
BL,1031400,KMD,0395AAE3A2D09478E043814FD8819478,1,KELLY MIX DEPARTMENT,Y,null,null,null
BL,1031400,KMET,0395AAE3A2D19478E043814FD8819478,1,KARI MERRILL,Y,null,null,null
BL,1031400,KMT,0395AAE3A2D29478E043814FD8819478,1,KELLY MIX TEACHING,Y,null,null,null
BL,1031400,LBT,0395AAE3A2D39478E043814FD8819478,1,LEONARD BATES,Y,null,null,null
BL,1031400,LGT,0395AAE3A2D49478E043814FD8819478,1,LEE GUTH,Y,null,null,null
BL,1031400,LPD,473B191006710BC7E0404F8189D810E7,1,LUIZ PESSOA DEPARTMENT,Y,null,null,null
BL,1031400,LPT,473B191006700BC7E0404F8189D810E7,1,LUIZ PESSOA TEACHING,Y,null,null,null
BL,1031400,LRT,0395AAE3A2D59478E043814FD8819478,1,LUCY ROBIN,Y,null,null,null
BL,1031400,LSAMT,0395AAE3A2D69478E043814FD8819478,1,LARISSA SAMUELSON,Y,null,null,null
BL,1031400,LSCT,0395AAE3A2D79478E043814FD8819478,1,LAEL SCHOOLER,N,null,null,null
BL,1031400,LSD,0395AAE3A2D89478E043814FD8819478,1,Linda Smith Department,Y,null,null,null
BL,1031400,LST,0395AAE3A2D99478E043814FD8819478,1,Linda Smith Teaching,Y,null,null,null
BL,1031400,LTHT,473B1910065C0BC7E0404F8189D810E7,1,LISA THOMASSEN TEACHING,Y,null,null,null
