CG_CFDA_NBR,OBJ_ID,VER_NBR,CG_CFDA_PGM_TTL_NM,CG_CFDA_MAINT_TYP_ID,ROW_ACTV_IND
14.167,237D10FAA64BC0B0E043814FD881C0B0,1,Mortgage Insurance_Two Year Operating Loss Loans  Section 223(d),AUTOMATIC,Y
14.168,237D10FAA64CC0B0E043814FD881C0B0,1,Land Sales_Certain Subdivided Land,AUTOMATIC,Y
14.169,237D10FAA64DC0B0E043814FD881C0B0,1,Housing Counseling Assistance Program,AUTOMATIC,Y
14.171,237D10FAA64EC0B0E043814FD881C0B0,1,Manufactured Home Construction and Safety Standards,AUTOMATIC,Y
14.172,237D10FAA64FC0B0E043814FD881C0B0,1,Mortgage Insurance_Growing Equity Mortgages,AUTOMATIC,Y
14.175,237D10FAA650C0B0E043814FD881C0B0,1,Adjustable Rate Mortgages,AUTOMATIC,Y
14.181,237D10FAA651C0B0E043814FD881C0B0,1,Supportive Housing for Persons with Disabilities,AUTOMATIC,Y
14.183,237D10FAA652C0B0E043814FD881C0B0,1,Home Equity Conversion Mortgages,AUTOMATIC,Y
10,237D10FAAB18C0B0E043814FD881C0B0,1,null,MANUAL,Y
10.001,237D10FAA50AC0B0E043814FD881C0B0,1,Agricultural Research_Basic and Applied Research,AUTOMATIC,Y
10.025,237D10FAA50BC0B0E043814FD881C0B0,1,Plant and Animal Disease  Pest Control  and Animal Care,AUTOMATIC,Y
10.028,237D10FAA50CC0B0E043814FD881C0B0,1,Wildlife Services,AUTOMATIC,Y
10.029,237D10FAA50DC0B0E043814FD881C0B0,1,Avian Influenza Indemnity Program,AUTOMATIC,Y
10.051,237D10FAA50EC0B0E043814FD881C0B0,1,Commodity Loans and Loan Deficiency Payments,AUTOMATIC,Y
10.053,237D10FAA50FC0B0E043814FD881C0B0,1,Dairy Indemnity Program,AUTOMATIC,Y
10.054,237D10FAA510C0B0E043814FD881C0B0,1,Emergency Conservation Program,AUTOMATIC,Y
10.055,237D10FAA511C0B0E043814FD881C0B0,1,Production Flexibility Payments for Contract Commodities,AUTOMATIC,Y
10.056,237D10FAA512C0B0E043814FD881C0B0,1,Farm Storage Facility Loans,AUTOMATIC,Y
10.062,237D10FAA513C0B0E043814FD881C0B0,1,Water Bank Program,AUTOMATIC,Y
10.064,237D10FAA514C0B0E043814FD881C0B0,1,Forestry Incentives Program,AUTOMATIC,Y
10.066,237D10FAA515C0B0E043814FD881C0B0,1,Livestock Assistance Program,AUTOMATIC,Y
10.069,237D10FAA516C0B0E043814FD881C0B0,1,Conservation Reserve Program,AUTOMATIC,Y
10.07,237D10FAA517C0B0E043814FD881C0B0,1,Colorado River Basin Salinity Control Program,AUTOMATIC,Y
10.072,237D10FAA518C0B0E043814FD881C0B0,1,Wetlands Reserve Program,AUTOMATIC,Y
10.073,237D10FAA519C0B0E043814FD881C0B0,1,Crop Disaster Program,AUTOMATIC,Y
10.075,237D10FAA51AC0B0E043814FD881C0B0,1,Special Apple Program,AUTOMATIC,Y
10.076,237D10FAA51BC0B0E043814FD881C0B0,1,Emergency Loan for Seed Producers,AUTOMATIC,Y
10.077,237D10FAA51CC0B0E043814FD881C0B0,1,Livestock Compensation Program,AUTOMATIC,Y
10.078,237D10FAA51DC0B0E043814FD881C0B0,1,Bioenergy Program,AUTOMATIC,Y
10.079,237D10FAA51EC0B0E043814FD881C0B0,1,Bill Emerson Humanitarian Trust,AUTOMATIC,Y
10.08,237D10FAAB47C0B0E043814FD881C0B0,1,Milk Income Loss Contract Program,AUTOMATIC,Y
10.081,237D10FAAB48C0B0E043814FD881C0B0,1,Lamb Meat Adjustment Assistance Program,AUTOMATIC,Y
10.082,237D10FAAB49C0B0E043814FD881C0B0,1,Tree Assistance Program,AUTOMATIC,Y
10.083,237D10FAAB4AC0B0E043814FD881C0B0,1,Tobacco Loss Assistance Program,AUTOMATIC,Y
10.153,237D10FAA51FC0B0E043814FD881C0B0,1,Market News,AUTOMATIC,Y
10.155,237D10FAA520C0B0E043814FD881C0B0,1,Marketing Agreements and Orders,AUTOMATIC,Y
10.156,237D10FAA521C0B0E043814FD881C0B0,1,Federal-State Marketing Improvement Program,AUTOMATIC,Y
10.162,237D10FAA522C0B0E043814FD881C0B0,1,Inspection Grading and Standardization,AUTOMATIC,Y
10.163,237D10FAA523C0B0E043814FD881C0B0,1,Market Protection and Promotion,AUTOMATIC,Y
10.164,237D10FAA524C0B0E043814FD881C0B0,1,Wholesale Market Development,AUTOMATIC,Y
10.165,237D10FAA525C0B0E043814FD881C0B0,1,Perishable Agricultural Commodities Act,AUTOMATIC,Y
10.167,237D10FAA526C0B0E043814FD881C0B0,1,Transportation Services,AUTOMATIC,Y
10.2,237D10FAA527C0B0E043814FD881C0B0,1,Grants for Agricultural Research  Special Research Grants,AUTOMATIC,Y
10.202,237D10FAA528C0B0E043814FD881C0B0,1,Cooperative Forestry Research,AUTOMATIC,Y
10.203,237D10FAA529C0B0E043814FD881C0B0,1,Payments to Agricultural Experiment Stations Under the Hatch Act,AUTOMATIC,Y
10.205,237D10FAA52AC0B0E043814FD881C0B0,1,Payments to 1890 Land-Grant Colleges and Tuskegee University,AUTOMATIC,Y
10.206,237D10FAA52BC0B0E043814FD881C0B0,1,Grants for Agricultural Research_Competitive Research Grants,AUTOMATIC,Y
10.207,237D10FAA52CC0B0E043814FD881C0B0,1,Animal Health and Disease Research,AUTOMATIC,Y
10.21,237D10FAA52DC0B0E043814FD881C0B0,1,Food and Agricultural Sciences National Needs Graduate Fellowship Grants,AUTOMATIC,Y
10.212,237D10FAA52EC0B0E043814FD881C0B0,1,Small Business Innovation Research,AUTOMATIC,Y
10.215,237D10FAA52FC0B0E043814FD881C0B0,1,Sustainable Agriculture Research and Education,AUTOMATIC,Y
10.216,237D10FAA530C0B0E043814FD881C0B0,1,1890 Institution Capacity Building Grants,AUTOMATIC,Y
10.217,237D10FAA531C0B0E043814FD881C0B0,1,Higher Education Challenge Grants,AUTOMATIC,Y
10.218,237D10FAA532C0B0E043814FD881C0B0,1,Buildings and Facilities Program,AUTOMATIC,Y
10.219,237D10FAA533C0B0E043814FD881C0B0,1,Biotechnology Risk Assessment Research,AUTOMATIC,Y
10.22,237D10FAA534C0B0E043814FD881C0B0,1,Higher Education Multicultural Scholars Program,AUTOMATIC,Y
10.221,237D10FAA535C0B0E043814FD881C0B0,1,Tribal Colleges Education Equity Grants,AUTOMATIC,Y
10.222,237D10FAA536C0B0E043814FD881C0B0,1,Tribal Colleges Endowment Program,AUTOMATIC,Y
10.223,237D10FAA537C0B0E043814FD881C0B0,1,Hispanic Serving Institutions Education Grants,AUTOMATIC,Y
10.224,237D10FAA538C0B0E043814FD881C0B0,1,Fund for Rural America_Research  Education  and Extension Activities,AUTOMATIC,Y
10.225,237D10FAA539C0B0E043814FD881C0B0,1,Community Food Projects,AUTOMATIC,Y
10.226,237D10FAA53AC0B0E043814FD881C0B0,1,Secondary and Two-Year Postsecondary Agriculture Education Challenge Grants,AUTOMATIC,Y
10.227,237D10FAA53BC0B0E043814FD881C0B0,1,1994 Institutions Research Program,AUTOMATIC,Y
10.228,237D10FAA53CC0B0E043814FD881C0B0,1,Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants,AUTOMATIC,Y
10.25,237D10FAA53DC0B0E043814FD881C0B0,1,Agricultural and Rural Economic Research,AUTOMATIC,Y
10.302,237D10FAA53EC0B0E043814FD881C0B0,1,Initiative for Future Agriculture and Food Systems,AUTOMATIC,Y
10.303,237D10FAA53FC0B0E043814FD881C0B0,1,Integrated Programs,AUTOMATIC,Y
10.304,237D10FAA540C0B0E043814FD881C0B0,1,Homeland Security_Agricultural,AUTOMATIC,Y
10.35,237D10FAA541C0B0E043814FD881C0B0,1,Technical Assistance to Cooperatives,AUTOMATIC,Y
10.353,237D10FAA542C0B0E043814FD881C0B0,1,National Rural Development Partnership,AUTOMATIC,Y
10.404,237D10FAA543C0B0E043814FD881C0B0,1,Emergency Loans,AUTOMATIC,Y
10.405,237D10FAA544C0B0E043814FD881C0B0,1,Farm Labor Housing Loans and Grants,AUTOMATIC,Y
10.406,237D10FAA545C0B0E043814FD881C0B0,1,Farm Operating Loans,AUTOMATIC,Y
10.407,237D10FAA546C0B0E043814FD881C0B0,1,Farm Ownership Loans,AUTOMATIC,Y
10.41,237D10FAA547C0B0E043814FD881C0B0,1,Very Low to Moderate Income Housing Loans,AUTOMATIC,Y
10.411,237D10FAA548C0B0E043814FD881C0B0,1,Rural Housing Site Loans and Self_Help Housing Land Development Loans,AUTOMATIC,Y
10.415,237D10FAA549C0B0E043814FD881C0B0,1,Rural Rental Housing Loans,AUTOMATIC,Y
10.417,237D10FAA54AC0B0E043814FD881C0B0,1,Very Low-Income Housing Repair Loans and Grants,AUTOMATIC,Y
10.42,237D10FAA54BC0B0E043814FD881C0B0,1,Rural Self-Help Housing Technical Assistance,AUTOMATIC,Y
10.421,237D10FAA54CC0B0E043814FD881C0B0,1,Indian Tribes and Tribal Corporation Loans,AUTOMATIC,Y
10.427,237D10FAA54DC0B0E043814FD881C0B0,1,Rural Rental Assistance Payments,AUTOMATIC,Y
10.433,237D10FAA54EC0B0E043814FD881C0B0,1,Rural Housing Preservation Grants,AUTOMATIC,Y
10.435,237D10FAA54FC0B0E043814FD881C0B0,1,State Mediation Grants,AUTOMATIC,Y
10.437,237D10FAA550C0B0E043814FD881C0B0,1,Interest Assistance Program,AUTOMATIC,Y
10.438,237D10FAA551C0B0E043814FD881C0B0,1,Section 538 Rural Rental Housing Guaranteed Loans,AUTOMATIC,Y
10.441,237D10FAA552C0B0E043814FD881C0B0,1,Technical and Supervisory Assistance Grants,AUTOMATIC,Y
10.442,237D10FAA553C0B0E043814FD881C0B0,1,Housing Application Packaging Grants,AUTOMATIC,Y
10.443,237D10FAA554C0B0E043814FD881C0B0,1,Outreach and Assistance for Socially Disadvantaged Farmers and Ranchers,AUTOMATIC,Y
10.444,237D10FAA555C0B0E043814FD881C0B0,1,Direct Housing_Natural Disaster Loans and Grants,AUTOMATIC,Y
10.445,237D10FAA556C0B0E043814FD881C0B0,1,Direct Housing_Natural Disaster,AUTOMATIC,Y
10.446,237D10FAA557C0B0E043814FD881C0B0,1,Rural Community Development Initiative,AUTOMATIC,Y
10.449,237D10FAA558C0B0E043814FD881C0B0,1,Boll Weevil Eradication Loan Program,AUTOMATIC,Y
10.45,237D10FAA559C0B0E043814FD881C0B0,1,Crop Insurance,AUTOMATIC,Y
10.451,237D10FAA55AC0B0E043814FD881C0B0,1,Noninsured Assistance,AUTOMATIC,Y
10.452,237D10FAA55BC0B0E043814FD881C0B0,1,Disaster Reserve Assistance,AUTOMATIC,Y
10.454,237D10FAA55CC0B0E043814FD881C0B0,1,Dairy Options Pilot Program,AUTOMATIC,Y
10.455,237D10FAAB4BC0B0E043814FD881C0B0,1,Community Outreach and Assistance Partnership Program,AUTOMATIC,Y
10.456,237D10FAAB4CC0B0E043814FD881C0B0,1,Partnership Agreements to Develop Non-Insurance Risk Management Tools for Producers (Farmers),AUTOMATIC,Y
10.457,237D10FAAB4DC0B0E043814FD881C0B0,1,Commodity Partnerships for Risk Management Education,AUTOMATIC,Y
10.458,237D10FAAB4EC0B0E043814FD881C0B0,1,Crop Insurance Education in Targeted States,AUTOMATIC,Y
10.475,237D10FAA55DC0B0E043814FD881C0B0,1,Cooperative Agreements with States for Intrastate Meat and Poultry Inspection,AUTOMATIC,Y
10.477,237D10FAA55EC0B0E043814FD881C0B0,1,Meat  Poultry  and Egg Products Inspection,AUTOMATIC,Y
10.5,237D10FAA55FC0B0E043814FD881C0B0,1,Cooperative Extension Service,AUTOMATIC,Y
10.55,237D10FAA560C0B0E043814FD881C0B0,1,Food Donation,AUTOMATIC,Y
10.551,237D10FAA561C0B0E043814FD881C0B0,1,Food Stamps,AUTOMATIC,Y
10.553,237D10FAA562C0B0E043814FD881C0B0,1,School Breakfast Program,AUTOMATIC,Y
10.555,237D10FAA563C0B0E043814FD881C0B0,1,National School Lunch Program,AUTOMATIC,Y
10.556,237D10FAA564C0B0E043814FD881C0B0,1,Special Milk Program for Children,AUTOMATIC,Y
10.557,237D10FAA565C0B0E043814FD881C0B0,1,Special Supplemental Nutrition Program for Women  Infants  and Children,AUTOMATIC,Y
10.558,237D10FAA566C0B0E043814FD881C0B0,1,Child and Adult Care Food Program,AUTOMATIC,Y
10.559,237D10FAA567C0B0E043814FD881C0B0,1,Summer Food Service Program for Children,AUTOMATIC,Y
10.56,237D10FAA568C0B0E043814FD881C0B0,1,State Administrative Expenses for Child Nutrition,AUTOMATIC,Y
10.561,237D10FAA569C0B0E043814FD881C0B0,1,State Administrative Matching Grants for Food Stamp Program,AUTOMATIC,Y
10.565,237D10FAA56AC0B0E043814FD881C0B0,1,Commodity Supplemental Food Program,AUTOMATIC,Y
10.566,237D10FAA56BC0B0E043814FD881C0B0,1,Nutrition Assistance For Puerto Rico,AUTOMATIC,Y
10.567,237D10FAA56CC0B0E043814FD881C0B0,1,Food Distribution Program on Indian Reservations,AUTOMATIC,Y
10.568,237D10FAA56DC0B0E043814FD881C0B0,1,Emergency Food Assistance Program (Administrative Costs),AUTOMATIC,Y
10.569,237D10FAA56EC0B0E043814FD881C0B0,1,Emergency Food Assistance Program (Food Commodities),AUTOMATIC,Y
10.57,237D10FAA56FC0B0E043814FD881C0B0,1,Nutrition Services Incentive,AUTOMATIC,Y
10.572,237D10FAA570C0B0E043814FD881C0B0,1,WIC Farmers' Market Nutrition Program (FMNP),AUTOMATIC,Y
10.574,237D10FAA571C0B0E043814FD881C0B0,1,Team Nutrition Grants,AUTOMATIC,Y
10.576,237D10FAAB4FC0B0E043814FD881C0B0,1,Senior Farmers Market Nutrition Program,AUTOMATIC,Y
10.578,237D10FAAB50C0B0E043814FD881C0B0,1,WIC Grants To States (WGS),AUTOMATIC,Y
10.579,237D10FAAB51C0B0E043814FD881C0B0,1,Child Nutrition Discretionary Grants Limited Availability,AUTOMATIC,Y
10.58,237D10FAAB52C0B0E043814FD881C0B0,1,Food Stamp Program Research Grants to Improve Access Through New Technology and Partnerships,AUTOMATIC,Y
10.6,237D10FAA572C0B0E043814FD881C0B0,1,Foreign Market Development Cooperator Program,AUTOMATIC,Y
10.601,237D10FAA573C0B0E043814FD881C0B0,1,Market Access Program,AUTOMATIC,Y
10.603,237D10FAA574C0B0E043814FD881C0B0,1,Emerging Markets Program,AUTOMATIC,Y
10.604,237D10FAAB53C0B0E043814FD881C0B0,1,Technical Assistance for Specialty Crops Program,AUTOMATIC,Y
10.605,237D10FAAB54C0B0E043814FD881C0B0,1,Quality Samples Program,AUTOMATIC,Y
10.606,237D10FAA575C0B0E043814FD881C0B0,1,Food for Progress,AUTOMATIC,Y
10.607,237D10FAA576C0B0E043814FD881C0B0,1,Section 416(b),AUTOMATIC,Y
10.608,237D10FAA577C0B0E043814FD881C0B0,1,Food for Education,AUTOMATIC,Y
10.609,237D10FAAB55C0B0E043814FD881C0B0,1,Trade Adjustment Assistance,AUTOMATIC,Y
10.652,237D10FAA578C0B0E043814FD881C0B0,1,Forestry Research,AUTOMATIC,Y
10.664,237D10FAA579C0B0E043814FD881C0B0,1,Cooperative Forestry Assistance,AUTOMATIC,Y
10.665,237D10FAA57AC0B0E043814FD881C0B0,1,Schools and Roads_Grants to States,AUTOMATIC,Y
10.666,237D10FAA57BC0B0E043814FD881C0B0,1,Schools and Roads_Grants to Counties,AUTOMATIC,Y
10.67,237D10FAA57CC0B0E043814FD881C0B0,1,National Forest_Dependent Rural Communities,AUTOMATIC,Y
10.671,237D10FAA57DC0B0E043814FD881C0B0,1,Southeast Alaska Economic Disaster Fund,AUTOMATIC,Y
10.672,237D10FAA57EC0B0E043814FD881C0B0,1,Rural Development  Forestry  and Communities,AUTOMATIC,Y
10.673,237D10FAA57FC0B0E043814FD881C0B0,1,Wood In Transportation Program,AUTOMATIC,Y
10.674,237D10FAAB56C0B0E043814FD881C0B0,1,Technology Marketing Unit,AUTOMATIC,Y
10.675,237D10FAA580C0B0E043814FD881C0B0,1,Urban and Community Forestry Program,AUTOMATIC,Y
10.676,237D10FAA581C0B0E043814FD881C0B0,1,Forest Legacy Program,AUTOMATIC,Y
10.677,237D10FAA582C0B0E043814FD881C0B0,1,Forest Land Enhancement Program,AUTOMATIC,Y
10.678,237D10FAA583C0B0E043814FD881C0B0,1,Forest Stewardship Program,AUTOMATIC,Y
10.7,237D10FAA584C0B0E043814FD881C0B0,1,National Agricultural Library,AUTOMATIC,Y
10.76,237D10FAA585C0B0E043814FD881C0B0,1,Water and Waste Disposal Systems for Rural Communities,AUTOMATIC,Y
10.761,237D10FAA586C0B0E043814FD881C0B0,1,Technical Assistance and Training Grants,AUTOMATIC,Y
10.762,237D10FAA587C0B0E043814FD881C0B0,1,Solid Waste Management Grants,AUTOMATIC,Y
10.763,237D10FAA588C0B0E043814FD881C0B0,1,Emergency Community Water Assistance Grants,AUTOMATIC,Y
10.766,237D10FAA589C0B0E043814FD881C0B0,1,Community Facilities Loans and Grants,AUTOMATIC,Y
10.767,237D10FAA58AC0B0E043814FD881C0B0,1,Intermediary Relending Program,AUTOMATIC,Y
10.768,237D10FAA58BC0B0E043814FD881C0B0,1,Business and Industry Loans,AUTOMATIC,Y
10.769,237D10FAA58CC0B0E043814FD881C0B0,1,Rural Business Enterprise Grants,AUTOMATIC,Y
10.77,237D10FAA58DC0B0E043814FD881C0B0,1,Water and Waste Disposal Loans and Grants (Section 306C),AUTOMATIC,Y
10.771,237D10FAA58EC0B0E043814FD881C0B0,1,Rural Cooperative Development Grants,AUTOMATIC,Y
10.772,237D10FAA58FC0B0E043814FD881C0B0,1,Empowerment Zones Program,AUTOMATIC,Y
10.773,237D10FAA590C0B0E043814FD881C0B0,1,Rural Business Opportunity Grants,AUTOMATIC,Y
10.774,237D10FAA591C0B0E043814FD881C0B0,1,National Sheep Industry Improvement Center,AUTOMATIC,Y
10.775,237D10FAA592C0B0E043814FD881C0B0,1,Renewable Energy Systems and Energy Efficiency Improvements Program,AUTOMATIC,Y
10.8,237D10FAA593C0B0E043814FD881C0B0,1,Livestock  Meat and Poultry Market Supervision,AUTOMATIC,Y
10.85,237D10FAA594C0B0E043814FD881C0B0,1,Rural Electrification Loans and Loan Guarantees,AUTOMATIC,Y
10.851,237D10FAA595C0B0E043814FD881C0B0,1,Rural Telephone Loans and Loan Guarantees,AUTOMATIC,Y
10.852,237D10FAA596C0B0E043814FD881C0B0,1,Rural Telephone Bank Loans,AUTOMATIC,Y
10.853,237D10FAAB57C0B0E043814FD881C0B0,1,LOCAL Television Loan Guarantee Program,AUTOMATIC,Y
10.854,237D10FAA597C0B0E043814FD881C0B0,1,Rural Economic Development Loans and Grants,AUTOMATIC,Y
10.855,237D10FAA598C0B0E043814FD881C0B0,1,Distance Learning and Telemedicine Loans and Grants,AUTOMATIC,Y
10.856,237D10FAAB58C0B0E043814FD881C0B0,1,1890 Land Grant Institutions Rural Entrepreneurial Outreach Program,AUTOMATIC,Y
10.857,237D10FAA599C0B0E043814FD881C0B0,1,State Bulk Fuel Revolving Fund Grants,AUTOMATIC,Y
10.858,237D10FAA59AC0B0E043814FD881C0B0,1,RUS Denali Commission Grants and Loans,AUTOMATIC,Y
10.859,237D10FAA59BC0B0E043814FD881C0B0,1,Assistance to High Energy Cost_Rural Communities,AUTOMATIC,Y
10.863,237D10FAAB59C0B0E043814FD881C0B0,1,Community Connect Grant Program,AUTOMATIC,Y
10.9,237D10FAA59CC0B0E043814FD881C0B0,1,Great Plains Conservation,AUTOMATIC,Y
10.901,237D10FAA59DC0B0E043814FD881C0B0,1,Resource Conservation and Development,AUTOMATIC,Y
10.902,237D10FAA59EC0B0E043814FD881C0B0,1,Soil and Water Conservation,AUTOMATIC,Y
10.903,237D10FAA59FC0B0E043814FD881C0B0,1,Soil Survey,AUTOMATIC,Y
10.904,237D10FAA5A0C0B0E043814FD881C0B0,1,Watershed Protection and Flood Prevention,AUTOMATIC,Y
10.905,237D10FAA5A1C0B0E043814FD881C0B0,1,Plant Materials for Conservation,AUTOMATIC,Y
10.906,237D10FAA5A2C0B0E043814FD881C0B0,1,Watershed Surveys and Planning,AUTOMATIC,Y
10.907,237D10FAA5A3C0B0E043814FD881C0B0,1,Snow Survey and Water Supply Forecasting,AUTOMATIC,Y
10.91,237D10FAA5A4C0B0E043814FD881C0B0,1,Rural Abandoned Mine Program,AUTOMATIC,Y
10.912,237D10FAA5A5C0B0E043814FD881C0B0,1,Environmental Quality Incentives Program,AUTOMATIC,Y
10.913,237D10FAA5A6C0B0E043814FD881C0B0,1,Farm and Ranch Lands Protection Program,AUTOMATIC,Y
