FIN_COA_CD,ACCOUNT_NBR,OBJ_ID,VER_NBR,ACCOUNT_NM,ACCT_FSC_OFC_UID,ACCT_SPVSR_UNVL_ID,ACCT_MGR_UNVL_ID,ORG_CD,ACCT_TYP_CD,ACCT_PHYS_CMP_CD,SUB_FUND_GRP_CD,ACCT_FRNG_BNFT_CD,FIN_HGH_ED_FUNC_CD,ACCT_RSTRC_STAT_CD,ACCT_RSTRC_STAT_DT,ACCT_CITY_NM,ACCT_STATE_CD,ACCT_STREET_ADDR,ACCT_ZIP_CD,RPTS_TO_FIN_COA_CD,RPTS_TO_ACCT_NBR,ACCT_CREATE_DT,ACCT_EFFECT_DT,ACCT_EXPIRATION_DT,CONT_FIN_COA_CD,CONT_ACCOUNT_NBR,ENDOW_FIN_COA_CD,ENDOW_ACCOUNT_NBR,CONTR_CTRL_FCOA_CD,CONTR_CTRLACCT_NBR,INCOME_FIN_COA_CD,INCOME_ACCOUNT_NBR,ACCT_ICR_TYP_CD,AC_CSTM_ICREXCL_CD,FIN_SERIES_ID,ICR_FIN_COA_CD,ICR_ACCOUNT_NBR,ACCT_IN_FP_CD,BDGT_REC_LVL_CD,ACCT_SF_CD,ACCT_PND_SF_CD,FIN_EXT_ENC_SF_CD,FIN_INT_ENC_SF_CD,FIN_PRE_ENC_SF_CD,FIN_OBJ_PRSCTRL_CD,CG_CFDA_NBR,ACCT_OFF_CMP_IND,ACCT_CLOSED_IND,CG_ACCT_RESP_ID,OLE_UNIV_ACCT_NBR,LBR_BEN_RT_CAT_CD,VNDR_HDR_GNRTD_ID,VNDR_DTL_ASND_ID
"BL","0212005","1D5F9493A2A59052E043814FD8819052",2,"ANIMAL CARE FACILITY-PSYCH","OLE4318506633","OLE3889504703","OLE4318506633","PSY","NA","BL","DOFDS","Y","AA","U",null,"BLOOMINGTON","IN","PSYCHOLOGY","47405-1301",null,null,930702000000,930702000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","0212006","1D5F9493A2A69052E043814FD8819052",2,"ANIMAL CARE FACILITY-PSYCH","OLE4318506633","OLE3889504703","OLE4318506633","PSY","NA","BL","DOFDS","Y","AA","U",null,"BLOOMINGTON","IN","PSYCHOLOGY","47405-1301",null,null,930702000000,930702000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","0212007","1D5F9493A2A79052E043814FD8819052",2,"ANIMAL CARE FACILITY-PSYCH","OLE4318506633","OLE3889504703","OLE4318506633","PSY","NA","BL","DOFDS","Y","AA","U",null,"BLOOMINGTON","IN","PSYCHOLOGY","47405-1301",null,null,930702000000,930702000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","0212008","1D5F9493A2A89052E043814FD8819052",2,"ANIMAL CARE FACILITY-PSYCH","OLE4318506633","OLE3889504703","OLE4318506633","PSY","NA","BL","DOFDS","Y","AA","U",null,"BLOOMINGTON","IN","PSYCHOLOGY","47405-1301",null,null,930702000000,930702000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","0212009","1D5F9493A2A99052E043814FD8819052",2,"ANIMAL CARE FACILITY-PSYCH","OLE4318506633","OLE3889504703","OLE4318506633","PSY","NA","BL","DOFDS","Y","AA","U",null,"BLOOMINGTON","IN","PSYCHOLOGY","47405-1301",null,null,930702000000,930702000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","1020087","CE659A11-4C28-4D71-CD5D-21F158EEB72A",3,"CREATED FOR ICR RI ISSUE KULDBA-379","OLE4318506633","OLE2362105752","OLE6276904397","PSY","ND","BL","COMMEC","Y","AVS","R",null,"INDIANAPOLIS","IN","888 N. euclid","46202",null,null,060903183019,060801000000,null,"BL","5431400",null,null,"BL","1031400","BL","1031400","12",null,"123","BL","1031400","N","O","N","N","N","N","N","N","93.064","N","N",null,"1047410","--",null,null
"BL","1021887","883CF188-6A12-CCF1-927F-7F949DE1F8C0",3,"CREATED FOR ICR RI ISSUE KULDBA-379","OLE4318506633","OLE2362105752","OLE6276904397","PSY","ND","BL","COMMEC","Y","AVS","R",null,"INDIANAPOLIS","IN","888 N. Euclid","46202",null,null,060903184813,060801000000,null,"BL","1031400",null,null,"BL","1031400","BL","1031400","12",null,"123","BL","1031400","N","O","N","N","N","N","N","N","93.064","N","N",null,"1047410","--",null,null
"BL","1023200","61B4ABE7-14B8-7319-BDDB-3EF49BD67C06",2,"DEAN ARTS AND SCIENCES","OLE4318506633","OLE1271005561","OLE2693000507","ARSD","NA","BL","GENFND","Y","IN","U",null,"BLOOMINGTON","IN","Kirkwood 104","47405-3901",null,null,060901110136,060901000000,null,"BL","1031400",null,null,null,null,"BL","1031400",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","1023287","D3111E55-EE10-146B-18F4-A340B123CA5C",3,"CREATED FOR ICR RI ISSUE KULDBA-379","OLE4318506633","OLE6090605470","OLE2362105752","PSY","TR","BL","GENFND","Y","S&F","U",null,"INDIANAPOLIS","IN","888 N. Euclid","46202",null,null,060901214331,060801000000,null,"BL","5431400",null,null,null,null,"BL","1031400",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","1023295","448F5460A319E134E043814FD881E134",2,"ARTS & SCIENCES - BALANCE SHEET","OLE2362105752","OLE6258007742","OLE2362105752","ARSD","BS","BL","GENFND","Y","BS","U",null,"BLOOMINGTON","IN","KIRKWOOD 104","47405",null,null,950630132508,950630000000,null,"BL","5431400",null,null,null,null,"BL","1023287",null,null,null,null,null,null,"O","C","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","1024600","451F077809B9B1C6E043814FD881B1C6",2,"DEPT OF BIOLOGY","OLE6076602019","OLE3889504703","OLE1781003865","BI","NA","BL","GENFND","Y","IN","U",null,"BLOOMINGTON","IN","JORDAN 044","47405-6801",null,null,930701000000,930701000000,null,"BL","2324689",null,null,null,null,"BL","1023287",null,null,null,null,null,null,"C","C","N","Y","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","1024650","451F077809BAB1C6E043814FD881B1C6",2,"BIOLOGY-INDIRECT","OLE6076602019","OLE3889504703","OLE1781003865","BI","NA","BL","GENFND","Y","IN","U",null,"BLOOMINGTON","IN","JORDAN HALL 142","47405-6801",null,null,930701000000,930701000000,null,"BL","2324689",null,null,null,null,"BL","1023287",null,null,null,null,null,null,"C","C","N","Y","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","1024697","451F077809BBB1C6E043814FD881B1C6",2,"DEPT OF BIOLOGY-EQUIP","OLE6076602019","OLE3889504703","OLE6076602019","BI","NA","BL","GENFND","Y","IN","U",null,"BLOOMINGTON","IN","JORDAN 044","47405-6801",null,null,930701000000,930701000000,051102000000,"BL","2324689",null,null,null,null,"BL","1023287",null,null,null,null,null,null,"C","C","N","Y","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","1024700","451F077803F5B1C6E043814FD881B1C6",2,"CHEMISTRY","OLE2599004561","OLE6276904397","OLE3024607135","CHEM","NA","BL","GENFND","Y","IN","U",null,"BLOOMINGTON","IN","CHEMISTRY 115","47405-4001",null,null,930701000000,930701000000,null,"BL","5431400",null,null,null,null,"BL","1023287",null,null,null,null,null,null,"C","C","N","Y","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","1044900","2DC81629F7F6C1C6E043814FD881C1C6",2,"PARKING OPERATION","OLE3771403079","OLE4219606069","OLE3771403079","PARK","RA","BL","GENFND","Y","AUX","U",null,"BLOOMINGTON","IN","Franklin Hall 006","47405",null,null,070410000000,070410000000,null,"BL","5431400",null,null,null,null,"BA","6044900",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","1111111","448F5460A31AE134E043814FD881E134",2,"IUF ACCT 1","OLE4318506633","OLE6276904397","OLE1781003865","ADAF","RC","BL","DOFDS","Y","AA","U",null,"BLOOMINGTON","IN","SR45/46 BYPASS","46202-5286",null,null,060228155639,060228000000,null,"BL","5431400",null,null,null,null,null,null,null,null,null,null,null,null,"O","N","N","N","N","N","N",null,"Y","N",null,"1047410","--",null,null
"BA","6040000","448F5460A31BE134E043814FD881E134",2,"INDIANA UNION","OLE3383108331","OLE6276904397","OLE3383108331","IMU","RA","BL","AUXENT","Y","AUX","U",null,"BLOOMINGTON","IN","IMU","47405",null,null,760701000000,760701000000,null,"BL","5431400",null,null,null,null,"BA","6040000",null,null,null,null,null,null,"O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","6044900","014C92B069D1A16EE043814FD881A16E",2,"PARKING OPERATION","OLE3771403079","OLE4219606069","OLE3771403079","PARK","RA","BL","AUXENT","Y","AUX","U",null,"BLOOMINGTON","IN","Franklin Hall 006","47405",null,null,760701000000,760701000000,null,"BL","5431400",null,null,null,null,"BA","6044900",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","6044901","014C92B069D2A16EE043814FD881A16E",2,"PARKING OPERATION SUB","OLE3771403079","OLE4219606069","OLE3771403079","PARK","RA","BL","AUXENT","Y","AUX","U",null,"BLOOMINGTON","IN","FRANKLIN HALL 006","47405",null,null,760701000000,760701000000,990301000000,"BA","6044900",null,null,null,null,"BA","6044901",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","Y",null,"1047410","--",null,null
"BA","6044906","014C92B069D3A16EE043814FD881A16E",2,"PARKING OPERATION ENFORCE","OLE3771403079","OLE4219606069","OLE3771403079","PARK","RA","BL","AUXENT","Y","AUX","U",null,"BLOOMINGTON","IN","Franklin Hall 006","47405",null,null,780915000000,780915000000,null,"BL","5431400",null,null,null,null,"BA","6044906",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","6044909","014C92B069D4A16EE043814FD881A16E",2,"PARKING-CAR POOL PROGRAM","OLE3771403079","OLE4219606069","OLE3771403079","PARK","RA","BL","AUXENT","Y","AUX","U",null,"BLOOMINGTON","IN","FRANKLIN HALL 006","47405",null,null,931217000000,931117000000,040607000000,"BA","6044900",null,null,null,null,"BA","6044909",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","Y",null,"1047410","--",null,null
"BA","6044913","014C92B069D5A16EE043814FD881A16E",2,"PARKING-4TH AND DUNN","OLE3771403079","OLE4219606069","OLE3771403079","PARK","RA","BL","AUXENT","Y","AUX","U",null,"BLOOMINGTON","IN","FRANKLIN HALL 006","47405",null,null,910723000000,910723000000,null,"BL","5431400",null,null,null,null,"BA","6044913",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","6628000","48A7ED7FE477FC83E0404F8189D860FE",2,"MOTOR POOL","OLE4318506633","OLE6276904397","OLE1781003865","MPAD","RA","BL","AUXSER","Y","IS","U",null,"BLOOMINGTON","IN","801 N. RANGE RD.","47408",null,null,760701000000,011116000000,null,"BL","5431400",null,null,null,null,"BA","6628000",null,null,null,null,null,null,"O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","6628030","48A7ED7FE47AFC83E0404F8189D860FE",2,"MOTOR POOL DAILY RENTAL","OLE1860703812",null,"OLE4146202628","MPDR","RA","BL","AUXSER","Y","IS","U",null,"BLOOMINGTON","IN","801 N. RANGE ROAD","47405",null,null,011115163623,011115000000,null,"BL","5431400",null,null,null,null,"BA","6628030",null,null,null,null,null,null,"O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9012025","014C92B06C07A16EE043814FD881A16E",2,"BAND PRACTICE PARKING LOT IMPROVE","OLE6090605470","OLE3895100501","OLE6090605470","PARK","NA","BL","PFCMR","Y","NA","U",null,"BLOOMINGTON","IN","CARMICHAEL CENTER","47408",null,null,030516000000,030516000000,null,"BL","5431400",null,null,null,null,"BA","9012025",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9019993","014C92B06C41A16EE043814FD881A16E",2,"EIGENMAN HALL PARKING GARAGE","OLE6090605470","OLE3895100501","OLE6090605470","PARK","NA","BL","PFCMR","Y","NA","N",null,"BLOOMINGTON","IN","CARMICHAEL CENTER","47408",null,null,050128000000,050128000000,null,"BL","5431400",null,null,null,null,"BA","9019993",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9019995","014C92B06C22A16EE043814FD881A16E",2,"ASSEMBLY HALL SOUTH PARKING LOT","OLE6090605470","OLE3895100501","OLE6090605470","PARK","NA","BL","PFCMR","Y","NA","U",null,"BLOOMINGTON","IN","CARMICHAEL CENTER","47408",null,null,040212000000,040212000000,null,"BL","5431400",null,null,null,null,"BA","9019995",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9019996","014C92B06C08A16EE043814FD881A16E",2,"ALUMNI PARKING AREA IMPROVEMENTS","OLE6090605470","OLE3895100501","OLE6090605470","PARK","NA","BL","PFCMR","Y","NA","U",null,"BLOOMINGTON","IN","CARMICHAEL CENTER","47408",null,null,030612000000,030612000000,null,"BL","5431400",null,null,null,null,"BA","9019996",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9020174","014C92B06BF6A16EE043814FD881A16E",2,"CAMPUS PARKING LOTS RESTORATION","OLE6090605470","OLE3895100501","OLE6090605470","PARK","NA","BL","PFCMR","Y","NA","U",null,"BLOOMINGTON","IN","CARMICHAEL CENTER","47408",null,null,021216000000,021216000000,null,"BL","5431400",null,null,null,null,"BA","9020174",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9020175","014C92B06BF7A16EE043814FD881A16E",2,"CAMPUS PARKING LOTS RESURFACE","OLE6090605470","OLE3895100501","OLE6090605470","PARK","NA","BL","PFCMR","Y","NA","U",null,"BLOOMINGTON","IN","CARMICHAEL CENTER","47408",null,null,021216000000,021216000000,null,"BL","5431400",null,null,null,null,"BA","9020175",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9020204","014C92B06C2AA16EE043814FD881A16E",2,"CAMPUS PARK LOT IMPROVEMENT 2004","OLE6090605470","OLE3895100501","OLE6090605470","PARK","NA","BL","PFCMR","Y","NA","U",null,"BLOOMINGTON","IN","CARMICHAEL CENTER","47408",null,null,040414000000,040414000000,null,"BL","5431400",null,null,null,null,"BA","9020204",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9020224","014C92B06BBDA16EE043814FD881A16E",2,"EIGENMANN PARKING LOT IMPROVEMENTS","OLE6090605470","OLE3895100501","OLE6090605470","PARK","NA","BL","PFCMR","Y","NA","U",null,"BLOOMINGTON","IN","CARMICHAEL CENTER","47408",null,null,001127000000,001127000000,null,"BL","5431400",null,null,null,null,"BA","9020224",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9020391","014C92B06BEAA16EE043814FD881A16E",2,"XXXXX PARKING GARAGE","OLE6090605470","OLE3895100501","OLE6090605470","PARK","NA","BL","PFCMR","Y","NA","U",null,"BLOOMINGTON","IN","CARMICHAEL CENTER","47408",null,null,020422000000,020422000000,null,"BL","5431400",null,null,null,null,"BA","9020391",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9020650","014C92B06BE3A16EE043814FD881A16E",2,"PURPLE LOT PAVE/REINFORCE","OLE6090605470","OLE3895100501","OLE6090605470","PARK","NA","BL","PFCMR","Y","NA","U",null,"BLOOMINGTON","IN","CARMICHAEL CENTER","47408",null,null,020415000000,020415000000,null,"BL","5431400",null,null,null,null,"BA","9020650",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9020805","014C92B06BE2A16EE043814FD881A16E",2,"COAT/RESTRIPE THREE PARKING LOTS","OLE6090605470","OLE3895100501","OLE6090605470","PARK","NA","BL","PFCMR","Y","NA","U",null,"BLOOMINGTON","IN","CARMICHAEL CENTER","47408",null,null,020415000000,020415000000,null,"BL","5431400",null,null,null,null,"BA","9020805",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9020857","014C92B06BE4A16EE043814FD881A16E",2,"THEATRE ANNEX PARKING LOT IMPROVE","OLE6090605470","OLE3895100501","OLE6090605470","PARK","NA","BL","PFCMR","Y","NA","U",null,"BLOOMINGTON","IN","CARMICHAEL CENTER","47408",null,null,020415000000,020415000000,null,"BL","5431400",null,null,null,null,"BA","9020857",null,null,null,null,null,"N","N","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9020860","014C92B06BF1A16EE043814FD881A16E",2,"TENTH ST AND LAW LANE PARK GARAGE","OLE6090605470","OLE3895100501","OLE6090605470","PARK","NA","BL","PFCMR","Y","NA","U",null,"BLOOMINGTON","IN","CARMICHAEL CENTER","47408",null,null,020812000000,020812000000,null,"BL","5431400",null,null,null,null,"BA","9020860",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9021004","014C92B06C32A16EE043814FD881A16E",2,"VARIOUS PARK LOTS STRIPE/CURB REP","OLE6090605470","OLE3895100501","OLE6090605470","PARK","NA","BL","PFCMR","Y","NA","U",null,"BLOOMINGTON","IN","CARMICHAEL CENTER","47408",null,null,040806000000,040806000000,null,"BL","5431400",null,null,null,null,"BA","9021004",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9021104","014C92B06BBEA16EE043814FD881A16E",2,"REC SPORTS & BELL TOWER PARK LOT","OLE6090605470","OLE3895100501","OLE6090605470","PARK","NA","BL","PFCMR","Y","NA","U",null,"BLOOMINGTON","IN","CARMICHAEL CENTER","47408",null,null,001127000000,001127000000,null,"BL","5431400",null,null,null,null,"BA","9021104",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9120656","014C92B069D6A16EE043814FD881A16E",2,"IU FACILITY REVENUE BONDS 94","OLE3918606779","OLE5557907664","OLE2367402565","PARK","NA","BL","PFRI","Y","NA","U",null,"BLOOMINGTON","IN","POPLARS 236","47405",null,null,960426000000,960426000000,null,"BL","5431400",null,null,null,null,"BA","9120656",null,null,null,null,null,"N","N","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9120657","014C92B06BBFA16EE043814FD881A16E",2,"IU FACILITY REVENUE BONDS 2000","OLE3918606779","OLE5557907664","OLE2367402565","PARK","NA","BL","PFRI","Y","NA","U",null,"BLOOMINGTON","IN","POPLARS 236","47405",null,null,001213000000,001213000000,null,"BL","5431400",null,null,null,null,"BA","9120656",null,null,null,null,null,"N","O","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9244901","014C92B069D7A16EE043814FD881A16E",2,"PARKING DEBT SERVICE COVERAGE RESERVE","OLE3771403079","OLE4219606069","OLE3771403079","PARK","NA","BL","PFRR","Y","NA","U",null,"BLOOMINGTON","IN","FRANKLIN HALL 006","47405",null,null,870827000000,870827000000,null,"BL","5431400",null,null,null,null,"BA","9244901",null,null,null,null,null,"N","N","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9244940","014C92B06BD8A16EE043814FD881A16E",2,"PARKING LOT MAINT AND MAJOR REPAIR","OLE3771403079","OLE4219606069","OLE3771403079","PARK","NA","BL","PFRR","Y","NA","U",null,"BLOOMINGTON","IN","FRANKLIN HALL 006","47405",null,null,010810000000,010810000000,null,"BL","5431400",null,null,null,null,null,null,null,null,null,null,null,"N","N","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BA","9544900","014C92B069D8A16EE043814FD881A16E",2,"NET PLANT INVESTMENT - PARKING OPERATION","OLE5273000148","OLE2891402154","OLE4219606069","PARK","NA","BL","PFIP","Y","NA","U",null,"BLOOMINGTON","IN","POPLARS 537","47405",null,null,960321000000,960322000000,null,"BL","5431400",null,null,null,null,"BA","9544900",null,null,null,null,null,"N","N","N","N","N","N","N","N",null,"N","N",null,"1047410","--",null,null
