CA_ICR_ACCT_GNRTD_ID,OBJ_ID,VER_NBR,FIN_COA_CD,ACCOUNT_NBR,ICR_FIN_COA_CD,ICR_FIN_ACCT_NBR,ACLN_PCT,DOBJ_MAINT_CD_ACTV_IND
10425,C472501071DB5765E040220A4C16066C,1,BL,4424712,BL,1023287,100,Y
10426,C472501071DC5765E040220A4C16066C,1,BL,4424713,BL,1023287,100,Y
10427,C472501071DD5765E040220A4C16066C,1,BL,4424714,BL,1023287,100,Y
10428,C472501071DE5765E040220A4C16066C,1,BL,4424715,BL,1023287,100,Y
10429,C472501071DF5765E040220A4C16066C,1,BL,4424716,BL,1023287,100,Y
10430,C472501071E05765E040220A4C16066C,1,BL,4424717,BL,1023287,100,Y
10431,C472501071E15765E040220A4C16066C,1,BL,4424718,BL,1023287,100,Y
10432,C472501071E25765E040220A4C16066C,1,BL,4424719,BL,1023287,100,Y
10433,C472501071E35765E040220A4C16066C,1,BL,4424720,BL,1023287,100,Y
10434,C472501071E45765E040220A4C16066C,1,BL,4424721,BL,1023287,100,Y
10435,C472501071E55765E040220A4C16066C,1,BL,4424722,BL,1023287,100,Y
10436,C472501071E65765E040220A4C16066C,1,BL,4424723,BL,1023287,100,Y
10437,C472501071E75765E040220A4C16066C,1,BL,4424724,BL,1023287,100,Y
10438,C472501071E85765E040220A4C16066C,1,BL,4424725,BL,1023287,100,Y
10439,C472501071E95765E040220A4C16066C,1,BL,4424726,BL,1023287,100,Y
10440,C472501071EA5765E040220A4C16066C,1,BL,4424727,BL,1023287,100,Y
10441,C472501071EB5765E040220A4C16066C,1,BL,4424728,BL,1023287,100,Y
10442,C472501071EC5765E040220A4C16066C,1,BL,4424729,BL,1023287,100,Y
10443,C472501071ED5765E040220A4C16066C,1,BL,4424730,BL,1023287,100,Y
10444,C472501071EE5765E040220A4C16066C,1,BL,4424731,BL,1023287,100,Y
10445,C472501071EF5765E040220A4C16066C,1,BL,4424732,BL,1023287,100,Y
10446,C472501071F05765E040220A4C16066C,1,BL,4424733,BL,1023287,100,Y
10447,C472501071F15765E040220A4C16066C,1,BL,4424734,BL,1023287,100,Y
10448,C472501071F25765E040220A4C16066C,1,BL,4424735,BL,1023287,100,Y
10449,C472501071F35765E040220A4C16066C,1,BL,4424736,BL,1023287,100,Y
10450,C472501071F45765E040220A4C16066C,1,BL,4424737,BL,1023287,100,Y
10451,C472501071F55765E040220A4C16066C,1,BL,4431402,BL,1023287,100,Y
10452,C472501071F65765E040220A4C16066C,1,BL,4431403,BL,1023287,100,Y
10453,C472501071F75765E040220A4C16066C,1,BL,4431404,BL,1023287,100,Y
10454,C472501071F85765E040220A4C16066C,1,BL,4431405,BL,1023287,100,Y
10455,C472501071F95765E040220A4C16066C,1,BL,4431406,BL,1023287,100,Y
10456,C472501071FA5765E040220A4C16066C,1,BL,4431407,BL,1023287,100,Y
10457,C472501071FB5765E040220A4C16066C,1,BL,4431408,BL,1023287,100,Y
10458,C472501071FC5765E040220A4C16066C,1,BL,4431409,BL,1023287,100,Y
10459,C472501071FD5765E040220A4C16066C,1,BL,4431410,BL,1023287,100,Y
10460,C472501071FE5765E040220A4C16066C,1,BL,4431411,BL,1023287,100,Y
10461,C472501071FF5765E040220A4C16066C,1,BL,4431412,BL,1023287,100,Y
10462,C472501072005765E040220A4C16066C,1,BL,4431413,BL,1023287,100,Y
10463,C472501072015765E040220A4C16066C,1,BL,4431414,BL,1023287,100,Y
10464,C472501072025765E040220A4C16066C,1,BL,4431415,BL,1023287,100,Y
10465,C472501072035765E040220A4C16066C,1,BL,4431416,BL,1023287,100,Y
10466,C472501072045765E040220A4C16066C,1,BL,4431417,BL,1023287,100,Y
10467,C472501072055765E040220A4C16066C,1,BL,4431418,BL,1023287,100,Y
10468,C472501072065765E040220A4C16066C,1,BL,4431419,BL,1023287,100,Y
10469,C472501072075765E040220A4C16066C,1,BL,4431420,BL,1023287,100,Y
10470,C472501072085765E040220A4C16066C,1,BL,4431421,BL,1023287,100,Y
10471,C472501072095765E040220A4C16066C,1,BL,4431422,BL,1023287,100,Y
10472,C4725010720A5765E040220A4C16066C,1,BL,4431423,BL,1023287,100,Y
10473,C4725010720B5765E040220A4C16066C,1,BL,4431424,BL,1023287,100,Y
10474,C4725010720C5765E040220A4C16066C,1,BL,4431425,BL,1023287,100,Y
10475,C4725010720D5765E040220A4C16066C,1,BL,4431426,BL,1023287,100,Y
10476,C4725010720E5765E040220A4C16066C,1,BL,4431427,BL,1023287,100,Y
10477,C4725010720F5765E040220A4C16066C,1,BL,444729,BL,1023287,100,Y
10478,C472501072105765E040220A4C16066C,1,BL,4524400,BL,1023287,100,Y
10479,C472501072115765E040220A4C16066C,1,BL,4524401,BL,1023287,100,Y
10480,C472501072125765E040220A4C16066C,1,BL,4524402,BL,1023287,100,Y
10481,C472501072135765E040220A4C16066C,1,BL,4524403,BL,1023287,100,Y
10482,C472501072145765E040220A4C16066C,1,BL,4524601,BL,1023287,100,Y
10483,C472501072155765E040220A4C16066C,1,BL,4524602,BL,1023287,100,Y
10484,C472501072165765E040220A4C16066C,1,BL,4524603,BL,1023287,100,Y
10485,C472501072175765E040220A4C16066C,1,BL,4524604,BL,1023287,100,Y
10486,C472501072185765E040220A4C16066C,1,BL,4524605,BL,1023287,100,Y
10487,C472501072195765E040220A4C16066C,1,BL,4524606,BL,1023287,100,Y
10488,C4725010721A5765E040220A4C16066C,1,BL,4524607,BL,1023287,100,Y
10489,C4725010721B5765E040220A4C16066C,1,BL,4524608,BL,1023287,100,Y
10000,C472501070325765E040220A4C16066C,1,BL,0211401,BL,1023287,100,Y
10001,C472501070335765E040220A4C16066C,1,BL,0211402,BL,1023287,100,Y
10002,C472501070345765E040220A4C16066C,1,BL,0211403,BL,1023287,100,Y
10003,C472501070355765E040220A4C16066C,1,BL,0211404,BL,1023287,100,Y
10004,C472501070365765E040220A4C16066C,1,BL,0211405,BL,1023287,100,Y
10005,C472501070375765E040220A4C16066C,1,BL,0211406,BL,1023287,100,Y
10006,C472501070385765E040220A4C16066C,1,BL,0211407,BL,1023287,100,Y
10007,C472501070395765E040220A4C16066C,1,BL,0211408,BL,1023287,100,Y
10008,C4725010703A5765E040220A4C16066C,1,BL,0211409,BL,1023287,100,Y
10009,C4725010703B5765E040220A4C16066C,1,BL,0211601,BL,1023287,100,Y
10010,C4725010703C5765E040220A4C16066C,1,BL,0211602,BL,1023287,100,Y
10011,C4725010703D5765E040220A4C16066C,1,BL,0211603,BL,1023287,100,Y
10012,C4725010703E5765E040220A4C16066C,1,BL,0211604,BL,1023287,100,Y
10013,C4725010703F5765E040220A4C16066C,1,BL,0211605,BL,1023287,100,Y
10014,C472501070405765E040220A4C16066C,1,BL,0211606,BL,1023287,100,Y
10015,C472501070415765E040220A4C16066C,1,BL,0211607,BL,1023287,100,Y
10016,C472501070425765E040220A4C16066C,1,BL,0211608,BL,1023287,100,Y
10017,C472501070435765E040220A4C16066C,1,BL,0211609,BL,1023287,100,Y
10018,C472501070445765E040220A4C16066C,1,BL,0211801,BL,1023287,100,Y
10019,C472501070455765E040220A4C16066C,1,BL,0211802,BL,1023287,100,Y
10020,C472501070465765E040220A4C16066C,1,BL,0211803,BL,1023287,100,Y
10021,C472501070475765E040220A4C16066C,1,BL,0211804,BL,1023287,100,Y
10022,C472501070485765E040220A4C16066C,1,BL,0211805,BL,1023287,100,Y
10023,C472501070495765E040220A4C16066C,1,BL,0211806,BL,1023287,100,Y
10024,C4725010704A5765E040220A4C16066C,1,BL,0211807,BL,1023287,100,Y
10025,C4725010704B5765E040220A4C16066C,1,BL,0211808,BL,1023287,100,Y
10026,C4725010704C5765E040220A4C16066C,1,BL,0211809,BL,1023287,100,Y
10027,C4725010704D5765E040220A4C16066C,1,BL,1020087,BL,1031400,100,Y
10028,C4725010704E5765E040220A4C16066C,1,BL,1021887,BL,1031400,100,Y
10029,C4725010704F5765E040220A4C16066C,1,BL,0211201,BL,1023287,100,Y
10030,C472501070505765E040220A4C16066C,1,BL,0211202,BL,1023287,100,Y
10031,C472501070515765E040220A4C16066C,1,BL,0211203,BL,1023287,100,Y
10032,C472501070525765E040220A4C16066C,1,BL,0211204,BL,1023287,100,Y
10033,C472501070535765E040220A4C16066C,1,BL,0211205,BL,1023287,100,Y
10034,C472501070545765E040220A4C16066C,1,BL,0211206,BL,1023287,100,Y
10035,C472501070555765E040220A4C16066C,1,BL,0211207,BL,1023287,100,Y
10036,C472501070565765E040220A4C16066C,1,BL,0211208,BL,1023287,100,Y
10037,C472501070575765E040220A4C16066C,1,BL,0211209,BL,1023287,100,Y
10038,C472501070585765E040220A4C16066C,1,BL,2124740,BL,2124740,100,Y
10039,C472501070595765E040220A4C16066C,1,BL,2324704,BL,1023287,100,Y
10040,C4725010705A5765E040220A4C16066C,1,BL,2324705,BL,1023287,100,Y
10041,C4725010705B5765E040220A4C16066C,1,BL,2231499,BL,1031400,100,Y
10042,C4725010705C5765E040220A4C16066C,1,BL,2324609,BL,1023287,100,Y
10043,C4725010705D5765E040220A4C16066C,1,BL,2631476,BL,2631476,100,Y
10044,C4725010705E5765E040220A4C16066C,1,BL,4024300,BL,1023287,100,Y
10045,C4725010705F5765E040220A4C16066C,1,BL,4024301,BL,1023287,100,Y
10046,C472501070605765E040220A4C16066C,1,BL,4024302,BL,1023287,100,Y
10047,C472501070615765E040220A4C16066C,1,BL,4024400,BL,1023287,100,Y
10048,C472501070625765E040220A4C16066C,1,BL,4024401,BL,1023287,100,Y
10049,C472501070635765E040220A4C16066C,1,BL,4024402,BL,1023287,100,Y
10050,C472501070645765E040220A4C16066C,1,BL,4024403,BL,1023287,100,Y
10051,C472501070655765E040220A4C16066C,1,BL,4024404,BL,1023287,100,Y
10052,C472501070665765E040220A4C16066C,1,BL,4024405,BL,1023287,100,Y
10053,C472501070675765E040220A4C16066C,1,BL,4024406,BL,1023287,100,Y
10054,C472501070685765E040220A4C16066C,1,BL,4024407,BL,1023287,100,Y
10055,C472501070695765E040220A4C16066C,1,BL,4024408,BL,1023287,100,Y
10056,C4725010706A5765E040220A4C16066C,1,BL,4024409,BL,1023287,100,Y
10057,C4725010706B5765E040220A4C16066C,1,BL,4024601,BL,1023287,100,Y
10058,C4725010706C5765E040220A4C16066C,1,BL,4024602,BL,1023287,100,Y
10059,C4725010706D5765E040220A4C16066C,1,BL,4024603,BL,1023287,100,Y
10060,C4725010706E5765E040220A4C16066C,1,BL,4024604,BL,1023287,100,Y
10061,C4725010706F5765E040220A4C16066C,1,BL,4024605,BL,1023287,100,Y
10062,C472501070705765E040220A4C16066C,1,BL,4024606,BL,1023287,100,Y
10063,C472501070715765E040220A4C16066C,1,BL,4024723,BL,1023287,100,Y
10064,C472501070725765E040220A4C16066C,1,BL,4024724,BL,1023287,100,Y
10065,C472501070735765E040220A4C16066C,1,BL,4031300,BL,1023287,100,Y
10066,C472501070745765E040220A4C16066C,1,BL,4031301,BL,1023287,100,Y
10067,C472501070755765E040220A4C16066C,1,BL,4031401,BL,1023287,100,Y
10068,C472501070765765E040220A4C16066C,1,BL,4031402,BL,1023287,100,Y
10069,C472501070775765E040220A4C16066C,1,BL,4031403,BL,1023287,100,Y
10070,C472501070785765E040220A4C16066C,1,BL,4031404,BL,1023287,100,Y
10071,C472501070795765E040220A4C16066C,1,BL,4031405,BL,1023287,100,Y
10072,C4725010707A5765E040220A4C16066C,1,BL,4031406,BL,1023287,100,Y
10073,C4725010707B5765E040220A4C16066C,1,BL,4031407,BL,1023287,100,Y
10074,C4725010707C5765E040220A4C16066C,1,BL,4031408,BL,1023287,100,Y
10075,C4725010707D5765E040220A4C16066C,1,BL,4031409,BL,1023287,100,Y
10076,C4725010707E5765E040220A4C16066C,1,BL,4031410,BL,1023287,100,Y
10077,C4725010707F5765E040220A4C16066C,1,BL,4031411,BL,1023287,100,Y
10078,C472501070805765E040220A4C16066C,1,BL,4031412,BL,1023287,100,Y
10079,C472501070815765E040220A4C16066C,1,BL,4031413,BL,1023287,100,Y
10080,C472501070825765E040220A4C16066C,1,BL,4031414,BL,1023287,100,Y
10081,C472501070835765E040220A4C16066C,1,BL,4031415,BL,1023287,100,Y
10082,C472501070845765E040220A4C16066C,1,BL,4031416,BL,1023287,100,Y
10083,C472501070855765E040220A4C16066C,1,BL,4031417,BL,1023287,100,Y
10084,C472501070865765E040220A4C16066C,1,BL,4031418,BL,1023287,100,Y
10085,C472501070875765E040220A4C16066C,1,BL,4031419,BL,1023287,100,Y
10086,C472501070885765E040220A4C16066C,1,BL,4031420,BL,1023287,100,Y
10087,C472501070895765E040220A4C16066C,1,BL,4031421,BL,1023287,100,Y
10088,C4725010708A5765E040220A4C16066C,1,BL,4031422,BL,1023287,100,Y
10089,C4725010708B5765E040220A4C16066C,1,BL,4031423,BL,1023287,100,Y
10090,C4725010708C5765E040220A4C16066C,1,BL,4031424,BL,1031400,100,Y
10091,C4725010708D5765E040220A4C16066C,1,BL,4031425,BL,1023287,100,Y
10092,C4725010708E5765E040220A4C16066C,1,BL,4031426,BL,1023287,100,Y
10093,C4725010708F5765E040220A4C16066C,1,BL,4031427,BL,1023287,100,Y
10094,C472501070905765E040220A4C16066C,1,BL,4031428,BL,1023287,100,Y
10095,C472501070915765E040220A4C16066C,1,BL,4031429,BL,1023287,100,Y
10096,C472501070925765E040220A4C16066C,1,BL,4031430,BL,1023287,100,Y
10097,C472501070935765E040220A4C16066C,1,BL,4031431,BL,1023287,100,Y
10098,C472501070945765E040220A4C16066C,1,BL,4031432,BL,1023287,100,Y
10099,C472501070955765E040220A4C16066C,1,BL,4031433,BL,1023287,100,Y
10100,C472501070965765E040220A4C16066C,1,BL,4031434,BL,1023287,100,Y
10101,C472501070975765E040220A4C16066C,1,BL,4031435,BL,1023287,100,Y
10102,C472501070985765E040220A4C16066C,1,BL,4031436,BL,1023287,100,Y
10103,C472501070995765E040220A4C16066C,1,BL,4031437,BL,1023287,100,Y
10104,C4725010709A5765E040220A4C16066C,1,BL,4031438,BL,1023287,100,Y
10105,C4725010709B5765E040220A4C16066C,1,BL,4031439,BL,1023287,100,Y
10106,C4725010709C5765E040220A4C16066C,1,BL,4031440,BL,1023287,100,Y
10107,C4725010709D5765E040220A4C16066C,1,BL,4031441,BL,1023287,100,Y
10108,C4725010709E5765E040220A4C16066C,1,BL,4031442,BL,1023287,100,Y
10109,C4725010709F5765E040220A4C16066C,1,BL,4031443,BL,1023287,100,Y
10110,C472501070A05765E040220A4C16066C,1,BL,4031444,BL,1023287,100,Y
10111,C472501070A15765E040220A4C16066C,1,BL,4031445,BL,1023287,100,Y
10112,C472501070A25765E040220A4C16066C,1,BL,4031446,BL,1023287,100,Y
10113,C472501070A35765E040220A4C16066C,1,BL,4031447,BL,1023287,100,Y
10114,C472501070A45765E040220A4C16066C,1,BL,4042927,BL,1042987,100,Y
10115,C472501070A55765E040220A4C16066C,1,BL,4124400,BL,1023287,100,Y
10116,C472501070A65765E040220A4C16066C,1,BL,4124401,BL,1042987,100,Y
10117,C472501070A75765E040220A4C16066C,1,BL,4124402,BL,1023287,100,Y
10118,C472501070A85765E040220A4C16066C,1,BL,4124403,BL,1023287,100,Y
10119,C472501070A95765E040220A4C16066C,1,BL,4124404,BL,1023287,100,Y
10120,C472501070AA5765E040220A4C16066C,1,BL,4124405,BL,1023287,100,Y
10121,C472501070AB5765E040220A4C16066C,1,BL,4124406,BL,1023287,100,Y
10122,C472501070AC5765E040220A4C16066C,1,BL,4124407,BL,1023287,100,Y
10123,C472501070AD5765E040220A4C16066C,1,BL,4124408,BL,1023287,100,Y
10124,C472501070AE5765E040220A4C16066C,1,BL,4124601,BL,1023287,100,Y
10125,C472501070AF5765E040220A4C16066C,1,BL,4124602,BL,1023287,100,Y
10126,C472501070B05765E040220A4C16066C,1,BL,4124603,BL,1023287,100,Y
10127,C472501070B15765E040220A4C16066C,1,BL,4124604,BL,1023287,100,Y
10128,C472501070B25765E040220A4C16066C,1,BL,4124605,BL,1023287,100,Y
10129,C472501070B35765E040220A4C16066C,1,BL,4124606,BL,1023287,100,Y
10130,C472501070B45765E040220A4C16066C,1,BL,4124607,BL,1023287,100,Y
10131,C472501070B55765E040220A4C16066C,1,BL,4124608,BL,1023287,100,Y
10132,C472501070B65765E040220A4C16066C,1,BL,4124609,BL,1023287,100,Y
10133,C472501070B75765E040220A4C16066C,1,BL,4124610,BL,1023287,100,Y
10134,C472501070B85765E040220A4C16066C,1,BL,4124611,BL,1023287,100,Y
10135,C472501070B95765E040220A4C16066C,1,BL,4124612,BL,1023287,100,Y
10136,C472501070BA5765E040220A4C16066C,1,BL,4124613,BL,1023287,100,Y
10137,C472501070BB5765E040220A4C16066C,1,BL,4124614,BL,1023287,100,Y
10138,C472501070BC5765E040220A4C16066C,1,BL,4124615,BL,1023287,100,Y
10139,C472501070BD5765E040220A4C16066C,1,BL,4124616,BL,1023287,100,Y
10140,C472501070BE5765E040220A4C16066C,1,BL,4124617,BL,1023287,100,Y
10141,C472501070BF5765E040220A4C16066C,1,BL,4124618,BL,1023287,100,Y
10142,C472501070C05765E040220A4C16066C,1,BL,4124620,BL,1023287,100,Y
10143,C472501070C15765E040220A4C16066C,1,BL,4124621,BL,1023287,100,Y
10144,C472501070C25765E040220A4C16066C,1,BL,4124622,BL,1023287,100,Y
10145,C472501070C35765E040220A4C16066C,1,BL,4124623,BL,1023287,100,Y
10146,C472501070C45765E040220A4C16066C,1,BL,4124624,BL,1023287,100,Y
10147,C472501070C55765E040220A4C16066C,1,BL,4124625,BL,1023287,100,Y
10148,C472501070C65765E040220A4C16066C,1,BL,4124626,BL,1023287,100,Y
10149,C472501070C75765E040220A4C16066C,1,BL,4124627,BL,1023287,100,Y
10150,C472501070C85765E040220A4C16066C,1,BL,4124628,BL,1023287,100,Y
10151,C472501070C95765E040220A4C16066C,1,BL,4124629,BL,1023287,100,Y
10152,C472501070CA5765E040220A4C16066C,1,BL,4124630,BL,1023287,100,Y
10153,C472501070CB5765E040220A4C16066C,1,BL,4124631,BL,1023287,100,Y
10154,C472501070CC5765E040220A4C16066C,1,BL,4124632,BL,1023287,100,Y
10155,C472501070CD5765E040220A4C16066C,1,BL,4124633,BL,1023287,100,Y
10156,C472501070CE5765E040220A4C16066C,1,BL,4124634,BL,1023287,100,Y
10157,C472501070CF5765E040220A4C16066C,1,BL,4124635,BL,1023287,100,Y
10158,C472501070D05765E040220A4C16066C,1,BL,4124636,BL,1023287,100,Y
10159,C472501070D15765E040220A4C16066C,1,BL,4124638,BL,1023287,100,Y
10160,C472501070D25765E040220A4C16066C,1,BL,4124639,BL,1023287,100,Y
10161,C472501070D35765E040220A4C16066C,1,BL,4124640,BL,1023287,100,Y
10162,C472501070D45765E040220A4C16066C,1,BL,4124641,BL,1023287,100,Y
10163,C472501070D55765E040220A4C16066C,1,BL,4124643,BL,1023287,100,Y
10164,C472501070D65765E040220A4C16066C,1,BL,4124644,BL,1023287,100,Y
10165,C472501070D75765E040220A4C16066C,1,BL,4124645,BL,1023287,100,Y
10166,C472501070D85765E040220A4C16066C,1,BL,4124646,BL,1023287,100,Y
10167,C472501070D95765E040220A4C16066C,1,BL,4124647,BL,1023287,100,Y
10168,C472501070DA5765E040220A4C16066C,1,BL,4124649,BL,1023287,100,Y
10169,C472501070DB5765E040220A4C16066C,1,BL,4124650,BL,1023287,100,Y
10170,C472501070DC5765E040220A4C16066C,1,BL,4124701,BL,1023287,100,Y
10171,C472501070DD5765E040220A4C16066C,1,BL,4124702,BL,1023287,100,Y
10172,C472501070DE5765E040220A4C16066C,1,BL,4124703,BL,1023287,100,Y
10173,C472501070DF5765E040220A4C16066C,1,BL,4124704,BL,1023287,100,Y
10174,C472501070E05765E040220A4C16066C,1,BL,4124705,BL,1023287,100,Y
10175,C472501070E15765E040220A4C16066C,1,BL,4124706,BL,1023287,100,Y
10176,C472501070E25765E040220A4C16066C,1,BL,4124707,BL,1023287,100,Y
10177,C472501070E35765E040220A4C16066C,1,BL,4124708,BL,1023287,100,Y
10178,C472501070E45765E040220A4C16066C,1,BL,4124709,BL,1023287,100,Y
10179,C472501070E55765E040220A4C16066C,1,BL,4124710,BL,1023287,100,Y
10180,C472501070E65765E040220A4C16066C,1,BL,4124711,BL,1023287,100,Y
10181,C472501070E75765E040220A4C16066C,1,BL,4124712,BL,1023287,100,Y
10182,C472501070E85765E040220A4C16066C,1,BL,4124713,BL,1023287,100,Y
10183,C472501070E95765E040220A4C16066C,1,BL,4024607,BL,1023287,100,Y
10184,C472501070EA5765E040220A4C16066C,1,BL,4024608,BL,1023287,100,Y
10185,C472501070EB5765E040220A4C16066C,1,BL,4024609,BL,1023287,100,Y
10186,C472501070EC5765E040220A4C16066C,1,BL,4024610,BL,1023287,100,Y
10187,C472501070ED5765E040220A4C16066C,1,BL,4024611,BL,1023287,100,Y
10188,C472501070EE5765E040220A4C16066C,1,BL,4024612,BL,1023287,100,Y
10189,C472501070EF5765E040220A4C16066C,1,BL,4024613,BL,1023287,100,Y
10190,C472501070F05765E040220A4C16066C,1,BL,4024614,BL,1023287,100,Y
10191,C472501070F15765E040220A4C16066C,1,BL,4024615,BL,1023287,100,Y
10192,C472501070F25765E040220A4C16066C,1,BL,4024616,BL,1023287,100,Y
10193,C472501070F35765E040220A4C16066C,1,BL,4024617,BL,1023287,100,Y
10194,C472501070F45765E040220A4C16066C,1,BL,4024618,BL,1023287,100,Y
10195,C472501070F55765E040220A4C16066C,1,BL,4024619,BL,1023287,100,Y
10196,C472501070F65765E040220A4C16066C,1,BL,4024620,BL,1023287,100,Y
10197,C472501070F75765E040220A4C16066C,1,BL,4024621,BL,1023287,100,Y
10198,C472501070F85765E040220A4C16066C,1,BL,4024622,BL,1023287,100,Y
10199,C472501070F95765E040220A4C16066C,1,BL,4024623,BL,1023287,100,Y
10200,C472501070FA5765E040220A4C16066C,1,BL,4024624,BL,1023287,100,Y
10201,C472501070FB5765E040220A4C16066C,1,BL,4024625,BL,1023287,100,Y
10202,C472501070FC5765E040220A4C16066C,1,BL,4024626,BL,1023287,100,Y
10203,C472501070FD5765E040220A4C16066C,1,BL,4024627,BL,1023287,100,Y
10204,C472501070FE5765E040220A4C16066C,1,BL,4024628,BL,1023287,100,Y
10205,C472501070FF5765E040220A4C16066C,1,BL,4024629,BL,1023287,100,Y
10206,C472501071005765E040220A4C16066C,1,BL,4024630,BL,1023287,100,Y
10207,C472501071015765E040220A4C16066C,1,BL,4024631,BL,1023287,100,Y
10208,C472501071025765E040220A4C16066C,1,BL,4024632,BL,1023287,100,Y
10209,C472501071035765E040220A4C16066C,1,BL,4024633,BL,1023287,100,Y
10210,C472501071045765E040220A4C16066C,1,BL,4024701,BL,1023287,100,Y
10211,C472501071055765E040220A4C16066C,1,BL,4024702,BL,1023287,100,Y
10212,C472501071065765E040220A4C16066C,1,BL,4024703,BL,1023287,100,Y
10213,C472501071075765E040220A4C16066C,1,BL,4024704,BL,1023287,100,Y
10214,C472501071085765E040220A4C16066C,1,BL,4024705,BL,1023287,100,Y
10215,C472501071095765E040220A4C16066C,1,BL,4024706,BL,1023287,100,Y
10216,C4725010710A5765E040220A4C16066C,1,BL,4024707,BL,1023287,100,Y
10217,C4725010710B5765E040220A4C16066C,1,BL,4024708,BL,1023287,100,Y
10218,C4725010710C5765E040220A4C16066C,1,BL,4024709,BL,1023287,100,Y
10219,C4725010710D5765E040220A4C16066C,1,BL,4024710,BL,1023287,100,Y
10220,C4725010710E5765E040220A4C16066C,1,BL,4024711,BL,1023287,100,Y
10221,C4725010710F5765E040220A4C16066C,1,BL,4024712,BL,1023287,100,Y
10222,C472501071105765E040220A4C16066C,1,BL,4024713,BL,1023287,100,Y
10223,C472501071115765E040220A4C16066C,1,BL,4024714,BL,1023287,100,Y
10224,C472501071125765E040220A4C16066C,1,BL,4024715,BL,1023287,100,Y
10225,C472501071135765E040220A4C16066C,1,BL,4024716,BL,1023287,100,Y
10226,C472501071145765E040220A4C16066C,1,BL,4024717,BL,1023287,100,Y
10227,C472501071155765E040220A4C16066C,1,BL,4024718,BL,1023287,100,Y
10228,C472501071165765E040220A4C16066C,1,BL,4024719,BL,1023287,100,Y
10229,C472501071175765E040220A4C16066C,1,BL,4024720,BL,1023287,100,Y
10230,C472501071185765E040220A4C16066C,1,BL,4024721,BL,1023287,100,Y
10231,C472501071195765E040220A4C16066C,1,BL,4124738,BL,1023287,100,Y
10232,C4725010711A5765E040220A4C16066C,1,BL,4124739,BL,1023287,100,Y
10233,C4725010711B5765E040220A4C16066C,1,BL,4124740,BL,1023287,100,Y
10234,C4725010711C5765E040220A4C16066C,1,BL,4124741,BL,1023287,100,Y
10235,C4725010711D5765E040220A4C16066C,1,BL,4124742,BL,1023287,100,Y
10236,C4725010711E5765E040220A4C16066C,1,BL,4124743,BL,1023287,100,Y
