FIN_COA_CD,ORG_CD,OBJ_ID,VER_NBR,DESCRSHORT,COMPANY,SETID_LOCATION,LOCATION,TAX_LOCATION_CD,MANAGER_UNVL_ID,MANAGER_POSN,BUDGET_YR_END_DT,BUDGET_LVL,GL_EXPENSE,EEO4_FUNCTION,ACCIDENT_INS,SI_ACCIDENT_NUM,HAZARD,ESTABID,RISKCD,FTE_EDIT_INDC,DEPT_TENURE_FLG,TL_DISTRIB_INFO,USE_BUDGETS,USE_ENCUMBRANCES,USE_DISTRIBUTION,BUDGET_DEPTID,DIST_PRORATE_OPTN,HP_STATS_DEPT_CD,HP_STATS_FACULTY,ACCOUNTING_OWNER,COUNTRY_GRP,IU_ORG_MAIL_DRP_CD,IU_ORG_ADDRESS_2,IU_ORG_ADDRESS_3,IU_CAMPUS_CD,IU_CAMPUS_BLDG,IU_CAMPUS_ROOM,IU_POSN_ALLOW_FL,IU_TENURE_ALLOW_FL,IU_TITLE_ALLOW_FL,IU_OCC_UN_ALLOW_FL,ORG_FSCL_APRVR_UID,LAST_UPDATE_DATE
BA,COPR,11400DC3F368041EE043814FD881041E,1,BA-COPR,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,030320000000
BA,DDDR,11400DC3F3A1041EE043814FD881041E,1,BA-DDDR,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,031009000000
BA,DSBL,11400DC3F39C041EE043814FD881041E,1,BA-DSBL,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,040401000000
BA,HALL,11400DC3EE3A041EE043814FD881041E,1,BA-HALL,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BA-HALL, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BA,HTAC,11400DC3F369041EE043814FD881041E,1,BA-HTAC,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,030320000000
BA,IAAC,11400DC3F36A041EE043814FD881041E,1,BA-IAAC,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,030320000000
BA,IDS,11400DC3EE3B041EE043814FD881041E,1,BA-IDS,IU,null,null,null,OLE4322103093,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,Y,null,Y,Y,OLE5927407565,040820000000
BA,IMAU,11400DC3EE3C041EE043814FD881041E,1,BA-IMAU,IU,null,null,null,OLE5949304259,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,Y,null,null,Y,OLE5949304259,040811000000
BA,IMBI,11400DC3F3B7041EE043814FD881041E,1,BA-IMBI,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,031208000000
BA,IMUC,11400DC3EE3D041EE043814FD881041E,1,BA-IMUC,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BA-IMUC, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BA,IUHC,11400DC3EE3E041EE043814FD881041E,1,BA-IUHC,IU,null,null,null,OLE1506406723,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,Y,N,Y,Y,OLE4179703037,031014000000
BA,IUPR,11400DC3EE3F041EE043814FD881041E,1,BA-IUPR,IU,IUBLA,BL,BL,OLE2660204297,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BA-IUPR,null,null,null,null,null,null,null,null,BL,null,null,Y,N,Y,Y,OLE2660204297,031023000000
BA,JHDR,11400DC3F3BD041EE043814FD881041E,1,BA-JHDR,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,040202000000
BA,LARS,11400DC3F3B8041EE043814FD881041E,1,BA-LARS,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,031208000000
BA,MADR,11400DC3F3BF041EE043814FD881041E,1,BA-MADR,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,040129000000
BA,MLDR,11400DC3F3CB041EE043814FD881041E,1,BA-MLDR,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,040325000000
BA,MOTR,11400DC3F377041EE043814FD881041E,1,BA-MOTR,IU,null,null,null,OLE5240003343,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,Y,null,null,Y,OLE5240003343,040819000000
BA,MPAD,11400DC3F3CD041EE043814FD881041E,1,BA-MPAD,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,040401000000
BA,MPDR,11400DC3F3CF041EE043814FD881041E,1,BA-MPDR,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,040401000000
BA,MPLS,11400DC3F3D0041EE043814FD881041E,1,BA-MPLS,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,040401000000
BA,MPOP,11400DC3F3CC041EE043814FD881041E,1,BA-MPOP,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,040325000000
BA,MPSV,11400DC3F3CE041EE043814FD881041E,1,BA-MPSV,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,040401000000
BA,PAAC,11400DC3F36B041EE043814FD881041E,1,BA-PAAC,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,030320000000
BA,PARK,11400DC3EE40041EE043814FD881041E,1,BA-PARK,IU,IUBLA,BL,BL,OLE3771403079,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BA-PARK,null,null,null,null,null,null,null,null,BL,null,null,Y,N,N,Y,OLE3771403079,031009000000
BA,ROAH,11400DC3F384041EE043814FD881041E,1,BA-ROAH,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,030707000000
BA,RPAS,11400DC3EE41041EE043814FD881041E,1,BA-RPAS,IU,IUBLA,BL,BL,OLE4215903770,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BA-RPAS,null,null,null,null,null,null,null,null,BL,null,null,Y,N,N,Y,OLE5627305015,050103000000
BA,SMDR,11400DC3F3BC041EE043814FD881041E,1,BA-SMDR,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,040202000000
BA,SPDR,11400DC3F3BE041EE043814FD881041E,1,BA-SPDR,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,040129000000
BA,TEDR,11400DC3F386041EE043814FD881041E,1,BA-TEDR,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,030707000000
BA,TEGE,11400DC3F399041EE043814FD881041E,1,BA-TEGE,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,040224000000
BA,TRAN,11400DC3EE42041EE043814FD881041E,1,BA-TRAN,IU,IUBLA,BL,BL,OLE4219606069, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BA-TRAN, , , , , , , , ,BL,null, ,Y,N,Y,Y,OLE4219606069,021102000000
BA,UTIL,11400DC3F366041EE043814FD881041E,1,BA-UTIL,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,030424000000
BA,VSHP,11400DC3F437041EE043814FD881041E,1,BA-VSHP,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,040929000000
BL,AAAI,11400DC3EE43041EE043814FD881041E,1,BL-AAAI,IU,IUBLA,BL,BL,null,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BL-AAAI,null,null,null,null,null,null,null,null,BL,null,null,N,N,Y,N,null,040730000000
BL,AAAM,11400DC3EE44041EE043814FD881041E,1,BL-AAAM,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-AAAM, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,AACC,11400DC3F34A041EE043814FD881041E,1,BL-AACC,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,Y,null,null,040719000000
BL,ACC,11400DC3EE45041EE043814FD881041E,1,BL-ACC,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-ACC, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,ACQU,11400DC3EE46041EE043814FD881041E,1,BL-ACQU,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-ACQU, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,ACSP,11400DC3EE47041EE043814FD881041E,1,BL-ACSP,IU,null,null,null,OLE5166900312,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,Y,null,null,null,OLE4054206419,040810000000
BL,ACTG,11400DC3EE48041EE043814FD881041E,1,BL-ACTG,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-ACTG, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,ACTR,11400DC3EE49041EE043814FD881041E,1,BL-ACTR,IU,null,null,null,OLE5049708811,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,Y,null,Y,null,OLE4317202661,041215000000
BL,ADBS,11400DC3EE4A041EE043814FD881041E,1,BL-ADBS,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-ADBS, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,ADLP,11400DC3F3D7041EE043814FD881041E,1,BL-ADLP,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,Y,null,null,040615000000
BL,ADMS,11400DC3EE4B041EE043814FD881041E,1,BL-ADMS,IU,IUBLA,BL,BL,OLE4545405888,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BL-ADMS,null,null,null,null,null,null,null,null,BL,null,null,Y,N,Y,N,OLE4186105395,030927000000
BL,ADST,11400DC3EE4C041EE043814FD881041E,1,BL-ADST,IU,null,null,null,OLE4406304317,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,Y,null,Y,Y,OLE5224801613,041215000000
BL,AECC,11400DC3F43E041EE043814FD881041E,1,BL-AECC,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,OLE2843302291,040923000000
BL,AERO,11400DC3EE4D041EE043814FD881041E,1,BL-AERO,IU,IUBLA,BL,BL,OLE1872708343,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BL-AERO,null,null,null,null,null,null,null,null,BL,null,null,Y,N,Y,N,OLE4184008413,040810000000
BL,ELPS,11400DC3EEBF041EE043814FD881041E,1,BL-ELPS,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-ELPS, , , , , , , , ,BL,null, ,N,N,Y,N,null,040429000000
BL,EMAS,11400DC3EEC0041EE043814FD881041E,1,BL-EMAS,IU,IUBLA,BL,BL,null,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BL-EMAS,null,null,null,null,null,null,null,null,BL,null,null,N,N,N,N,OLE1872708343,030228000000
BL,EMER,11400DC3EEC5041EE043814FD881041E,1,BL-EMER,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-EMER, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,EMI,11400DC3EEC1041EE043814FD881041E,1,BL-EMI,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-EMI, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,ENG,11400DC3EEC2041EE043814FD881041E,1,BL-ENG,IU,IUBLA,BL,BL,OLE3428005487,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BL-ENG,null,null,null,null,null,null,null,null,BL,null,null,Y,Y,Y,Y,OLE1529707192,041130000000
BL,ENSE,11400DC3EEC3041EE043814FD881041E,1,BL-ENSE,IU,IUBLA,BL,BL,OLE2950605083,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BL-ENSE,null,null,null,null,null,null,null,null,BL,null,null,Y,N,Y,N,OLE3395606968,040816000000
BL,EPLY,11400DC3F36D041EE043814FD881041E,1,BL-EPLY,IU,null,null,null,OLE2588101919,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,IU RESEARCH PARK--SHOWERS 100,501 N. MORTON STREET,BL,BL661A,100,null,null,null,null,OLE2588101919,030826000000
BL,ERIC,11400DC3EEC4041EE043814FD881041E,1,BL-ERIC,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-ERIC, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,ETEC,11400DC3EEC6041EE043814FD881041E,1,BL-ETEC,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-ETEC, , , , , , , , ,BL,null, ,N,N,Y,N,null,040429000000
BL,EVAL,11400DC3EEC7041EE043814FD881041E,1,BL-EVAL,IU,IUBLA,BL,BL,null,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BL-EVAL,null,null,null,null,null,null,null,null,BL,null,null,N,N,Y,N,null,040804000000
BL,EXEC,11400DC3EEC8041EE043814FD881041E,1,BL-EXEC,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-EXEC, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,EXST,11400DC3F41C041EE043814FD881041E,1,BL-EXST,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,Y,null,null,040615000000
BL,FADB,11400DC3EEC9041EE043814FD881041E,1,BL-FADB,IU,IUBLA,BL,BL,null,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BL-FADB,null,null,null,null,null,null,null,null,BL,null,null,N,N,Y,N,OLE1872708343,030228000000
BL,FAL,11400DC3EECA041EE043814FD881041E,1,BL-FAL,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-FAL, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,FAMM,11400DC3EECB041EE043814FD881041E,1,BL-FAMM,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-FAMM, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,FILL,11400DC3EECC041EE043814FD881041E,1,BL-FILL,IU,IUBLA,BL,BL,null,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BL-FILL,null,null,null,null,null,null,null,null,BL,null,null,N,N,Y,N,null,040804000000
BL,FILM,11400DC3EECD041EE043814FD881041E,1,BL-FILM,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-FILM, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,FINA,11400DC3EECE041EE043814FD881041E,1,BL-FINA,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-FINA, , , , , , , , ,BL,null, ,N,Y,Y,Y,null,021102000000
BL,FINH,11400DC3EECF041EE043814FD881041E,1,BL-FINH,IU,null,null,null,OLE3209904483,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,Y,Y,Y,null,OLE3209904483,031110000000
BL,FINS,11400DC3EED0041EE043814FD881041E,1,BL-FINS,IU,null,null,null,OLE1877007651,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,Y,Y,Y,null,OLE2620008671,040914000000
BL,FOED,11400DC3EED1041EE043814FD881041E,1,BL-FOED,IU,IUBLA,BL,BL,OLE2620008671, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-FOED, , , , , , , , ,BL,null, ,Y,N,N,N,OLE2620008671,021102000000
BL,FOLK,11400DC3EED2041EE043814FD881041E,1,BL-FOLK,IU,null,null,null,OLE3236104556,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,Y,Y,Y,Y,OLE3236104556,040820000000
BL,FORN,11400DC3EED3041EE043814FD881041E,1,BL-FORN,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-FORN, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,FRES,11400DC3F34C041EE043814FD881041E,1,BL-FRES,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,OLE2620008671,030228000000
BL,FRIT,11400DC3EED4041EE043814FD881041E,1,BL-FRIT,IU,IUBLA,BL,BL,OLE6185006765,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BL-FRIT,null,null,null,null,null,null,null,null,BL,null,null,Y,Y,Y,Y,OLE6185006765,040820000000
BL,GANT,11400DC3F485041EE043814FD881041E,1,BL-GANT,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,Y,Y,null,OLE5601108543,050322000000
BL,GBI,11400DC3F48E041EE043814FD881041E,1,BL-GBI,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,Y,Y,null,OLE6076602019,050322000000
BL,GBLK,11400DC3EED5041EE043814FD881041E,1,BL-GBLK,IU,null,null,null,OLE5049708811,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,Y,null,Y,null,OLE3189200344,041215000000
BL,GELB,11400DC3EED6041EE043814FD881041E,1,BL-GELB,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-GELB, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,GENG,11400DC3F48F041EE043814FD881041E,1,BL-GENG,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,Y,Y,null,OLE1529707192,050322000000
BL,GEOG,11400DC3EED7041EE043814FD881041E,1,BL-GEOG,IU,IUBLA,BL,BL,OLE1516709007,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BL-GEOG,null,null,null,null,null,null,null,null,BL,null,null,Y,Y,Y,Y,OLE1516709007,040820000000
BL,GEOL,11400DC3EED8041EE043814FD881041E,1,BL-GEOL,IU,IUBLA,BL,BL,OLE2620008671,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BL-GEOL,null,null,null,null,null,null,null,null,BL,null,null,Y,Y,Y,Y,OLE2223504767,040902000000
BL,GEOY,11400DC3EED9041EE043814FD881041E,1,BL-GEOY,IU,null,null,null,OLE6001205150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,Y,null,Y,Y,OLE3908901516,041228000000
BL,GERM,11400DC3EEDA041EE043814FD881041E,1,BL-GERM,IU,IUBLA,BL,BL,OLE1274007182,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BL-GERM,null,null,null,null,null,null,null,null,BL,null,null,Y,Y,Y,Y,OLE1274007182,040110000000
BL,GFIS,11400DC3F486041EE043814FD881041E,1,BL-GFIS,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,Y,Y,null,OLE2298700256,050322000000
BL,GHIS,11400DC3F48D041EE043814FD881041E,1,BL-GHIS,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,Y,Y,null,OLE3439809008,050322000000
BL,GILL,11400DC3EEDB041EE043814FD881041E,1,BL-GILL,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-GILL, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,GLIB,11400DC3EEDF041EE043814FD881041E,1,BL-GLIB,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-GLIB, , , , , , , , ,BL,null, ,N,Y,Y,N,null,021102000000
BL,GLLC,11400DC3F3C2041EE043814FD881041E,1,BL-GLLC,IU,null,null,null,OLE2620008671,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,Y,Y,Y,Y,OLE2620008671,040616000000
BL,GLPR,11400DC3EEDC041EE043814FD881041E,1,BL-GLPR,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-GLPR, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,GMAP,11400DC3EEDD041EE043814FD881041E,1,BL-GMAP,IU,IUBLA,BL,BL,null, ,630,D, ,15, , , ,IU, ,N,N,N,Y,Y,N,BL-GMAP, , , , , , , , ,BL,null, ,N,N,Y,N,null,021102000000
BL,GNDR,11400DC3EEDE041EE043814FD881041E,1,BL-GNDR,IU,IUBLA,BL,BL,OLE5331201785,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BL-GNDR,null,null,null,null,null,null,null,null,BL,null,null,Y,Y,Y,Y,OLE5331201785,031111000000
